I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, 48, 39, -29, -14, 43, -9, 19, 48, 48, 48, 29, 
4, 43, 39, -24, -17, 41, 0, 19, 48, 53, 48, 24, 
0, 39, 39, -19, -19, 39, 9, 19, 48, 58, 48, 19, 
0, 34, 34, -17, -17, 34, 14, 29, 48, 58, 48, 19, 
0, 29, 29, -14, -14, 29, 19, 39, 48, 58, 48, 19, 
0, 29, 29, -14, -14, 29, 19, 39, 48, 58, 43, 14, 
0, 29, 29, -14, -14, 29, 19, 39, 48, 58, 39, 9, 
0, 29, 29, -14, -14, 29, 19, 43, 53, 58, 39, 9, 
0, 29, 29, -14, -14, 29, 19, 48, 58, 58, 39, 9, 
0, 29, 29, -14, -14, 29, 24, 53, 58, 63, 43, 9, 
0, 29, 29, -14, -14, 29, 29, 58, 58, 68, 48, 9, 
0, 29, 29, -14, -14, 29, 29, 63, 63, 68, 48, 14, 
0, 29, 29, -14, -14, 29, 29, 68, 68, 68, 48, 19, 
0, 29, 29, -14, -14, 29, 29, 73, 68, 68, 48, 19, 
0, 29, 29, -14, -14, 29, 29, 78, 68, 68, 48, 19, 
0, 29, 29, -14, -14, 29, 29, 78, 68, 68, 48, 19, 
0, 29, 29, -14, -14, 29, 29, 78, 68, 68, 48, 19, 
4, 29, 24, -17, -9, 26, 29, 82, 68, 68, 53, 19, 
9, 29, 19, -19, -4, 24, 29, 87, 68, 68, 58, 19, 
14, 29, 14, -21, 0, 21, 24, 92, 68, 73, 58, 19, 
19, 29, 9, -24, 4, 19, 19, 97, 68, 78, 58, 19, 
19, 29, 9, -24, 4, 19, 19, 102, 68, 82, 58, 24, 
19, 29, 9, -24, 4, 19, 19, 107, 68, 87, 58, 29, 
19, 39, 19, -29, 0, 29, 19, 107, 73, 87, 63, 29, 
19, 48, 29, -34, -4, 39, 19, 107, 78, 87, 68, 29, 
19, 48, 29, -34, -4, 39, 14, 112, 78, 87, 73, 29, 
19, 48, 29, -34, -4, 39, 9, 117, 78, 87, 78, 29, 
24, 48, 24, -36, 0, 36, 4, 122, 82, 97, 78, 34, 
29, 48, 19, -39, 4, 34, 0, 126, 87, 107, 78, 39, 
34, 58, 24, -46, 4, 41, 0, 136, 92, 107, 82, 43, 
39, 68, 29, -53, 4, 48, 0, 146, 97, 107, 87, 48, 
43, 73, 29, -58, 7, 51, -4, 156, 102, 112, 92, 53, 
48, 78, 29, -63, 9, 53, -9, 165, 107, 117, 97, 58, 
53, 87, 34, -70, 9, 61, -9, 170, 112, 122, 102, 63, 
58, 97, 39, -78, 9, 68, -9, 175, 117, 126, 107, 68, 
