I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
29, -68, -97, 19, 63, -82, -214, -19, 517, -68, -19, 58, 
29, -68, -97, 19, 63, -82, -214, -19, 517, -68, -14, 58, 
29, -68, -97, 19, 63, -82, -214, -19, 517, -68, -9, 58, 
19, -68, -87, 24, 53, -78, -214, -19, 522, -68, -9, 58, 
9, -68, -78, 29, 43, -73, -214, -19, 527, -68, -9, 58, 
9, -68, -78, 29, 43, -73, -209, -14, 527, -63, -9, 58, 
9, -68, -78, 29, 43, -73, -204, -9, 527, -58, -9, 58, 
9, -68, -78, 29, 43, -73, -204, -9, 527, -58, -9, 58, 
9, -68, -78, 29, 43, -73, -204, -9, 527, -58, -9, 58, 
4, -68, -73, 31, 39, -70, -204, -4, 531, -58, -9, 58, 
0, -68, -68, 34, 34, -68, -204, 0, 536, -58, -9, 58, 
0, -63, -63, 31, 31, -63, -204, 9, 541, -53, 0, 58, 
0, -58, -58, 29, 29, -58, -204, 19, 546, -48, 9, 58, 
9, -53, -63, 21, 36, -58, -204, 19, 551, -43, 9, 58, 
19, -48, -68, 14, 43, -58, -204, 19, 556, -39, 9, 58, 
19, -48, -68, 14, 43, -58, -204, 19, 556, -39, 9, 58, 
19, -48, -68, 14, 43, -58, -204, 19, 556, -39, 9, 58, 
19, -43, -63, 12, 41, -53, -200, 24, 556, -34, 9, 58, 
19, -39, -58, 9, 39, -48, -195, 29, 556, -29, 9, 58, 
19, -34, -53, 7, 36, -43, -195, 34, 556, -29, 9, 58, 
19, -29, -48, 4, 34, -39, -195, 39, 556, -29, 9, 58, 
19, -29, -48, 4, 34, -39, -195, 43, 561, -24, 14, 63, 
19, -29, -48, 4, 34, -39, -195, 48, 566, -19, 19, 68, 
14, -24, -39, 4, 26, -31, -195, 48, 566, -14, 24, 68, 
9, -19, -29, 4, 19, -24, -195, 48, 566, -9, 29, 68, 
9, -19, -29, 4, 19, -24, -195, 48, 566, -9, 29, 68, 
9, -19, -29, 4, 19, -24, -195, 48, 566, -9, 29, 68, 
9, -14, -24, 2, 17, -19, -195, 48, 566, -9, 29, 68, 
9, -9, -19, 0, 14, -14, -195, 48, 566, -9, 29, 68, 
9, -9, -19, 0, 14, -14, -195, 48, 566, -9, 29, 68, 
9, -9, -19, 0, 14, -14, -195, 48, 566, -9, 29, 68, 
9, -9, -19, 0, 14, -14, -190, 48, 566, -9, 29, 68, 
9, -9, -19, 0, 14, -14, -185, 48, 566, -9, 29, 68, 
9, -9, -19, 0, 14, -14, -185, 43, 566, -9, 24, 68, 
9, -9, -19, 0, 14, -14, -185, 39, 566, -9, 19, 68, 
9, -9, -19, 0, 14, -14, -180, 39, 566, -9, 19, 68, 
9, -9, -19, 0, 14, -14, -175, 39, 566, -9, 19, 68, 
9, -9, -19, 0, 14, -14, -175, 43, 566, -9, 19, 68, 
9, -9, -19, 0, 14, -14, -175, 48, 566, -9, 19, 68, 
9, -9, -19, 0, 14, -14, -180, 58, 566, -9, 19, 68, 
9, -9, -19, 0, 14, -14, -185, 68, 566, -9, 19, 68, 
34, -4, -39, -14, 36, -21, -200, 73, 561, -9, 19, 68, 
58, 0, -58, -29, 58, -29, -214, 78, 556, -9, 19, 68, 
58, 4, -53, -31, 56, -24, -234, 78, 556, -9, 19, 68, 
63, 4, -58, -34, 61, -26, -258, 78, 551, -9, 19, 68, 
73, 9, -63, -41, 68, -26, -287, 82, 551, -9, 19, 73, 
73, 9, -63, -41, 68, -26, -297, 82, 546, -9, 19, 73, 
73, 9, -63, -41, 68, -26, -287, 73, 536, -14, 14, 82, 
73, 14, -58, -43, 65, -21, -287, 63, 527, -14, 14, 82, 
58, 0, -58, -29, 58, -29, -292, 48, 527, -19, 14, 73, 
