I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-78, 68, 146, 4, -112, 107, 19, 68, 19, 0, 0, 156, 
-78, 63, 141, 7, -109, 102, 19, 73, 0, 0, -14, 156, 
-78, 58, 136, 9, -107, 97, 19, 78, -19, 0, -29, 156, 
-78, 48, 126, 14, -102, 87, 24, 78, -39, 0, -53, 161, 
-78, 39, 117, 19, -97, 78, 29, 78, -58, 0, -78, 165, 
-78, 14, 92, 31, -85, 53, 34, 78, -78, 0, -92, 165, 
-78, -9, 68, 43, -73, 29, 39, 78, -97, 0, -107, 165, 
-78, -24, 53, 51, -65, 14, 39, 68, -126, 0, -131, 165, 
-78, -39, 39, 58, -58, 0, 39, 58, -156, 0, -156, 165, 
-87, -53, 34, 70, -61, -9, 43, 58, -175, 0, -165, 165, 
-97, -68, 29, 82, -63, -19, 48, 58, -195, 0, -175, 165, 
-87, -68, 19, 78, -53, -24, 48, 53, -229, 0, -190, 170, 
-78, -68, 9, 73, -43, -29, 48, 48, -263, 0, -204, 175, 
-78, -87, -9, 82, -34, -48, 48, 43, -283, 0, -204, 175, 
-78, -107, -29, 92, -24, -68, 48, 39, -302, 0, -204, 175, 
-78, -107, -29, 92, -24, -68, 48, 34, -317, 0, -200, 175, 
-78, -107, -29, 92, -24, -68, 48, 29, -331, 0, -195, 175, 
-68, -102, -34, 85, -17, -68, 43, 19, -356, 0, -195, 180, 
-58, -97, -39, 78, -9, -68, 39, 9, -380, 0, -195, 185, 
-58, -97, -39, 78, -9, -68, 39, 9, -390, 0, -185, 185, 
-58, -97, -39, 78, -9, -68, 39, 9, -400, 0, -175, 185, 
-58, -92, -34, 75, -12, -63, 34, 4, -409, 0, -175, 185, 
-58, -87, -29, 73, -14, -58, 29, 0, -419, 0, -175, 185, 
-58, -87, -29, 73, -14, -58, 29, 0, -424, 0, -161, 185, 
-58, -87, -29, 73, -14, -58, 29, 0, -429, 0, -146, 185, 
-58, -82, -24, 70, -17, -53, 29, -4, -434, 0, -146, 190, 
-58, -78, -19, 68, -19, -48, 29, -9, -439, 0, -146, 195, 
-58, -78, -19, 68, -19, -48, 24, -9, -439, 0, -146, 195, 
-58, -78, -19, 68, -19, -48, 19, -9, -439, 0, -146, 195, 
-58, -78, -19, 68, -19, -48, 19, -9, -444, 0, -141, 195, 
-58, -78, -19, 68, -19, -48, 19, -9, -448, 0, -136, 195, 
-58, -73, -14, 65, -21, -43, 19, -14, -453, 0, -136, 200, 
-58, -68, -9, 63, -24, -39, 19, -19, -458, 0, -136, 204, 
-58, -68, -9, 63, -24, -39, 19, -19, -463, 0, -131, 204, 
-58, -68, -9, 63, -24, -39, 19, -19, -468, 0, -126, 204, 
-53, -68, -14, 61, -19, -41, 19, -14, -468, 0, -126, 204, 
-48, -68, -19, 58, -14, -43, 19, -9, -468, 0, -126, 204, 
-48, -68, -19, 58, -14, -43, 24, -9, -468, 0, -117, 209, 
-48, -68, -19, 58, -14, -43, 29, -9, -468, 0, -107, 214, 
