I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -97, -58, 68, 9, -78, 58, 19, -107, -117, -107, -78, 
-39, -97, -58, 68, 9, -78, 58, 24, -87, -112, -107, -78, 
-39, -97, -58, 68, 9, -78, 58, 29, -68, -107, -107, -78, 
-39, -92, -53, 65, 7, -73, 58, 34, -58, -97, -102, -78, 
-39, -87, -48, 63, 4, -68, 58, 39, -48, -87, -97, -78, 
-39, -87, -48, 63, 4, -68, 63, 43, -39, -87, -97, -78, 
-39, -87, -48, 63, 4, -68, 68, 48, -29, -87, -97, -78, 
-39, -87, -48, 63, 4, -68, 68, 48, -24, -82, -92, -78, 
-39, -87, -48, 63, 4, -68, 68, 48, -19, -78, -87, -78, 
-39, -87, -48, 63, 4, -68, 68, 48, -19, -78, -87, -78, 
-39, -87, -48, 63, 4, -68, 68, 48, -19, -78, -87, -78, 
-39, -87, -48, 63, 4, -68, 68, 53, -14, -78, -87, -78, 
-39, -87, -48, 63, 4, -68, 68, 58, -9, -78, -87, -78, 
-34, -82, -48, 58, 7, -65, 68, 58, -4, -73, -87, -78, 
-29, -78, -48, 53, 9, -63, 68, 58, 0, -68, -87, -78, 
-29, -78, -48, 53, 9, -63, 68, 58, 0, -68, -82, -73, 
-29, -78, -48, 53, 9, -63, 68, 58, 0, -68, -78, -68, 
-29, -73, -43, 51, 7, -58, 68, 58, 4, -63, -78, -68, 
-29, -68, -39, 48, 4, -53, 68, 58, 9, -58, -78, -68, 
-29, -68, -39, 48, 4, -53, 68, 63, 14, -53, -68, -63, 
-29, -68, -39, 48, 4, -53, 68, 68, 19, -48, -58, -58, 
-29, -68, -39, 48, 4, -53, 68, 68, 24, -48, -58, -58, 
-29, -68, -39, 48, 4, -53, 68, 68, 29, -48, -58, -58, 
-29, -63, -34, 46, 2, -48, 68, 73, 34, -43, -58, -58, 
-29, -58, -29, 43, 0, -43, 68, 78, 39, -39, -58, -58, 
-24, -58, -34, 41, 4, -46, 68, 87, 48, -34, -58, -58, 
-19, -58, -39, 39, 9, -48, 68, 97, 58, -29, -58, -58, 
-19, -58, -39, 39, 9, -48, 68, 97, 63, -19, -48, -48, 
-19, -58, -39, 39, 9, -48, 68, 97, 68, -9, -39, -39, 
-19, -48, -29, 34, 4, -39, 68, 107, 78, -4, -39, -39, 
-19, -39, -19, 29, 0, -29, 68, 117, 87, 0, -39, -39, 
-14, -34, -19, 24, 2, -26, 68, 122, 102, 9, -34, -39, 
-9, -29, -19, 19, 4, -24, 68, 126, 117, 19, -29, -39, 
-4, -24, -19, 14, 7, -21, 68, 136, 126, 29, -14, -34, 
0, -19, -19, 9, 9, -19, 68, 146, 136, 39, 0, -29, 
0, -14, -14, 7, 7, -14, 68, 161, 151, 48, 9, -19, 
0, -9, -9, 4, 4, -9, 68, 175, 165, 58, 19, -9, 
0, 4, 4, -2, -2, 4, 68, 180, 180, 73, 29, -4, 
0, 19, 19, -9, -9, 19, 68, 185, 195, 87, 39, 0, 
9, 34, 24, -21, -7, 29, 68, 200, 219, 107, 48, 14, 
19, 48, 29, -34, -4, 39, 68, 214, 244, 126, 58, 29, 
24, 58, 34, -41, -4, 46, 63, 234, 263, 146, 78, 39, 
29, 68, 39, -48, -4, 53, 58, 253, 283, 165, 97, 48, 
39, 92, 53, -65, -7, 73, 58, 263, 307, 190, 122, 63, 
48, 117, 68, -82, -9, 92, 58, 273, 331, 214, 146, 78, 
53, 136, 82, -95, -14, 109, 53, 287, 356, 239, 170, 92, 
58, 156, 97, -107, -19, 126, 48, 302, 380, 263, 195, 107, 
68, 175, 107, -122, -19, 141, 43, 312, 400, 287, 214, 126, 
78, 195, 117, -136, -19, 156, 39, 322, 419, 312, 234, 146, 
82, 209, 126, -146, -21, 168, 34, 331, 444, 336, 258, 165, 
87, 224, 136, -156, -24, 180, 29, 341, 468, 361, 283, 185, 
92, 244, 151, -168, -29, 197, 24, 341, 483, 380, 302, 200, 
97, 263, 165, -180, -34, 214, 19, 341, 497, 400, 322, 214, 
107, 278, 170, -192, -31, 224, 9, 341, 502, 414, 341, 234, 
117, 292, 175, -204, -29, 234, 0, 341, 507, 429, 361, 253, 
117, 297, 180, -207, -31, 239, -9, 331, 507, 429, 366, 263, 
117, 302, 185, -209, -34, 244, -19, 322, 507, 429, 370, 273, 
126, 302, 175, -214, -24, 239, -24, 307, 492, 424, 370, 273, 
136, 302, 165, -219, -14, 234, -29, 292, 478, 419, 370, 273, 
122, 283, 161, -202, -19, 222, -29, 263, 439, 390, 356, 258, 
107, 263, 156, -185, -24, 209, -29, 234, 400, 361, 341, 244, 
97, 239, 141, -168, -21, 190, -29, 200, 356, 322, 297, 214, 
87, 214, 126, -151, -19, 170, -29, 165, 312, 283, 253, 185, 
78, 185, 107, -131, -14, 146, -29, 131, 263, 234, 219, 165, 
68, 156, 87, -112, -9, 122, -29, 97, 214, 185, 185, 146, 
53, 126, 73, -90, -9, 100, -19, 78, 175, 146, 146, 112, 
39, 97, 58, -68, -9, 78, -9, 58, 136, 107, 107, 78, 
29, 68, 39, -48, -4, 53, -9, 39, 102, 73, 73, 53, 
19, 39, 19, -29, 0, 29, -9, 19, 68, 39, 39, 29, 
4, 19, 14, -12, -4, 17, -4, 9, 43, 9, 14, 4, 
-9, 0, 9, 4, -9, 4, 0, 0, 19, -19, -9, -19, 
-14, -19, -4, 17, -4, -12, 4, -9, 4, -34, -24, -24, 
-19, -39, -19, 29, 0, -29, 9, -19, -9, -48, -39, -29, 
-19, -48, -29, 34, 4, -39, 9, -24, -24, -58, -48, -39, 
-19, -58, -39, 39, 9, -48, 9, -29, -39, -68, -58, -48, 
-19, -63, -43, 41, 12, -53, 14, -34, -48, -78, -63, -53, 
-19, -68, -48, 43, 14, -58, 19, -39, -58, -87, -68, -58, 
-24, -68, -43, 46, 9, -56, 19, -39, -58, -87, -73, -58, 
-29, -68, -39, 48, 4, -53, 19, -39, -58, -87, -78, -58, 
-29, -68, -39, 48, 4, -53, 19, -39, -63, -92, -78, -63, 
-29, -68, -39, 48, 4, -53, 19, -39, -68, -97, -78, -68, 
-29, -68, -39, 48, 4, -53, 14, -39, -68, -97, -82, -68, 
-29, -68, -39, 48, 4, -53, 9, -39, -68, -97, -87, -68, 
-29, -68, -39, 48, 4, -53, 9, -39, -63, -97, -87, -68, 
-29, -68, -39, 48, 4, -53, 9, -39, -58, -97, -87, -68, 
-29, -73, -43, 51, 7, -58, 9, -34, -58, -97, -87, -68, 
-29, -78, -48, 53, 9, -63, 9, -29, -58, -97, -87, -68, 
-29, -78, -48, 53, 9, -63, 14, -29, -58, -97, -87, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -58, -97, -87, -68, 
-29, -78, -48, 53, 9, -63, 19, -34, -58, -97, -87, -68, 
-29, -78, -48, 53, 9, -63, 19, -39, -58, -97, -87, -68, 
-34, -78, -43, 56, 4, -61, 19, -39, -58, -92, -82, -68, 
-39, -78, -39, 58, 0, -58, 19, -39, -58, -87, -78, -68, 
-39, -78, -39, 58, 0, -58, 19, -34, -58, -87, -78, -68, 
-39, -78, -39, 58, 0, -58, 19, -29, -58, -87, -78, -68, 
-34, -78, -43, 56, 4, -61, 19, -29, -58, -87, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -58, -87, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -58, -87, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -58, -87, -78, -68, 
-29, -73, -43, 51, 7, -58, 19, -29, -58, -87, -78, -68, 
-29, -68, -39, 48, 4, -53, 19, -29, -58, -87, -78, -68, 
-29, -68, -39, 48, 4, -53, 19, -29, -58, -87, -73, -68, 
-29, -68, -39, 48, 4, -53, 19, -29, -58, -87, -68, -68, 
-29, -68, -39, 48, 4, -53, 19, -24, -58, -87, -68, -68, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -68, 
-29, -68, -39, 48, 4, -53, 19, -19, -53, -87, -68, -68, 
-29, -68, -39, 48, 4, -53, 19, -19, -48, -87, -68, -68, 
-29, -68, -39, 48, 4, -53, 19, -19, -48, -87, -68, -63, 
-29, -68, -39, 48, 4, -53, 19, -19, -48, -87, -68, -58, 
-29, -68, -39, 48, 4, -53, 14, -19, -48, -82, -68, -58, 
-29, -68, -39, 48, 4, -53, 9, -19, -48, -78, -68, -58, 
-29, -68, -39, 48, 4, -53, 9, -19, -48, -78, -68, -58, 
-29, -68, -39, 48, 4, -53, 9, -19, -48, -78, -68, -58, 
-29, -68, -39, 48, 4, -53, 14, -19, -53, -82, -68, -58, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -58, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -58, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -58, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -58, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -58, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -58, 
-29, -68, -39, 48, 4, -53, 19, -19, -58, -87, -68, -58, 
-24, -68, -43, 46, 9, -56, 19, -24, -58, -87, -73, -63, 
-19, -68, -48, 43, 14, -58, 19, -29, -58, -87, -78, -68, 
-19, -68, -48, 43, 14, -58, 19, -29, -58, -92, -78, -68, 
-19, -68, -48, 43, 14, -58, 19, -29, -58, -97, -78, -68, 
-24, -73, -48, 48, 12, -61, 19, -29, -63, -97, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -68, -97, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -68, -97, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -68, -97, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -68, -97, -78, -68, 
-29, -78, -48, 53, 9, -63, 19, -29, -68, -97, -78, -68, 
-29, -78, -48, 53, 9, -63, 14, -29, -73, -102, -78, -73, 
-29, -78, -48, 53, 9, -63, 9, -29, -78, -107, -78, -78, 
-29, -78, -48, 53, 9, -63, 9, -29, -78, -107, -78, -78, 
-29, -78, -48, 53, 9, -63, 9, -29, -78, -107, -78, -78, 
-29, -78, -48, 53, 9, -63, 9, -29, -78, -107, -78, -78, 
-29, -78, -48, 53, 9, -63, 9, -29, -78, -107, -78, -78, 
-29, -78, -48, 53, 9, -63, 9, -29, -82, -107, -82, -78, 
-29, -78, -48, 53, 9, -63, 9, -29, -87, -107, -87, -78, 
-29, -78, -48, 53, 9, -63, 9, -34, -87, -107, -87, -78, 
-29, -78, -48, 53, 9, -63, 9, -39, -87, -107, -87, -78, 
-29, -78, -48, 53, 9, -63, 14, -39, -87, -107, -87, -78, 
-29, -78, -48, 53, 9, -63, 19, -39, -87, -107, -87, -78, 
-34, -78, -43, 56, 4, -61, 19, -39, -87, -112, -92, -78, 
-39, -78, -39, 58, 0, -58, 19, -39, -87, -117, -97, -78, 
-39, -78, -39, 58, 0, -58, 14, -39, -87, -117, -97, -78, 
-39, -78, -39, 58, 0, -58, 9, -39, -87, -117, -97, -78, 
-39, -82, -43, 61, 2, -63, 9, -39, -87, -117, -97, -78, 
-39, -87, -48, 63, 4, -68, 9, -39, -87, -117, -97, -78, 
-39, -87, -48, 63, 4, -68, 9, -39, -87, -117, -97, -78, 
-39, -87, -48, 63, 4, -68, 9, -39, -87, -117, -97, -78, 
-34, -82, -48, 58, 7, -65, 9, -39, -87, -117, -97, -78, 
-29, -78, -48, 53, 9, -63, 9, -39, -87, -117, -97, -78, 
-29, -78, -48, 53, 9, -63, 14, -39, -87, -117, -97, -78, 
-29, -78, -48, 53, 9, -63, 19, -39, -87, -117, -97, -78, 
-29, -73, -43, 51, 7, -58, 19, -34, -87, -112, -92, -78, 
-24, -68, -43, 46, 9, -56, 19, -29, -82, -107, -87, -73, 
-24, -63, -39, 43, 7, -51, 24, -24, -82, -107, -82, -73, 
-19, -43, -24, 31, 2, -34, 24, -19, -68, -92, -78, -63, 
-14, -39, -24, 26, 4, -31, 24, -19, -58, -87, -78, -63, 
-14, -39, -24, 26, 4, -31, 24, -14, -58, -87, -68, -53, 
-9, -39, -29, 24, 9, -34, 19, -14, -58, -87, -63, -53, 
-4, -39, -34, 21, 14, -36, 14, -9, -58, -78, -58, -43, 
4, -34, -39, 14, 21, -36, 14, -9, -48, -73, -53, -43, 
4, -29, -34, 12, 19, -31, 9, -14, -48, -73, -48, -39, 
14, -9, -24, -2, 19, -17, -4, -19, -48, -68, -43, -34, 
29, -4, -34, -12, 31, -19, -19, -24, -48, -73, -43, -34, 
39, -14, -53, -12, 46, -34, -34, -39, -53, -73, -48, -34, 
43, -24, -68, -9, 56, -46, -43, -48, -58, -73, -53, -34, 
43, -29, -73, -7, 58, -51, -43, -48, -73, -78, -53, -34, 
43, -43, -87, 0, 65, -65, -34, -43, -87, -92, -68, -34, 
24, -53, -78, 14, 51, -65, -29, -43, -82, -92, -68, -34, 
9, -58, -68, 24, 39, -63, -14, -43, -82, -92, -68, -43, 
0, -53, -53, 26, 26, -53, -4, -29, -82, -92, -68, -53, 
-14, -53, -39, 34, 12, -46, 4, -24, -73, -92, -73, -63, 
-29, -68, -39, 48, 4, -53, 9, -24, -82, -102, -82, -73, 
-29, -92, -63, 61, 17, -78, 9, -39, -102, -122, -102, -92, 
-34, -102, -68, 68, 17, -85, 9, -48, -112, -131, -117, -97, 
-34, -107, -73, 70, 19, -90, 9, -48, -117, -136, -117, -102, 
-29, -107, -78, 68, 24, -92, 9, -48, -117, -136, -117, -102, 
-29, -107, -78, 68, 24, -92, 9, -48, -117, -136, -117, -102, 
-34, -112, -78, 73, 21, -95, 9, -48, -117, -136, -122, -102, 
-34, -117, -82, 75, 24, -100, 14, -48, -122, -141, -122, -102, 
-34, -117, -82, 75, 24, -100, 19, -48, -122, -141, -122, -107, 
-34, -117, -82, 75, 24, -100, 24, -53, -126, -146, -122, -112, 
-39, -117, -78, 78, 19, -97, 24, -53, -126, -146, -126, -112, 
-43, -117, -73, 80, 14, -95, 24, -53, -126, -146, -126, -112, 
-43, -117, -73, 80, 14, -95, 29, -48, -126, -146, -126, -107, 
-43, -122, -78, 82, 17, -100, 29, -48, -126, -146, -131, -107, 
-43, -122, -78, 82, 17, -100, 29, -48, -126, -146, -131, -107, 
-43, -122, -78, 82, 17, -100, 24, -48, -126, -151, -131, -107, 
-43, -122, -78, 82, 17, -100, 19, -48, -126, -151, -131, -107, 
-43, -122, -78, 82, 17, -100, 14, -48, -126, -151, -131, -107, 
-43, -122, -78, 82, 17, -100, 14, -43, -126, -151, -131, -107, 
-43, -117, -73, 80, 14, -95, 19, -39, -126, -151, -131, -107, 
-43, -117, -73, 80, 14, -95, 19, -34, -126, -151, -131, -107, 
-43, -122, -78, 82, 17, -100, 24, -34, -131, -156, -131, -112, 
-39, -146, -107, 92, 34, -126, 29, -19, -136, -165, -141, -117, 
-24, -170, -146, 97, 61, -158, 29, 4, -136, -165, -151, -122, 
-14, -165, -151, 90, 68, -158, 19, 24, -97, -136, -126, -117, 
24, -117, -141, 46, 82, -129, -24, 24, 4, -19, -19, -43, 
53, -9, -63, -21, 58, -36, -78, 9, 151, 151, 131, 68, 
92, 209, 117, -151, -12, 163, -131, 0, 429, 468, 409, 258, 
156, 512, 356, -334, -100, 434, -224, -43, 800, 912, 814, 541, 
219, 756, 536, -488, -158, 646, -361, -204, 941, 1234, 1137, 785, 
278, 946, 668, -612, -195, 807, -566, -439, 912, 1400, 1351, 971, 
292, 1068, 775, -680, -241, 922, -795, -766, 712, 1420, 1429, 1073, 
263, 1102, 839, -683, -287, 971, -936, -1010, 424, 1293, 1371, 1078, 
170, 1010, 839, -590, -334, 924, -951, -1195, 48, 951, 1117, 961, 
68, 727, 658, -397, -295, 692, -810, -1190, -390, 326, 605, 697, 
-39, 414, 453, -187, -246, 434, -580, -951, -610, -136, 190, 405, 
-82, 209, 292, -63, -187, 251, -405, -717, -580, -239, 4, 209, 
-82, 14, 97, 34, -90, 56, -239, -497, -541, -302, -112, 63, 
-78, -112, -34, 95, -21, -73, -122, -351, -502, -346, -190, -19, 
-73, -175, -102, 124, 14, -139, -87, -283, -434, -336, -219, -82, 
-63, -175, -112, 119, 24, -143, -58, -214, -336, -287, -190, -97, 
-48, -156, -107, 102, 29, -131, 9, -82, -224, -204, -151, -97, 
-39, -112, -73, 75, 17, -92, 58, 4, -146, -146, -112, -78, 
-29, -68, -39, 48, 4, -53, 58, 14, -102, -122, -97, -73, 
-34, -73, -39, 53, 2, -56, 58, 14, -92, -117, -97, -73, 
-39, -78, -39, 58, 0, -58, 58, 19, -82, -107, -97, -73, 
-39, -78, -39, 58, 0, -58, 63, 39, -78, -107, -97, -82, 
-39, -78, -39, 58, 0, -58, 63, 43, -68, -102, -97, -87, 
-39, -73, -34, 56, -2, -53, 63, 43, -53, -102, -97, -92, 
-39, -73, -34, 56, -2, -53, 63, 43, -53, -97, -97, -92, 
-39, -73, -34, 56, -2, -53, 63, 43, -48, -92, -97, -87, 
-34, -73, -39, 53, 2, -56, 63, 48, -48, -92, -92, -87, 
-34, -68, -34, 51, 0, -51, 63, 53, -39, -87, -87, -87, 
-34, -68, -34, 51, 0, -51, 63, 53, -39, -82, -87, -87, 
-34, -68, -34, 51, 0, -51, 63, 53, -34, -82, -82, -87, 
-34, -63, -29, 48, -2, -46, 63, 58, -34, -78, -82, -87, 
-29, -63, -34, 46, 2, -48, 68, 58, -29, -78, -82, -82, 
-29, -63, -34, 46, 2, -48, 73, 63, -24, -78, -82, -78, 
-29, -63, -34, 46, 2, -48, 73, 63, -19, -78, -78, -73, 
-29, -58, -29, 43, 0, -43, 73, 68, -19, -73, -78, -73, 
-29, -58, -29, 43, 0, -43, 68, 68, -14, -73, -78, -73, 
-29, -58, -29, 43, 0, -43, 63, 68, -14, -63, -73, -68, 
-29, -58, -29, 43, 0, -43, 63, 68, -9, -63, -73, -68, 
-24, -53, -29, 39, 2, -41, 63, 73, 0, -58, -73, -68, 
-24, -53, -29, 39, 2, -41, 63, 78, 4, -58, -68, -73, 
-24, -53, -29, 39, 2, -41, 63, 78, 4, -48, -68, -78, 
-24, -48, -24, 36, 0, -36, 68, 82, 14, -48, -58, -73, 
-24, -48, -24, 36, 0, -36, 78, 87, 19, -43, -53, -73, 
-24, -43, -19, 34, -2, -31, 78, 92, 29, -43, -48, -68, 
-24, -43, -19, 34, -2, -31, 78, 97, 39, -34, -48, -68, 
-19, -39, -19, 29, 0, -29, 78, 102, 48, -29, -43, -68, 
-19, -39, -19, 29, 0, -29, 78, 107, 58, -24, -43, -68, 
-19, -34, -14, 26, -2, -24, 82, 117, 68, -14, -43, -63, 
-19, -34, -14, 26, -2, -24, 82, 126, 78, -4, -39, -63, 
-14, -29, -14, 21, 0, -21, 78, 131, 87, 0, -34, -58, 
-14, -29, -14, 21, 0, -21, 78, 141, 102, 9, -29, -48, 
-14, -24, -9, 19, -2, -17, 78, 151, 117, 19, -19, -48, 
