I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, -53, -63, 21, 36, -58, -43, 14, -185, -112, -73, -34, 
4, -58, -63, 26, 34, -61, -39, 14, -185, -112, -73, -34, 
4, -63, -68, 29, 36, -65, -39, 14, -185, -117, -73, -34, 
0, -58, -58, 29, 29, -58, -39, 14, -180, -117, -73, -34, 
0, -53, -53, 26, 26, -53, -39, 14, -175, -117, -63, -39, 
0, -58, -58, 29, 29, -58, -34, 14, -175, -117, -63, -39, 
-9, -63, -53, 36, 21, -58, -29, 19, -175, -112, -58, -39, 
-9, -68, -58, 39, 24, -63, -29, 19, -175, -112, -63, -43, 
0, -68, -68, 34, 34, -68, -24, 24, -175, -107, -63, -43, 
0, -68, -68, 34, 34, -68, -24, 24, -175, -107, -68, -48, 
0, -73, -73, 36, 36, -73, -19, 24, -175, -102, -73, -48, 
0, -68, -68, 34, 34, -68, -19, 24, -170, -102, -73, -48, 
-9, -63, -53, 36, 21, -58, -19, 19, -170, -102, -68, -48, 
-9, -58, -48, 34, 19, -53, -24, 14, -170, -102, -68, -48, 
-14, -58, -43, 36, 14, -51, -24, 19, -170, -102, -63, -43, 
-14, -53, -39, 34, 12, -46, -29, 14, -175, -102, -63, -48, 
-14, -53, -39, 34, 12, -46, -29, 9, -175, -102, -63, -48, 
-14, -53, -39, 34, 12, -46, -29, 9, -170, -97, -58, -48, 
-14, -53, -39, 34, 12, -46, -24, 9, -165, -97, -63, -48, 
-19, -58, -39, 39, 9, -48, -19, 14, -161, -92, -63, -53, 
-24, -68, -43, 46, 9, -56, -14, 14, -151, -87, -63, -53, 
-24, -78, -53, 51, 14, -65, -9, 19, -141, -82, -68, -53, 
-19, -87, -68, 53, 24, -78, 0, 24, -141, -82, -73, -58, 
-19, -97, -78, 58, 29, -87, 4, 29, -136, -82, -78, -53, 
-19, -102, -82, 61, 31, -92, 4, 29, -136, -92, -82, -53, 
-19, -97, -78, 58, 29, -87, 4, 29, -136, -92, -78, -48, 
-14, -92, -78, 53, 31, -85, 4, 29, -141, -97, -82, -48, 
-14, -82, -68, 48, 26, -75, 0, 24, -146, -102, -78, -53, 
-19, -73, -53, 46, 17, -63, -9, 19, -141, -102, -68, -53, 
-24, -68, -43, 46, 9, -56, -9, 19, -141, -97, -63, -53, 
-24, -63, -39, 43, 7, -51, -9, 19, -141, -92, -53, -53, 
-29, -58, -29, 43, 0, -43, -9, 19, -136, -82, -48, -53, 
-34, -58, -24, 46, -4, -41, -14, 14, -136, -82, -43, -53, 
-34, -58, -24, 46, -4, -41, -9, 14, -141, -82, -43, -58, 
-34, -63, -29, 48, -2, -46, -9, 14, -146, -82, -53, -58, 
-39, -68, -29, 53, -4, -48, 0, 19, -146, -78, -53, -58, 
-39, -73, -34, 56, -2, -53, 0, 19, -146, -78, -63, -63, 
-34, -78, -43, 56, 4, -61, 0, 19, -146, -78, -63, -63, 
-34, -78, -43, 56, 4, -61, 4, 24, -146, -78, -68, -63, 
-29, -78, -48, 53, 9, -63, 4, 24, -141, -78, -63, -58, 
-29, -73, -43, 51, 7, -58, 4, 24, -146, -78, -58, -58, 
-29, -73, -43, 51, 7, -58, 4, 24, -141, -82, -53, -58, 
-29, -73, -43, 51, 7, -58, 4, 24, -141, -82, -53, -58, 
-34, -78, -43, 56, 4, -61, 4, 19, -151, -87, -58, -63, 
-34, -78, -43, 56, 4, -61, 0, 14, -156, -87, -63, -63, 
-34, -73, -39, 53, 2, -56, 0, 14, -156, -87, -63, -63, 
-34, -68, -34, 51, 0, -51, 0, 14, -151, -87, -63, -58, 
-34, -68, -34, 51, 0, -51, 0, 19, -151, -87, -63, -58, 
-29, -63, -34, 46, 2, -48, -9, 14, -156, -92, -68, -58, 
-29, -58, -29, 43, 0, -43, 0, 14, -151, -87, -63, -58, 
-29, -58, -29, 43, 0, -43, 0, 14, -151, -87, -63, -63, 
-29, -63, -34, 46, 2, -48, 4, 14, -156, -87, -63, -68, 
-29, -73, -43, 51, 7, -58, 9, 19, -151, -82, -63, -63, 
-34, -78, -43, 56, 4, -61, 4, 19, -151, -82, -68, -68, 
-34, -82, -48, 58, 7, -65, 9, 19, -151, -78, -68, -63, 
-34, -87, -53, 61, 9, -70, 4, 19, -156, -82, -73, -63, 
-34, -92, -58, 63, 12, -75, 0, 19, -156, -92, -78, -63, 
-34, -97, -63, 65, 14, -80, 4, 19, -156, -92, -73, -58, 
-39, -102, -63, 70, 12, -82, 4, 19, -161, -97, -78, -63, 
-39, -102, -63, 70, 12, -82, 0, 19, -161, -102, -73, -68, 
-34, -97, -63, 65, 14, -80, 0, 19, -161, -102, -73, -68, 
-34, -92, -58, 63, 12, -75, -9, 14, -165, -107, -73, -73, 
-34, -87, -53, 61, 9, -70, 0, 14, -170, -107, -73, -73, 
-29, -82, -53, 56, 12, -68, -9, 9, -175, -112, -78, -73, 
-29, -78, -48, 53, 9, -63, -14, 9, -175, -112, -78, -73, 
-29, -78, -48, 53, 9, -63, -14, 9, -180, -117, -78, -68, 
-29, -82, -53, 56, 12, -68, -14, 9, -185, -117, -82, -68, 
-29, -87, -58, 58, 14, -73, -9, 14, -180, -117, -82, -68, 
-29, -97, -68, 63, 19, -82, -9, 14, -185, -122, -92, -73, 
-29, -102, -73, 65, 21, -87, 0, 14, -180, -117, -92, -73, 
-34, -102, -68, 68, 17, -85, -9, 9, -185, -122, -92, -68, 
-34, -97, -63, 65, 14, -80, -9, 9, -185, -122, -87, -68, 
-34, -97, -63, 65, 14, -80, -9, 9, -185, -126, -87, -68, 
-34, -92, -58, 63, 12, -75, -19, 4, -190, -131, -87, -68, 
-34, -87, -53, 61, 9, -70, -19, 4, -195, -131, -82, -63, 
