I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, 58, 48, -34, -19, 53, -97, -48, -653, -488, 97, 527, 
-4, 58, 63, -26, -34, 61, 73, 258, -273, -224, 117, 351, 
-19, 58, 78, -19, -48, 68, 244, 566, 107, 39, 136, 175, 
-24, 68, 92, -21, -58, 80, 278, 644, 175, 78, 117, 126, 
-29, 78, 107, -24, -68, 92, 312, 722, 244, 117, 97, 78, 
-29, 78, 107, -24, -68, 92, 351, 771, 287, 117, 73, 34, 
-29, 78, 107, -24, -68, 92, 390, 819, 331, 117, 48, -9, 
-34, 73, 107, -19, -70, 90, 400, 829, 331, 112, 29, -24, 
-39, 68, 107, -14, -73, 87, 409, 839, 331, 107, 9, -39, 
-39, 58, 97, -9, -68, 78, 414, 844, 336, 92, -19, -58, 
-39, 48, 87, -4, -63, 68, 419, 849, 341, 78, -48, -78, 
-39, 43, 82, -2, -61, 63, 424, 854, 341, 68, -53, -82, 
-39, 39, 78, 0, -58, 58, 429, 858, 341, 58, -58, -87, 
-39, 39, 78, 0, -58, 58, 444, 883, 346, 53, -58, -92, 
-39, 39, 78, 0, -58, 58, 458, 907, 351, 48, -58, -97, 
-39, 48, 87, -4, -63, 68, 458, 922, 361, 43, -63, -102, 
-39, 58, 97, -9, -68, 78, 458, 936, 370, 39, -68, -107, 
-43, 58, 102, -7, -73, 80, 458, 936, 370, 39, -78, -107, 
-48, 58, 107, -4, -78, 82, 458, 936, 370, 39, -87, -107, 
-53, 58, 112, -2, -82, 85, 444, 922, 361, 34, -92, -117, 
-58, 58, 117, 0, -87, 87, 429, 907, 351, 29, -97, -126, 
-58, 43, 102, 7, -80, 73, 414, 902, 351, 19, -102, -131, 
-58, 29, 87, 14, -73, 58, 400, 897, 351, 9, -107, -136, 
-53, 24, 78, 14, -65, 51, 400, 897, 351, 9, -112, -136, 
-48, 19, 68, 14, -58, 43, 400, 897, 351, 9, -117, -136, 
-48, 19, 68, 14, -58, 43, 400, 907, 361, 9, -117, -141, 
-48, 19, 68, 14, -58, 43, 400, 917, 370, 9, -117, -146, 
-48, 14, 63, 17, -56, 39, 400, 922, 375, 4, -122, -156, 
-48, 9, 58, 19, -53, 34, 400, 927, 380, 0, -126, -165, 
-48, 9, 58, 19, -53, 34, 409, 941, 390, -4, -141, -180, 
