I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, 19, 29, -4, -19, 24, 0, -68, -19, -78, -48, 0, 
-9, 19, 29, -4, -19, 24, 0, -68, -19, -78, -48, 0, 
-9, 19, 29, -4, -19, 24, 0, -68, -19, -78, -48, 0, 
-9, 19, 29, -4, -19, 24, 0, -68, -19, -78, -48, 0, 
-4, 39, 43, -17, -24, 41, 4, -68, -9, -73, -43, 9, 
0, 48, 48, -24, -24, 48, 9, -68, -9, -68, -39, 9, 
4, 58, 53, -31, -24, 56, 14, -68, -9, -63, -34, 9, 
9, 68, 58, -39, -24, 63, 19, -68, -9, -58, -29, 9, 
-9, 58, 68, -24, -39, 63, 4, -68, -19, -68, -39, 0, 
-19, 48, 68, -14, -43, 58, 0, -68, -19, -68, -39, 0, 
-29, 39, 68, -4, -48, 53, -4, -68, -19, -68, -39, 0, 
-39, 29, 68, 4, -53, 48, -9, -68, -19, -68, -39, 0, 
-19, 34, 53, -7, -36, 43, 0, -68, -19, -58, -29, 9, 
-9, 39, 48, -14, -29, 43, 0, -68, -19, -58, -29, 9, 
0, 43, 43, -21, -21, 43, 0, -68, -19, -58, -29, 9, 
9, 48, 39, -29, -14, 43, 0, -68, -19, -58, -29, 9, 
4, 39, 34, -21, -14, 36, -9, -68, -19, -68, -34, 0, 
0, 39, 39, -19, -19, 39, -9, -68, -19, -68, -39, 0, 
-4, 39, 43, -17, -24, 41, -9, -68, -19, -68, -43, 0, 
-9, 39, 48, -14, -29, 43, -9, -68, -19, -68, -48, 0, 
0, 43, 43, -21, -21, 43, 0, -78, -19, -68, -39, -9, 
0, 48, 48, -24, -24, 48, 0, -78, -19, -68, -39, -9, 
0, 53, 53, -26, -26, 53, 0, -78, -19, -68, -39, -9, 
0, 58, 58, -29, -29, 58, 0, -78, -19, -68, -39, -9, 
-9, 53, 63, -21, -36, 58, -9, -68, -19, -58, -39, 0, 
-9, 48, 58, -19, -34, 53, -9, -68, -19, -58, -39, 0, 
-9, 43, 53, -17, -31, 48, -9, -68, -19, -58, -39, 0, 
-9, 39, 48, -14, -29, 43, -9, -68, -19, -58, -39, 0, 
-4, 43, 48, -19, -26, 46, 0, -68, -19, -68, -39, -9, 
0, 48, 48, -24, -24, 48, 0, -68, -19, -68, -39, -9, 
4, 53, 48, -29, -21, 51, 0, -68, -19, -68, -39, -9, 
9, 58, 48, -34, -19, 53, 0, -68, -19, -68, -39, -9, 
9, 58, 48, -34, -19, 53, -9, -68, -29, -58, -29, 0, 
9, 58, 48, -34, -19, 53, -9, -68, -29, -58, -29, 0, 
9, 58, 48, -34, -19, 53, -9, -68, -29, -58, -29, 0, 
9, 58, 48, -34, -19, 53, -9, -68, -29, -58, -29, 0, 
-4, 53, 58, -24, -31, 56, -9, -78, -39, -63, -43, -4, 
-9, 48, 58, -19, -34, 53, -9, -78, -39, -68, -48, -9, 
-14, 43, 58, -14, -36, 51, -9, -78, -39, -73, -53, -14, 
