I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, -9, 9, 14, -14, 0, -39, -39, -48, -68, -29, 29, 
-19, -9, 9, 14, -14, 0, -39, -39, -48, -68, -34, 29, 
-19, -9, 9, 14, -14, 0, -39, -39, -48, -68, -39, 29, 
-19, -4, 14, 12, -17, 4, -39, -39, -53, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -43, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -48, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -48, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -48, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -43, -39, -53, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -53, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -58, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -53, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 29, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 24, 
-19, 0, 19, 9, -19, 9, -39, -39, -48, -68, -39, 19, 
-19, 4, 24, 7, -21, 14, -39, -39, -48, -68, -39, 19, 
-19, 9, 29, 4, -24, 19, -39, -39, -48, -68, -39, 19, 
-19, 9, 29, 4, -24, 19, -39, -39, -48, -68, -39, 19, 
-19, 9, 29, 4, -24, 19, -39, -39, -48, -68, -39, 19, 
-19, 4, 24, 7, -21, 14, -34, -39, -48, -68, -39, 19, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -68, -39, 19, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -63, -39, 19, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 19, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 19, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 19, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 14, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -63, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -68, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -68, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -68, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -68, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -68, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -63, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 9, 
-19, 0, 19, 9, -19, 9, -29, -39, -48, -58, -39, 9, 
-24, 0, 24, 12, -24, 12, -29, -39, -48, -58, -39, 9, 
-29, 0, 29, 14, -29, 14, -29, -39, -48, -58, -39, 9, 
-29, 0, 29, 14, -29, 14, -24, -39, -48, -58, -39, 9, 
-29, 0, 29, 14, -29, 14, -19, -39, -48, -58, -39, 9, 
-29, 0, 29, 14, -29, 14, -19, -39, -48, -58, -34, 9, 
-29, 0, 29, 14, -29, 14, -19, -39, -48, -58, -29, 9, 
-24, 0, 24, 12, -24, 12, -19, -34, -48, -58, -29, 9, 
-19, 0, 19, 9, -19, 9, -19, -29, -48, -58, -29, 9, 
-9, 0, 9, 4, -9, 4, -9, -14, -39, -48, -24, 14, 
0, 0, 0, 0, 0, 0, 4, 0, -24, -39, -19, 19, 
