I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 9, -9, 
0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 9, -9, 
0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 9, -9, 
0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 9, -9, 
0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 9, -9, 
0, 0, 0, 0, 0, 0, -4, -9, 0, 0, 4, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
4, 0, -4, -2, 4, -2, -9, -9, 0, 0, 0, -9, 
9, 0, -9, -4, 9, -4, -9, -9, 0, 0, 0, -9, 
9, 0, -9, -4, 9, -4, -9, -9, 0, 0, 0, -9, 
9, 0, -9, -4, 9, -4, -9, -9, 0, 0, 0, -9, 
4, 0, -4, -2, 4, -2, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, -4, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, -9, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, -9, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, -9, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, -9, -9, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, -9, -9, 
4, 0, -4, -2, 4, -2, -9, -9, 0, 0, -9, -9, 
9, 4, -4, -7, 7, 0, -9, -4, 4, 0, -9, -9, 
9, 9, 0, -9, 4, 4, -9, 0, 9, 4, -9, -4, 
24, 19, -4, -21, 14, 7, -9, 4, 14, 9, 4, 0, 
24, 43, 19, -34, 2, 31, -19, 9, 34, 19, 14, 14, 
24, 63, 39, -43, -7, 51, -24, 14, 43, 24, 39, 29, 
48, 102, 53, -75, -2, 78, -29, 14, 63, 43, 48, 39, 
53, 141, 87, -97, -17, 114, -43, 24, 73, 58, 63, 53, 
63, 161, 97, -112, -17, 129, -48, 29, 92, 68, 73, 63, 
63, 175, 112, -119, -24, 143, -53, 34, 102, 78, 87, 78, 
68, 195, 126, -131, -29, 161, -58, 39, 117, 92, 102, 87, 
68, 209, 141, -139, -36, 175, -58, 48, 131, 102, 112, 102, 
68, 209, 141, -139, -36, 175, -63, 29, 131, 102, 112, 102, 
68, 200, 131, -134, -31, 165, -78, -4, 117, 87, 107, 97, 
53, 170, 117, -112, -31, 143, -82, -24, 97, 78, 87, 82, 
53, 146, 92, -100, -19, 119, -82, -24, 82, 68, 78, 73, 
39, 131, 92, -85, -26, 112, -53, -9, 73, 58, 68, 63, 
24, 102, 78, -63, -26, 90, -34, 0, 68, 48, 58, 53, 
9, 48, 39, -29, -14, 43, -14, 0, 39, 29, 39, 29, 
0, 0, 0, 0, 0, 0, -9, 0, 14, 4, 14, 9, 
-4, -9, -4, 7, 0, -7, 0, -14, -4, -14, 4, 0, 
-4, -9, -4, 7, 0, -7, 4, -19, -4, -14, 0, -4, 
-4, -14, -9, 9, 2, -12, 4, -24, -9, -24, -9, -9, 
-4, -19, -14, 12, 4, -17, 4, -24, -9, -29, -14, -9, 
-4, -24, -19, 14, 7, -21, 4, -24, -14, -29, -19, -19, 
0, -29, -29, 14, 14, -29, 4, -24, -14, -29, -19, -24, 
-4, -34, -29, 19, 12, -31, 4, -24, -19, -34, -24, -24, 
-4, -34, -29, 19, 12, -31, 9, -24, -19, -34, -24, -24, 
-4, -34, -29, 19, 12, -31, 9, -29, -19, -39, -24, -29, 
-4, -34, -29, 19, 12, -31, 9, -29, -19, -39, -24, -29, 
-4, -34, -29, 19, 12, -31, 9, -24, -19, -39, -24, -29, 
-4, -34, -29, 19, 12, -31, 9, -24, -19, -39, -24, -29, 
-14, -39, -24, 26, 4, -31, 14, -19, -19, -39, -24, -29, 
-24, -43, -19, 34, -2, -31, 19, -14, -19, -39, -24, -29, 
-9, -43, -34, 26, 12, -39, 19, -14, -19, -39, -24, -29, 
