I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-356, -161, 195, 258, -275, 17, 190, -34, 117, -43, -87, -53, 
-366, -165, 200, 265, -283, 17, 204, -39, 126, -43, -87, -53, 
-370, -165, 204, 268, -287, 19, 204, -43, 126, -48, -92, -58, 
-380, -165, 214, 273, -297, 24, 209, -43, 126, -43, -92, -53, 
-385, -165, 219, 275, -302, 26, 214, -43, 131, -48, -92, -53, 
-390, -161, 229, 275, -309, 34, 219, -48, 131, -48, -92, -53, 
-395, -161, 234, 278, -314, 36, 224, -43, 136, -43, -87, -48, 
-395, -156, 239, 275, -317, 41, 219, -53, 131, -43, -92, -48, 
-400, -151, 248, 275, -324, 48, 219, -53, 136, -39, -92, -48, 
-400, -146, 253, 273, -326, 53, 219, -58, 141, -39, -87, -43, 
-405, -146, 258, 275, -331, 56, 224, -63, 146, -34, -82, -43, 
-414, -141, 273, 278, -344, 65, 224, -63, 156, -24, -82, -39, 
-414, -136, 278, 275, -346, 70, 224, -63, 165, -19, -73, -39, 
-414, -131, 283, 273, -348, 75, 224, -63, 175, -9, -68, -29, 
-414, -122, 292, 268, -353, 85, 219, -63, 175, 0, -63, -29, 
-414, -112, 302, 263, -358, 95, 219, -63, 180, 9, -58, -24, 
-405, -102, 302, 253, -353, 100, 214, -68, 190, 14, -48, -19, 
-395, -87, 307, 241, -351, 109, 209, -68, 195, 24, -39, -9, 
-390, -78, 312, 234, -351, 117, 195, -68, 204, 39, -29, 4, 
-385, -68, 317, 226, -351, 124, 190, -73, 204, 48, -24, 9, 
-370, -53, 317, 212, -344, 131, 180, -78, 204, 53, -14, 14, 
-361, -39, 322, 200, -341, 141, 165, -78, 195, 58, -9, 19, 
-346, -29, 317, 187, -331, 143, 156, -82, 190, 63, 4, 19, 
-331, -19, 312, 175, -322, 146, 146, -78, 185, 68, 14, 29, 
-317, 0, 317, 158, -317, 158, 131, -78, 180, 73, 24, 34, 
-302, 9, 312, 146, -307, 161, 117, -78, 170, 73, 29, 34, 
-287, 14, 302, 136, -295, 158, 107, -73, 165, 78, 39, 43, 
-268, 24, 292, 122, -280, 158, 92, -73, 161, 82, 43, 48, 
-253, 34, 287, 109, -270, 161, 78, -73, 156, 82, 48, 48, 
-239, 39, 278, 100, -258, 158, 68, -68, 151, 87, 58, 58, 
-219, 43, 263, 87, -241, 153, 48, -68, 141, 87, 58, 58, 
-195, 53, 248, 70, -222, 151, 34, -63, 131, 92, 68, 58, 
-180, 58, 239, 61, -209, 148, 24, -58, 122, 92, 78, 63, 
-165, 63, 229, 51, -197, 146, 14, -58, 112, 97, 82, 68, 
-151, 73, 224, 39, -187, 148, 0, -63, 102, 92, 82, 68, 
-141, 78, 219, 31, -180, 148, -14, -58, 97, 97, 87, 73, 
-126, 87, 214, 19, -170, 151, -19, -53, 92, 97, 92, 73, 
-117, 92, 209, 12, -163, 151, -29, -53, 87, 97, 92, 78, 
-102, 92, 195, 4, -148, 143, -34, -48, 82, 97, 92, 73, 
-87, 97, 185, -4, -136, 141, -48, -48, 73, 87, 87, 68, 
-78, 97, 175, -9, -126, 136, -53, -43, 73, 87, 92, 68, 
-73, 97, 170, -12, -122, 134, -63, -48, 63, 82, 87, 68, 
-63, 97, 161, -17, -112, 129, -68, -43, 58, 82, 92, 68, 
-58, 97, 156, -19, -107, 126, -73, -43, 53, 78, 87, 68, 
-53, 97, 151, -21, -102, 124, -78, -39, 53, 82, 92, 68, 
-48, 97, 146, -24, -97, 122, -78, -34, 48, 87, 97, 68, 
-39, 97, 136, -29, -87, 117, -82, -34, 43, 87, 97, 63, 
-34, 102, 136, -34, -85, 119, -87, -29, 39, 87, 97, 58, 
-29, 102, 131, -36, -80, 117, -82, -24, 39, 87, 97, 63, 
-24, 102, 126, -39, -75, 114, -82, -19, 39, 87, 102, 63, 
-19, 102, 122, -41, -70, 112, -87, -19, 34, 87, 102, 58, 
-14, 107, 122, -46, -68, 114, -87, -19, 39, 87, 102, 63, 
-9, 107, 117, -48, -63, 112, -92, -19, 34, 87, 102, 58, 
-9, 107, 117, -48, -63, 112, -92, -19, 39, 92, 107, 58, 
0, 107, 107, -53, -53, 107, -92, -19, 39, 97, 107, 58, 
0, 107, 107, -53, -53, 107, -92, -19, 39, 97, 107, 58, 
-9, 107, 117, -48, -63, 112, -92, -19, 39, 97, 107, 58, 
-9, 102, 112, -46, -61, 107, -92, -9, 43, 102, 112, 63, 
-9, 102, 112, -46, -61, 107, -92, -9, 39, 97, 112, 68, 
-9, 97, 107, -43, -58, 102, -92, -9, 39, 97, 112, 68, 
-9, 97, 107, -43, -58, 102, -92, -9, 39, 102, 112, 68, 
0, 102, 102, -51, -51, 102, -97, -14, 34, 97, 107, 63, 
0, 102, 102, -51, -51, 102, -92, -9, 34, 102, 117, 68, 
4, 102, 97, -53, -46, 100, -92, -9, 34, 107, 117, 68, 
9, 102, 92, -56, -41, 97, -92, 0, 34, 107, 122, 68, 
9, 107, 97, -58, -43, 102, -97, -9, 29, 102, 117, 58, 
9, 107, 97, -58, -43, 102, -97, -9, 29, 97, 117, 58, 
9, 102, 92, -56, -41, 97, -92, 0, 34, 97, 117, 63, 
9, 97, 87, -53, -39, 92, -92, 0, 34, 92, 112, 58, 
4, 92, 87, -48, -41, 90, -87, 4, 43, 97, 112, 58, 
4, 92, 87, -48, -41, 90, -87, 4, 43, 92, 107, 58, 
4, 92, 87, -48, -41, 90, -92, 4, 43, 92, 107, 58, 
0, 92, 92, -46, -46, 92, -92, 4, 43, 97, 107, 58, 
0, 92, 92, -46, -46, 92, -92, 4, 43, 97, 107, 58, 
0, 92, 92, -46, -46, 92, -92, 9, 43, 97, 112, 63, 
0, 92, 92, -46, -46, 92, -92, 9, 43, 97, 112, 63, 
0, 92, 92, -46, -46, 92, -87, 9, 43, 97, 112, 63, 
0, 92, 92, -46, -46, 92, -87, 9, 43, 97, 112, 63, 
4, 92, 87, -48, -41, 90, -87, 9, 43, 97, 112, 58, 
4, 92, 87, -48, -41, 90, -87, 9, 43, 97, 112, 58, 
4, 97, 92, -51, -43, 95, -92, 4, 34, 92, 102, 53, 
4, 97, 92, -51, -43, 95, -92, 4, 34, 92, 102, 53, 
4, 97, 92, -51, -43, 95, -92, 4, 34, 92, 102, 48, 
0, 97, 97, -48, -48, 97, -87, 9, 39, 92, 102, 53, 
4, 92, 87, -48, -41, 90, -87, 9, 39, 92, 102, 48, 
0, 92, 92, -46, -46, 92, -87, 4, 39, 92, 97, 48, 
0, 92, 92, -46, -46, 92, -87, 4, 43, 92, 97, 43, 
0, 92, 92, -46, -46, 92, -87, 4, 43, 92, 97, 43, 
0, 92, 92, -46, -46, 92, -87, 4, 43, 97, 97, 43, 
-9, 92, 102, -41, -56, 97, -87, 4, 39, 102, 102, 43, 
-9, 87, 97, -39, -53, 92, -82, 9, 43, 107, 107, 48, 
