I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-126, -136, -9, 131, -58, -73, 39, -117, -156, -136, -117, -68, 
-136, -136, 0, 136, -68, -68, 29, -151, -156, -122, -112, -68, 
-146, -136, 9, 141, -78, -63, 19, -185, -156, -107, -107, -68, 
-151, -112, 39, 131, -95, -36, 39, -131, -68, -24, -58, -63, 
-156, -87, 68, 122, -112, -9, 58, -78, 19, 58, -9, -58, 
-156, -24, 131, 90, -143, 53, 87, -53, 122, 180, 73, -9, 
-156, 39, 195, 58, -175, 117, 117, -29, 224, 302, 156, 39, 
-112, 209, 322, -48, -217, 265, -24, -214, 209, 448, 322, 170, 
-68, 380, 448, -156, -258, 414, -165, -400, 195, 595, 488, 302, 
-43, 400, 444, -178, -244, 422, -361, -707, -14, 502, 473, 351, 
-19, 419, 439, -200, -229, 429, -556, -1015, -224, 409, 458, 400, 
-68, 273, 341, -102, -204, 307, -590, -1146, -517, 97, 253, 331, 
-117, 126, 244, -4, -180, 185, -624, -1278, -810, -214, 48, 263, 
-165, 14, 180, 75, -173, 97, -551, -1190, -902, -356, -63, 185, 
-214, -97, 117, 156, -165, 9, -478, -1102, -995, -497, -175, 107, 
-214, -126, 87, 170, -151, -19, -385, -897, -902, -478, -195, 58, 
-214, -156, 58, 185, -136, -48, -292, -692, -810, -458, -214, 9, 
-180, -200, -19, 190, -80, -109, -200, -463, -658, -405, -214, -39, 
-146, -244, -97, 195, -24, -170, -107, -234, -507, -351, -214, -87, 
-112, -244, -131, 178, 9, -187, -34, -102, -405, -297, -195, -97, 
-78, -244, -165, 161, 43, -204, 39, 29, -302, -244, -175, -107, 
-68, -224, -156, 146, 43, -190, 68, 78, -229, -204, -146, -92, 
-58, -204, -146, 131, 43, -175, 97, 126, -156, -165, -117, -78, 
-53, -195, -141, 124, 43, -168, 97, 126, -131, -146, -107, -68, 
-48, -185, -136, 117, 43, -161, 97, 126, -107, -126, -97, -58, 
-48, -170, -122, 109, 36, -146, 92, 117, -92, -117, -87, -58, 
-48, -156, -107, 102, 29, -131, 87, 107, -78, -107, -78, -58, 
-48, -151, -102, 100, 26, -126, 87, 102, -73, -97, -78, -53, 
-48, -146, -97, 97, 24, -122, 87, 97, -68, -87, -78, -48, 
-43, -136, -92, 90, 24, -114, 78, 82, -63, -82, -73, -48, 
-39, -126, -87, 82, 24, -107, 68, 68, -58, -78, -68, -48, 
-39, -122, -82, 80, 21, -102, 63, 58, -53, -68, -63, -39, 
-39, -117, -78, 78, 19, -97, 58, 48, -48, -58, -58, -29, 
-39, -117, -78, 78, 19, -97, 58, 48, -43, -58, -53, -29, 
-39, -117, -78, 78, 19, -97, 58, 48, -39, -58, -48, -29, 
-39, -112, -73, 75, 17, -92, 58, 43, -34, -58, -48, -29, 
-39, -107, -68, 73, 14, -87, 58, 39, -29, -58, -48, -29, 
-34, -107, -73, 70, 19, -90, 53, 39, -24, -53, -43, -29, 
-29, -107, -78, 68, 24, -92, 48, 39, -19, -48, -39, -29, 
-24, -102, -78, 63, 26, -90, 48, 39, -19, -48, -34, -24, 
-19, -97, -78, 58, 29, -87, 48, 39, -19, -48, -29, -19, 
-19, -92, -73, 56, 26, -82, 43, 39, -9, -39, -24, -19, 
-19, -87, -68, 53, 24, -78, 39, 39, 0, -29, -19, -19, 
-19, -87, -68, 53, 24, -78, 39, 39, 4, -24, -14, -14, 
-19, -87, -68, 53, 24, -78, 39, 39, 9, -19, -9, -9, 
-14, -82, -68, 48, 26, -75, 39, 39, 14, -19, -9, -9, 
-9, -78, -68, 43, 29, -73, 39, 39, 19, -19, -9, -9, 
-9, -78, -68, 43, 29, -73, 39, 43, 24, -14, -9, -4, 
-9, -78, -68, 43, 29, -73, 39, 48, 29, -9, -9, 0, 
-4, -73, -68, 39, 31, -70, 34, 58, 39, 0, 0, 0, 
0, -68, -68, 34, 34, -68, 29, 68, 48, 9, 9, 0, 
9, -63, -73, 26, 41, -68, 29, 73, 63, 19, 14, 0, 
19, -58, -78, 19, 48, -68, 29, 78, 78, 29, 19, 0, 
24, -48, -73, 12, 48, -61, 24, 87, 92, 39, 29, 4, 
29, -39, -68, 4, 48, -53, 19, 97, 107, 48, 39, 9, 
39, -34, -73, -2, 56, -53, 14, 107, 126, 58, 43, 14, 
48, -29, -78, -9, 63, -53, 9, 117, 146, 68, 48, 19, 
58, -19, -78, -19, 68, -48, 9, 131, 161, 78, 58, 24, 
68, -9, -78, -29, 73, -43, 9, 146, 175, 87, 68, 29, 
78, -4, -82, -36, 80, -43, 4, 165, 200, 107, 73, 34, 
87, 0, -87, -43, 87, -43, 0, 185, 224, 126, 78, 39, 
102, 4, -97, -53, 100, -46, 0, 204, 248, 136, 97, 43, 
117, 9, -107, -63, 112, -48, 0, 224, 273, 146, 117, 48, 
136, 24, -112, -80, 124, -43, -4, 248, 307, 170, 126, 58, 
156, 39, -117, -97, 136, -39, -9, 273, 341, 195, 136, 68, 
170, 53, -117, -112, 143, -31, -14, 297, 375, 214, 161, 82, 
185, 68, -117, -126, 151, -24, -19, 322, 409, 234, 185, 97, 
209, 82, -126, -146, 168, -21, -24, 346, 448, 258, 195, 102, 
234, 97, -136, -165, 185, -19, -29, 370, 488, 283, 204, 107, 
253, 117, -136, -185, 195, -9, -34, 395, 517, 307, 229, 122, 
273, 136, -136, -204, 204, 0, -39, 419, 546, 331, 253, 136, 
292, 151, -141, -222, 217, 4, -43, 444, 585, 351, 268, 146, 
312, 165, -146, -239, 229, 9, -48, 468, 624, 370, 283, 156, 
341, 180, -161, -261, 251, 9, -63, 488, 649, 390, 302, 170, 
370, 195, -175, -283, 273, 9, -78, 507, 673, 409, 322, 185, 
385, 209, -175, -297, 280, 17, -87, 517, 692, 419, 336, 195, 
400, 224, -175, -312, 287, 24, -97, 527, 712, 429, 351, 204, 
414, 234, -180, -324, 297, 26, -107, 536, 732, 444, 361, 209, 
429, 244, -185, -336, 307, 29, -117, 546, 751, 458, 370, 214, 
429, 248, -180, -339, 305, 34, -117, 546, 751, 463, 375, 224, 
429, 253, -175, -341, 302, 39, -117, 546, 751, 468, 380, 234, 
429, 253, -175, -341, 302, 39, -122, 531, 741, 468, 380, 234, 
429, 253, -175, -341, 302, 39, -126, 517, 732, 468, 380, 234, 
419, 248, -170, -334, 295, 39, -126, 497, 702, 448, 375, 234, 
409, 244, -165, -326, 287, 39, -126, 478, 673, 429, 370, 234, 
385, 234, -151, -309, 268, 41, -122, 448, 639, 409, 351, 224, 
361, 224, -136, -292, 248, 43, -117, 419, 605, 390, 331, 214, 
336, 204, -131, -270, 234, 36, -112, 385, 551, 361, 307, 195, 
312, 185, -126, -248, 219, 29, -107, 351, 497, 331, 283, 175, 
278, 165, -112, -222, 195, 26, -92, 317, 448, 297, 253, 161, 
244, 146, -97, -195, 170, 24, -78, 283, 400, 263, 224, 146, 
214, 126, -87, -170, 151, 19, -63, 244, 346, 229, 200, 131, 
185, 107, -78, -146, 131, 14, -48, 204, 292, 195, 175, 117, 
156, 92, -63, -124, 109, 14, -43, 175, 253, 165, 146, 97, 
126, 78, -48, -102, 87, 14, -39, 146, 214, 136, 117, 78, 
102, 63, -39, -82, 70, 12, -29, 122, 175, 112, 97, 68, 
78, 48, -29, -63, 53, 9, -19, 97, 136, 87, 78, 58, 
58, 39, -19, -48, 39, 9, -14, 78, 107, 63, 58, 43, 
39, 29, -9, -34, 24, 9, -9, 58, 78, 39, 39, 29, 
19, 19, 0, -19, 9, 9, 0, 39, 53, 29, 29, 19, 
0, 9, 9, -4, -4, 9, 9, 19, 29, 19, 19, 9, 
-4, 4, 9, 0, -7, 7, 14, 9, 14, 9, 9, 9, 
-9, 0, 9, 4, -9, 4, 19, 0, 0, 0, 0, 9, 
-19, -4, 14, 12, -17, 4, 24, -9, -9, -4, -4, 0, 
-29, -9, 19, 19, -24, 4, 29, -19, -19, -9, -9, -9, 
-34, -14, 19, 24, -26, 2, 29, -19, -29, -14, -9, -9, 
-39, -19, 19, 29, -29, 0, 29, -19, -39, -19, -9, -9, 
-39, -19, 19, 29, -29, 0, 29, -24, -43, -29, -19, -14, 
-39, -19, 19, 29, -29, 0, 29, -29, -48, -39, -29, -19, 
-43, -19, 24, 31, -34, 2, 34, -29, -48, -39, -29, -19, 
-48, -19, 29, 34, -39, 4, 39, -29, -48, -39, -29, -19, 
-48, -19, 29, 34, -39, 4, 39, -29, -48, -39, -34, -19, 
-48, -19, 29, 34, -39, 4, 39, -29, -48, -39, -39, -19, 
-48, -24, 24, 36, -36, 0, 39, -29, -53, -39, -39, -19, 
