I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, 292, 331, -126, -185, 312, 39, 48, 761, 829, 741, 585, 
14, 400, 385, -207, -185, 392, 0, 117, 1005, 1146, 1019, 780, 
68, 507, 439, -287, -185, 473, -39, 185, 1249, 1464, 1298, 976, 
180, 673, 492, -427, -156, 583, -229, 126, 1220, 1698, 1571, 1190, 
292, 839, 546, -566, -126, 692, -419, 68, 1190, 1932, 1844, 1405, 
346, 814, 468, -580, -61, 641, -683, -307, 556, 1678, 1844, 1473, 
400, 790, 390, -595, 4, 590, -946, -683, -78, 1424, 1844, 1542, 
380, 107, -273, -244, 326, -82, -814, -736, -1215, 4, 527, 561, 
361, -575, -936, 107, 649, -756, -683, -790, -2352, -1415, -790, -419, 
287, -980, -1268, 346, 778, -1124, -507, -741, -2781, -2137, -1576, -1093, 
214, -1385, -1600, 585, 907, -1493, -331, -692, -3211, -2859, -2361, -1766, 
175, -1283, -1459, 553, 817, -1371, -302, -673, -2898, -2640, -2225, -1693, 
136, -1180, -1317, 522, 727, -1249, -273, -653, -2586, -2420, -2088, -1620, 
82, -990, -1073, 453, 578, -1032, -244, -605, -2181, -2064, -1795, -1400, 
29, -800, -829, 385, 429, -814, -214, -556, -1776, -1708, -1503, -1180, 
-9, -663, -653, 336, 322, -658, -165, -492, -1449, -1415, -1259, -990, 
-48, -527, -478, 287, 214, -502, -117, -429, -1122, -1122, -1015, -800, 
-63, -385, -322, 224, 129, -353, -92, -341, -839, -844, -766, -610, 
-78, -244, -165, 161, 43, -204, -68, -253, -556, -566, -517, -419, 
-78, -170, -92, 124, 7, -131, -24, -175, -366, -390, -366, -297, 
-78, -97, -19, 87, -29, -58, 19, -97, -175, -214, -214, -175, 
-63, -82, -19, 73, -21, -51, 39, -53, -107, -151, -165, -146, 
-48, -68, -19, 58, -14, -43, 58, -9, -39, -87, -117, -117, 
-58, -82, -24, 70, -17, -53, 63, 0, -29, -73, -97, -97, 
-68, -97, -29, 82, -19, -63, 68, 9, -19, -58, -78, -78, 
-68, -78, -9, 73, -29, -43, 68, 9, 4, -39, -68, -73, 
-68, -58, 9, 63, -39, -24, 68, 9, 29, -19, -58, -68, 
-63, -58, 4, 61, -34, -26, 78, 19, 39, -14, -43, -58, 
-58, -58, 0, 58, -29, -29, 87, 29, 48, -9, -29, -48, 
-58, -58, 0, 58, -29, -29, 92, 34, 63, -9, -29, -48, 
-58, -58, 0, 58, -29, -29, 97, 39, 78, -9, -29, -48, 
-63, -58, 4, 61, -34, -26, 97, 39, 78, 0, -29, -48, 
-68, -58, 9, 63, -39, -24, 97, 39, 78, 9, -29, -48, 
-68, -63, 4, 65, -36, -29, 97, 48, 92, 19, -24, -43, 
-68, -68, 0, 68, -34, -34, 97, 58, 107, 29, -19, -39, 
-68, -68, 0, 68, -34, -34, 97, 63, 112, 29, -19, -39, 
-68, -68, 0, 68, -34, -34, 97, 68, 117, 29, -19, -39, 
-63, -63, 0, 63, -31, -31, 97, 73, 126, 34, -19, -39, 
-58, -58, 0, 58, -29, -29, 97, 78, 136, 39, -19, -39, 
-58, -48, 9, 53, -34, -19, 97, 78, 146, 48, -9, -34, 
-58, -39, 19, 48, -39, -9, 97, 78, 156, 58, 0, -29, 
-58, -48, 9, 53, -34, -19, 102, 82, 165, 58, 0, -29, 
-58, -58, 0, 58, -29, -29, 107, 87, 175, 58, 0, -29, 
-58, -63, -4, 61, -26, -34, 112, 97, 180, 58, -9, -34, 
-58, -68, -9, 63, -24, -39, 117, 107, 185, 58, -19, -39, 
-58, -68, -9, 63, -24, -39, 122, 112, 200, 68, -9, -39, 
-58, -68, -9, 63, -24, -39, 126, 117, 214, 78, 0, -39, 
-58, -68, -9, 63, -24, -39, 131, 131, 234, 87, 4, -39, 
-58, -68, -9, 63, -24, -39, 136, 146, 253, 97, 9, -39, 
-53, -68, -14, 61, -19, -41, 141, 156, 258, 97, 9, -39, 
-48, -68, -19, 58, -14, -43, 146, 165, 263, 97, 9, -39, 
-48, -58, -9, 53, -19, -34, 146, 170, 273, 97, 4, -43, 
-48, -48, 0, 48, -24, -24, 146, 175, 283, 97, 0, -48, 
-48, -48, 0, 48, -24, -24, 151, 195, 297, 102, 0, -48, 
-48, -48, 0, 48, -24, -24, 156, 214, 312, 107, 0, -48, 
-43, -63, -19, 53, -12, -41, 170, 229, 331, 126, 14, -39, 
-39, -78, -39, 58, 0, -58, 185, 244, 351, 146, 29, -29, 
-34, -68, -34, 51, 0, -51, 185, 263, 361, 151, 29, -39, 
-29, -58, -29, 43, 0, -43, 185, 283, 370, 156, 29, -48, 
-29, -48, -19, 39, -4, -34, 190, 292, 385, 156, 19, -53, 
-29, -39, -9, 34, -9, -24, 195, 302, 400, 156, 9, -58, 
-29, -39, -9, 34, -9, -24, 204, 322, 424, 170, 19, -58, 
-29, -39, -9, 34, -9, -24, 214, 341, 448, 185, 29, -58, 
-24, -39, -14, 31, -4, -26, 219, 356, 463, 200, 34, -53, 
-19, -39, -19, 29, 0, -29, 224, 370, 478, 214, 39, -48, 
-19, -29, -9, 24, -4, -19, 224, 385, 497, 229, 43, -48, 
-19, -19, 0, 19, -9, -9, 224, 400, 517, 244, 48, -48, 
-14, -4, 9, 9, -12, 2, 224, 409, 536, 253, 58, -43, 
-9, 9, 19, 0, -14, 14, 224, 419, 556, 263, 68, -39, 
-4, 9, 14, -2, -9, 12, 224, 419, 570, 287, 97, -14, 
0, 9, 9, -4, -4, 9, 224, 419, 585, 312, 126, 9, 
4, 14, 9, -9, -2, 12, 214, 419, 595, 346, 156, 24, 
9, 19, 9, -14, 0, 14, 204, 419, 605, 380, 185, 39, 
14, 29, 14, -21, 0, 21, 195, 409, 614, 405, 214, 68, 
19, 39, 19, -29, 0, 29, 185, 400, 624, 429, 244, 97, 
19, 53, 34, -36, -7, 43, 156, 380, 624, 448, 273, 126, 
19, 68, 48, -43, -14, 58, 126, 361, 624, 468, 302, 156, 
29, 102, 73, -65, -21, 87, 102, 326, 600, 468, 317, 175, 
39, 136, 97, -87, -29, 117, 78, 292, 575, 468, 331, 195, 
43, 136, 92, -90, -24, 114, 68, 263, 541, 458, 341, 214, 
48, 136, 87, -92, -19, 112, 58, 234, 507, 448, 351, 234, 
48, 136, 87, -92, -19, 112, 39, 195, 458, 414, 341, 234, 
48, 136, 87, -92, -19, 112, 19, 156, 409, 380, 331, 234, 
43, 126, 82, -85, -19, 104, 14, 131, 356, 326, 283, 209, 
39, 117, 78, -78, -19, 97, 9, 107, 302, 273, 234, 185, 
34, 102, 68, -68, -17, 85, 0, 78, 253, 229, 204, 161, 
29, 87, 58, -58, -14, 73, -9, 48, 204, 185, 175, 136, 
24, 63, 39, -43, -7, 51, -9, 34, 170, 156, 151, 126, 
19, 39, 19, -29, 0, 29, -9, 19, 136, 126, 126, 117, 
9, 39, 29, -24, -9, 34, -9, 0, 112, 102, 107, 97, 
0, 39, 39, -19, -19, 39, -9, -19, 87, 78, 87, 78, 
0, 34, 34, -17, -17, 34, -9, -29, 73, 53, 73, 73, 
0, 29, 29, -14, -14, 29, -9, -39, 58, 29, 58, 68, 
-4, 29, 34, -12, -19, 31, -14, -43, 53, 19, 39, 53, 
-9, 29, 39, -9, -24, 34, -19, -48, 48, 9, 19, 39, 
-9, 19, 29, -4, -19, 24, -19, -48, 48, 9, 19, 34, 
-9, 9, 19, 0, -14, 14, -19, -48, 48, 9, 19, 29, 
-14, -9, 4, 12, -9, -2, -14, -43, 48, 9, 19, 29, 
-19, -29, -9, 24, -4, -19, -9, -39, 48, 9, 19, 29, 
-19, -29, -9, 24, -4, -19, -9, -39, 39, 9, 19, 29, 
-19, -29, -9, 24, -4, -19, -9, -39, 29, 9, 19, 29, 
-19, -29, -9, 24, -4, -19, -9, -39, 19, 4, 9, 29, 
-19, -29, -9, 24, -4, -19, -9, -39, 9, 0, 0, 29, 
-14, -24, -9, 19, -2, -17, -9, -39, -4, 0, 0, 24, 
-9, -19, -9, 14, 0, -14, -9, -39, -19, 0, 0, 19, 
-9, -19, -9, 14, 0, -14, -4, -39, -24, 0, 0, 19, 
-9, -19, -9, 14, 0, -14, 0, -39, -29, 0, 0, 19, 
-14, -19, -4, 17, -4, -12, 0, -39, -34, 0, 0, 19, 
-19, -19, 0, 19, -9, -9, 0, -39, -39, 0, 0, 19, 
-19, -14, 4, 17, -12, -4, 0, -39, -39, -4, 0, 14, 
-19, -9, 9, 14, -14, 0, 0, -39, -39, -9, 0, 9, 
-19, -9, 9, 14, -14, 0, 0, -34, -34, -9, -9, 9, 
-19, -9, 9, 14, -14, 0, 0, -29, -29, -9, -19, 9, 
-14, -19, -4, 17, -4, -12, 0, -29, -24, -9, -9, 14, 
-9, -29, -19, 19, 4, -24, 0, -29, -19, -9, 0, 19, 
-9, -29, -19, 19, 4, -24, 0, -29, -19, -9, 0, 19, 
-9, -29, -19, 19, 4, -24, 0, -29, -19, -9, 0, 19, 
-14, -29, -14, 21, 0, -21, 0, -29, -19, -14, 0, 14, 
-19, -29, -9, 24, -4, -19, 0, -29, -19, -19, 0, 9, 
-19, -29, -9, 24, -4, -19, 0, -29, -19, -19, 0, 9, 
-19, -29, -9, 24, -4, -19, 0, -29, -19, -19, 0, 9, 
-24, -39, -14, 31, -4, -26, 0, -29, -19, -9, 0, 9, 
-29, -48, -19, 39, -4, -34, 0, -29, -19, 0, 0, 9, 
-29, -29, 0, 29, -14, -14, 0, -29, -24, -14, -9, 0, 
-29, -9, 19, 19, -24, 4, 0, -29, -29, -29, -19, -9, 
-29, -29, 0, 29, -14, -14, 0, -24, -29, -29, -19, -9, 
-29, -48, -19, 39, -4, -34, 0, -19, -29, -29, -19, -9, 
-29, -48, -19, 39, -4, -34, 0, -19, -29, -19, -14, -4, 
-29, -48, -19, 39, -4, -34, 0, -19, -29, -9, -9, 0, 
-29, -43, -14, 36, -7, -29, 0, -24, -29, -9, 0, 9, 
-29, -39, -9, 34, -9, -24, 0, -29, -29, -9, 9, 19, 
-29, -39, -9, 34, -9, -24, 0, -29, -29, -9, 9, 19, 
-29, -39, -9, 34, -9, -24, 0, -29, -29, -9, 9, 19, 
-29, -39, -9, 34, -9, -24, 4, -29, -34, -14, 0, 19, 
-29, -39, -9, 34, -9, -24, 9, -29, -39, -19, -9, 19, 
-29, -39, -9, 34, -9, -24, 9, -29, -39, -19, -9, 14, 
-29, -39, -9, 34, -9, -24, 9, -29, -39, -19, -9, 9, 
-29, -34, -4, 31, -12, -19, 4, -34, -43, -19, -9, 9, 
-29, -29, 0, 29, -14, -14, 0, -39, -48, -19, -9, 9, 
-29, -29, 0, 29, -14, -14, 0, -39, -48, -19, -4, 9, 
-29, -29, 0, 29, -14, -14, 0, -39, -48, -19, 0, 9, 
-29, -29, 0, 29, -14, -14, 0, -43, -53, -19, 0, 9, 
-29, -29, 0, 29, -14, -14, 0, -48, -58, -19, 0, 9, 
-29, -29, 0, 29, -14, -14, 0, -48, -58, -19, 0, 9, 
-29, -29, 0, 29, -14, -14, 0, -48, -58, -19, 0, 9, 
-29, -29, 0, 29, -14, -14, 0, -48, -63, -24, -4, 9, 
-29, -29, 0, 29, -14, -14, 0, -48, -68, -29, -9, 9, 
-29, -29, 0, 29, -14, -14, 0, -48, -68, -34, -9, 0, 
-29, -29, 0, 29, -14, -14, 0, -48, -68, -39, -9, -9, 
-24, -43, -19, 34, -2, -31, 0, -48, -68, -39, -9, 0, 
-19, -58, -39, 39, 9, -48, 0, -48, -68, -39, -9, 9, 
-19, -34, -14, 26, -2, -24, -9, -58, -68, -39, -9, 9, 
-19, -9, 9, 14, -14, 0, -19, -68, -68, -39, -9, 9, 
-19, -9, 9, 14, -14, 0, -9, -58, -63, -39, -9, 9, 
-19, -9, 9, 14, -14, 0, 0, -48, -58, -39, -9, 9, 
-9, 0, 9, 4, -9, 4, 0, -43, -39, -19, 9, 19, 
0, 9, 9, -4, -4, 9, 0, -39, -19, 0, 29, 29, 
0, 34, 34, -17, -17, 34, -9, -39, -14, 4, 29, 34, 
0, 58, 58, -29, -29, 58, -19, -39, -9, 9, 29, 39, 
9, 39, 29, -24, -9, 34, -9, -29, -4, 9, 29, 39, 
19, 48, 29, -34, -4, 39, -19, -24, 4, 19, 39, 48, 
34, 63, 29, -48, 2, 46, -29, -24, 19, 29, 53, 63, 
58, 102, 43, -80, 7, 73, -53, -24, 48, 58, 87, 102, 
63, 146, 82, -104, -9, 114, -73, -39, 48, 68, 92, 112, 
63, 161, 97, -112, -17, 129, -92, -48, 43, 68, 92, 112, 
58, 180, 122, -119, -31, 151, -117, -92, 9, 48, 73, 107, 
53, 200, 146, -126, -46, 173, -126, -117, -9, 34, 68, 102, 
53, 214, 161, -134, -53, 187, -131, -107, -9, 34, 73, 107, 
68, 190, 122, -129, -26, 156, -131, -92, 9, 53, 92, 122, 
87, 165, 78, -126, 4, 122, -126, -48, 39, 82, 122, 146, 
82, 122, 39, -102, 21, 80, -107, -29, 48, 87, 136, 161, 
87, 122, 34, -104, 26, 78, -97, -39, 39, 87, 136, 165, 
78, 141, 63, -109, 7, 102, -97, -53, 29, 78, 122, 156, 
63, 112, 48, -87, 7, 80, -82, -53, 14, 63, 107, 141, 
43, 73, 29, -58, 7, 51, -58, -53, 0, 48, 92, 117, 
9, 29, 19, -19, -4, 24, -39, -58, -24, 24, 63, 87, 
-19, 4, 24, 7, -21, 14, -29, -63, -53, -14, 19, 48, 
-29, -24, 4, 26, -17, -9, -19, -68, -68, -39, -4, 24, 
-39, -34, 4, 36, -21, -14, -14, -73, -78, -53, -24, 4, 
-39, -19, 19, 29, -29, 0, -14, -73, -87, -73, -48, -14, 
-39, -14, 24, 26, -31, 4, -14, -68, -87, -82, -63, -24, 
-39, -43, -4, 41, -17, -24, -9, -68, -78, -63, -39, -14, 
-39, -68, -29, 53, -4, -48, -4, -68, -73, -48, -19, 0, 
-39, -68, -29, 53, -4, -48, -4, -68, -73, -48, -19, 0, 
-39, -68, -29, 53, -4, -48, -4, -63, -73, -53, -24, -4, 
-39, -68, -29, 53, -4, -48, 0, -63, -73, -58, -29, -4, 
-39, -68, -29, 53, -4, -48, 4, -63, -73, -58, -34, -4, 
-39, -78, -39, 58, 0, -58, 9, -63, -73, -58, -39, -9, 
-39, -78, -39, 58, 0, -58, 9, -63, -78, -63, -43, -19, 
-39, -68, -29, 53, -4, -48, 9, -63, -78, -63, -43, -19, 
-43, -63, -19, 53, -12, -41, 14, -63, -78, -63, -43, -19, 
-43, -78, -34, 61, -4, -56, 19, -63, -78, -68, -39, -19, 
-43, -87, -43, 65, 0, -65, 19, -63, -78, -68, -39, -19, 
-53, -68, -14, 61, -19, -41, 19, -63, -87, -73, -43, -24, 
-53, -34, 19, 43, -36, -7, 24, -68, -68, -43, -34, -19, 
-58, -19, 39, 39, -48, 9, 34, -53, 19, 34, 39, 34, 
-73, 0, 73, 36, -73, 36, 48, -48, 117, 126, 117, 102, 
-82, 68, 151, 7, -117, 109, 53, -43, 258, 258, 253, 214, 
-82, 156, 239, -36, -161, 197, 53, -9, 488, 502, 483, 400, 
-53, 278, 331, -112, -192, 305, 48, 53, 775, 854, 780, 619, 
-14, 380, 395, -183, -204, 387, 29, 122, 1015, 1146, 1029, 795, 
63, 492, 429, -278, -183, 461, 0, 239, 1337, 1512, 1322, 980, 
170, 600, 429, -385, -129, 514, -131, 253, 1420, 1790, 1595, 1171, 
283, 839, 556, -561, -136, 697, -405, 107, 1283, 2030, 1942, 1459, 
356, 1010, 653, -683, -148, 832, -741, -273, 795, 1961, 2098, 1644, 
409, 829, 419, -619, -4, 624, -1024, -766, -53, 1620, 2103, 1766, 
429, 165, -263, -297, 346, -48, -956, -868, -1098, 429, 1034, 980, 
341, -780, -1122, 219, 732, -951, -619, -761, -2605, -1761, -1093, -629, 
258, -1327, -1586, 534, 922, -1456, -395, -702, -3294, -2801, -2156, -1507, 
224, -1473, -1698, 624, 961, -1586, -312, -668, -3211, -2845, -2361, -1781, 
190, -1429, -1620, 619, 905, -1525, -283, -663, -3010, -2752, -2337, -1805, 
141, -1224, -1366, 541, 753, -1295, -263, -644, -2562, -2391, -2064, -1590, 
92, -985, -1078, 446, 585, -1032, -253, -600, -2108, -2010, -1747, -1346, 
19, -854, -873, 417, 446, -863, -190, -531, -1766, -1693, -1493, -1180, 
-34, -717, -683, 375, 324, -700, -136, -488, -1478, -1429, -1273, -1019, 
-63, -546, -483, 305, 209, -514, -97, -419, -1098, -1083, -976, -766, 
-73, -419, -346, 246, 136, -383, -63, -322, -775, -790, -717, -575, 
-87, -287, -200, 187, 56, -244, -43, -224, -517, -522, -478, -385, 
-87, -200, -112, 143, 12, -156, 0, -156, -336, -336, -312, -253, 
-82, -146, -63, 114, -9, -104, 53, -73, -141, -175, -175, -151, 
-73, -131, -58, 102, -7, -95, 78, -4, -29, -87, -102, -92, 
-63, -117, -53, 90, -4, -85, 78, 9, -14, -63, -78, -82, 
-63, -136, -73, 100, 4, -104, 82, 14, -9, -39, -53, -63, 
-63, -136, -73, 100, 4, -104, 87, 19, 4, -34, -48, -58, 
-63, -122, -58, 92, -2, -90, 97, 29, 39, -24, -48, -58, 
-63, -112, -48, 87, -7, -80, 97, 43, 63, -4, -29, -48, 
-63, -107, -43, 85, -9, -75, 97, 48, 73, 4, -14, -39, 
-63, -117, -53, 90, -4, -85, 102, 53, 82, 9, -4, -29, 
-68, -117, -48, 92, -9, -82, 102, 58, 97, 9, -14, -29, 
-68, -97, -29, 82, -19, -63, 102, 58, 102, 14, -14, -24, 
