I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, 156, 156, -78, -78, 156, -29, -87, -87, -58, -19, 29, 
0, 156, 156, -78, -78, 156, -29, -87, -87, -58, -19, 29, 
0, 156, 156, -78, -78, 156, -29, -87, -87, -58, -19, 29, 
0, 156, 156, -78, -78, 156, -29, -87, -87, -58, -19, 29, 
9, 156, 146, -82, -68, 151, -29, -97, -97, -58, -29, 19, 
9, 156, 146, -82, -68, 151, -29, -97, -97, -58, -29, 19, 
9, 156, 146, -82, -68, 151, -29, -97, -97, -58, -29, 19, 
9, 156, 146, -82, -68, 151, -29, -97, -97, -58, -29, 19, 
19, 156, 136, -87, -58, 146, -29, -97, -97, -58, -19, 29, 
19, 156, 136, -87, -58, 146, -29, -97, -97, -58, -19, 29, 
19, 156, 136, -87, -58, 146, -29, -97, -97, -58, -19, 29, 
19, 156, 136, -87, -58, 146, -29, -97, -97, -58, -19, 29, 
9, 146, 136, -78, -63, 141, -29, -97, -97, -58, -9, 29, 
9, 146, 136, -78, -63, 141, -29, -97, -97, -58, -9, 29, 
9, 146, 136, -78, -63, 141, -29, -97, -97, -58, -9, 29, 
9, 146, 136, -78, -63, 141, -29, -97, -97, -58, -9, 29, 
9, 146, 136, -78, -63, 141, -19, -97, -97, -63, -19, 29, 
9, 146, 136, -78, -63, 141, -19, -97, -97, -68, -19, 29, 
9, 146, 136, -78, -63, 141, -19, -97, -97, -73, -19, 29, 
9, 146, 136, -78, -63, 141, -19, -97, -97, -78, -19, 29, 
19, 146, 126, -82, -53, 136, -29, -107, -107, -78, -29, 29, 
19, 146, 126, -82, -53, 136, -29, -107, -107, -78, -29, 29, 
19, 146, 126, -82, -53, 136, -29, -107, -107, -78, -29, 29, 
19, 146, 126, -82, -53, 136, -29, -107, -107, -78, -29, 29, 
9, 146, 136, -78, -63, 141, -29, -107, -117, -78, -29, 29, 
9, 146, 136, -78, -63, 141, -29, -107, -117, -78, -29, 29, 
9, 146, 136, -78, -63, 141, -29, -107, -117, -78, -29, 29, 
9, 146, 136, -78, -63, 141, -29, -107, -117, -78, -29, 29, 
9, 156, 146, -82, -68, 151, -19, -97, -107, -68, -19, 34, 
9, 165, 156, -87, -73, 161, -19, -102, -107, -68, -19, 39, 
9, 180, 170, -95, -80, 175, -14, -102, -97, -63, -9, 53, 
9, 195, 185, -102, -87, 190, -14, -97, -92, -53, -4, 63, 
9, 204, 195, -107, -92, 200, -9, -97, -87, -48, -4, 58, 
9, 214, 204, -112, -97, 209, -9, -92, -82, -43, 4, 63, 
4, 219, 214, -112, -104, 217, -4, -92, -78, -39, 9, 73, 
4, 229, 224, -117, -109, 226, 0, -92, -78, -34, 14, 73, 
4, 229, 224, -117, -109, 226, 9, -92, -73, -34, 4, 78, 
0, 239, 239, -119, -119, 239, 14, -92, -68, -34, 4, 78, 
0, 244, 244, -122, -122, 244, 19, -92, -63, -29, 4, 78, 
0, 248, 248, -124, -124, 248, 24, -92, -58, -19, 9, 78, 
9, 268, 258, -139, -124, 263, 14, -97, -43, -14, 19, 82, 
9, 283, 273, -146, -131, 278, 14, -97, -29, -9, 24, 92, 
9, 302, 292, -156, -141, 297, 14, -97, -19, 0, 39, 107, 
9, 322, 312, -165, -151, 317, 14, -102, -9, 9, 48, 122, 
14, 326, 312, -170, -148, 319, 9, -97, -4, 19, 48, 126, 
29, 356, 326, -192, -148, 341, -4, -92, 4, 34, 63, 136, 
39, 380, 341, -209, -151, 361, -24, -87, 14, 43, 82, 151, 
39, 400, 361, -219, -161, 380, -48, -87, 24, 53, 97, 161, 
58, 434, 375, -246, -158, 405, -82, -92, 34, 68, 112, 185, 
63, 448, 385, -256, -161, 417, -102, -92, 43, 73, 126, 195, 
68, 463, 395, -265, -163, 429, -122, -92, 53, 78, 141, 200, 
68, 473, 405, -270, -168, 439, -136, -102, 58, 82, 146, 204, 
78, 497, 419, -287, -170, 458, -151, -117, 48, 82, 141, 209, 
82, 507, 424, -295, -170, 466, -161, -117, 53, 92, 156, 219, 
82, 527, 444, -305, -180, 485, -165, -122, 53, 92, 156, 229, 
87, 531, 444, -309, -178, 488, -175, -126, 53, 92, 156, 229, 
78, 531, 453, -305, -187, 492, -165, -122, 53, 92, 156, 234, 
78, 527, 448, -302, -185, 488, -170, -122, 53, 92, 156, 239, 
78, 536, 458, -307, -190, 497, -170, -126, 48, 92, 156, 239, 
78, 531, 453, -305, -187, 492, -170, -136, 48, 82, 156, 239, 
63, 517, 453, -290, -195, 485, -170, -126, 34, 78, 156, 229, 
63, 512, 448, -287, -192, 480, -170, -131, 29, 73, 156, 229, 
63, 497, 434, -280, -185, 466, -170, -136, 14, 58, 151, 229, 
63, 492, 429, -278, -183, 461, -161, -136, 4, 43, 141, 219, 
63, 488, 424, -275, -180, 456, -161, -141, -4, 39, 146, 219, 
63, 478, 414, -270, -175, 446, -151, -136, -4, 43, 146, 224, 
68, 458, 390, -263, -161, 424, -151, -126, -4, 53, 146, 229, 
