I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -68, -29, 53, -4, -48, 68, 29, -9, -29, -39, -48, 
-39, -68, -29, 53, -4, -48, 68, 29, -9, -29, -39, -48, 
-39, -68, -29, 53, -4, -48, 68, 29, -9, -29, -39, -48, 
-39, -68, -29, 53, -4, -48, 68, 29, -9, -29, -39, -48, 
-39, -58, -19, 48, -9, -39, 58, 29, -9, -34, -43, -58, 
-39, -58, -19, 48, -9, -39, 58, 29, -9, -39, -48, -58, 
-39, -58, -19, 48, -9, -39, 58, 29, -9, -43, -53, -58, 
-39, -58, -19, 48, -9, -39, 58, 29, -9, -48, -58, -58, 
-48, -68, -19, 58, -14, -43, 58, 39, -4, -43, -48, -48, 
-48, -68, -19, 58, -14, -43, 58, 39, 0, -39, -48, -48, 
-48, -68, -19, 58, -14, -43, 58, 39, 4, -34, -48, -48, 
-48, -68, -19, 58, -14, -43, 58, 39, 9, -29, -48, -48, 
-39, -68, -29, 53, -4, -48, 58, 39, 0, -34, -58, -58, 
-39, -68, -29, 53, -4, -48, 58, 39, 0, -39, -58, -58, 
-39, -68, -29, 53, -4, -48, 58, 39, 0, -43, -58, -58, 
-39, -68, -29, 53, -4, -48, 58, 39, 0, -48, -58, -58, 
-39, -78, -39, 58, 0, -58, 58, 48, 9, -39, -48, -58, 
-39, -78, -39, 58, 0, -58, 58, 48, 9, -39, -48, -58, 
-39, -78, -39, 58, 0, -58, 58, 48, 9, -39, -48, -58, 
-39, -78, -39, 58, 0, -58, 58, 48, 9, -39, -48, -58, 
-29, -68, -39, 48, 4, -53, 58, 43, 9, -48, -58, -58, 
-29, -68, -39, 48, 4, -53, 58, 39, 9, -48, -58, -58, 
-29, -68, -39, 48, 4, -53, 58, 34, 9, -48, -58, -58, 
-29, -68, -39, 48, 4, -53, 58, 29, 9, -48, -58, -58, 
-39, -78, -39, 58, 0, -58, 58, 39, 14, -39, -48, -68, 
-39, -78, -39, 58, 0, -58, 58, 39, 19, -39, -48, -68, 
-39, -78, -39, 58, 0, -58, 58, 39, 24, -39, -48, -68, 
-39, -78, -39, 58, 0, -58, 58, 39, 29, -39, -48, -68, 
-39, -73, -34, 56, -2, -53, 58, 29, 24, -39, -48, -63, 
-39, -68, -29, 53, -4, -48, 58, 29, 19, -39, -48, -58, 
-39, -63, -24, 51, -7, -43, 58, 29, 14, -39, -48, -53, 
-39, -58, -19, 48, -9, -39, 58, 29, 9, -39, -48, -48, 
-39, -68, -29, 53, -4, -48, 58, 29, 14, -29, -48, -53, 
-39, -68, -29, 53, -4, -48, 58, 29, 19, -29, -48, -58, 
-39, -68, -29, 53, -4, -48, 58, 29, 24, -29, -48, -63, 
-39, -68, -29, 53, -4, -48, 58, 29, 29, -29, -48, -68, 
-39, -63, -24, 51, -7, -43, 58, 19, 19, -29, -39, -53, 
-39, -58, -19, 48, -9, -39, 58, 19, 19, -29, -39, -48, 
-39, -53, -14, 46, -12, -34, 58, 19, 19, -29, -39, -43, 
-39, -48, -9, 43, -14, -29, 58, 19, 19, -29, -39, -39, 
-48, -58, -9, 53, -19, -34, 68, 29, 29, -29, -48, -43, 
-48, -58, -9, 53, -19, -34, 68, 29, 29, -29, -48, -48, 
-48, -58, -9, 53, -19, -34, 68, 29, 29, -29, -48, -53, 
-48, -58, -9, 53, -19, -34, 68, 29, 29, -29, -48, -58, 
-48, -53, -4, 51, -21, -29, 58, 19, 19, -29, -48, -53, 
-48, -48, 0, 48, -24, -24, 58, 19, 19, -29, -48, -48, 
-48, -43, 4, 46, -26, -19, 58, 19, 19, -29, -48, -43, 
-48, -39, 9, 43, -29, -14, 58, 19, 19, -29, -48, -39, 
-58, -53, 4, 56, -31, -24, 68, 24, 24, -39, -63, -53, 
-58, -58, 0, 58, -29, -29, 68, 29, 29, -39, -68, -58, 
-58, -63, -4, 61, -26, -34, 68, 34, 34, -39, -73, -63, 
-58, -68, -9, 63, -24, -39, 68, 39, 39, -39, -78, -68, 
-58, -58, 0, 58, -29, -29, 58, 39, 29, -29, -73, -63, 
-58, -58, 0, 58, -29, -29, 58, 39, 29, -29, -68, -58, 
-58, -58, 0, 58, -29, -29, 58, 39, 29, -29, -63, -53, 
-58, -58, 0, 58, -29, -29, 58, 39, 29, -29, -58, -48, 
-68, -63, 4, 65, -36, -29, 63, 48, 34, -39, -73, -63, 
-68, -68, 0, 68, -34, -34, 68, 48, 39, -39, -78, -68, 
-68, -73, -4, 70, -31, -39, 73, 48, 43, -39, -82, -73, 
-68, -78, -9, 73, -29, -43, 78, 48, 48, -39, -87, -78, 
-68, -73, -4, 70, -31, -39, 68, 43, 48, -34, -82, -73, 
-68, -68, 0, 68, -34, -34, 68, 39, 48, -29, -78, -68, 
-68, -63, 4, 65, -36, -29, 68, 34, 48, -24, -73, -63, 
-68, -58, 9, 63, -39, -24, 68, 29, 48, -19, -68, -58, 
-68, -63, 4, 65, -36, -29, 78, 39, 58, -24, -82, -63, 
-68, -68, 0, 68, -34, -34, 78, 39, 58, -29, -87, -68, 
-68, -73, -4, 70, -31, -39, 78, 39, 58, -34, -92, -73, 
-68, -78, -9, 73, -29, -43, 78, 39, 58, -39, -97, -78, 
-73, -63, 9, 68, -41, -26, 68, 29, 58, -29, -82, -73, 
-78, -58, 19, 68, -48, -19, 68, 29, 58, -29, -78, -68, 
-82, -53, 29, 68, -56, -12, 68, 29, 58, -29, -73, -63, 
-87, -48, 39, 68, -63, -4, 68, 29, 58, -29, -68, -58, 
-97, -58, 39, 78, -68, -9, 78, 29, 63, -39, -82, -63, 
-97, -58, 39, 78, -68, -9, 78, 29, 68, -39, -87, -68, 
-97, -58, 39, 78, -68, -9, 78, 29, 73, -39, -92, -73, 
-97, -58, 39, 78, -68, -9, 78, 29, 78, -39, -97, -78, 
-107, -53, 53, 80, -80, 0, 78, 24, 78, -29, -82, -73, 
-107, -48, 58, 78, -82, 4, 78, 19, 78, -29, -78, -68, 
-107, -43, 63, 75, -85, 9, 78, 14, 78, -29, -73, -63, 
-107, -39, 68, 73, -87, 14, 78, 9, 78, -29, -68, -58, 
-107, -48, 58, 78, -82, 4, 78, 9, 87, -43, -78, -73, 
-107, -48, 58, 78, -82, 4, 78, 9, 87, -48, -87, -78, 
-107, -48, 58, 78, -82, 4, 78, 9, 87, -53, -97, -82, 
-107, -48, 58, 78, -82, 4, 78, 9, 87, -58, -107, -87, 
-122, -48, 73, 85, -97, 12, 78, 0, 87, -58, -107, -78, 
-126, -48, 78, 87, -102, 14, 78, 0, 87, -58, -107, -78, 
-131, -48, 82, 90, -107, 17, 78, 0, 87, -58, -107, -78, 
-136, -48, 87, 92, -112, 19, 78, 0, 87, -58, -107, -78, 
-141, -63, 78, 102, -109, 7, 82, 0, 78, -68, -122, -87, 
-146, -68, 78, 107, -112, 4, 87, 0, 78, -78, -136, -97, 
-151, -73, 78, 112, -114, 2, 92, 0, 78, -87, -151, -107, 
-156, -78, 78, 117, -117, 0, 97, 0, 78, -97, -165, -117, 
-170, -82, 87, 126, -129, 2, 97, -14, 73, -102, -170, -126, 
-175, -87, 87, 131, -131, 0, 97, -19, 68, -107, -175, -126, 
-180, -92, 87, 136, -134, -2, 97, -24, 63, -112, -180, -126, 
-185, -97, 87, 141, -136, -4, 97, -29, 58, -117, -185, -126, 
-190, -117, 73, 153, -131, -21, 107, -29, 43, -136, -209, -146, 
-195, -126, 68, 161, -131, -29, 107, -29, 39, -146, -224, -156, 
-200, -136, 63, 168, -131, -36, 107, -29, 34, -156, -239, -165, 
-204, -146, 58, 175, -131, -43, 107, -29, 29, -165, -253, -175, 
-219, -156, 63, 187, -141, -46, 117, -39, 14, -175, -263, -180, 
-224, -165, 58, 195, -141, -53, 117, -39, 9, -185, -273, -185, 
-229, -175, 53, 202, -141, -61, 117, -39, 4, -195, -283, -190, 
-234, -185, 48, 209, -141, -68, 117, -39, 0, -204, -292, -195, 
-244, -204, 39, 224, -141, -82, 122, -29, -9, -229, -312, -209, 
-244, -214, 29, 229, -136, -92, 126, -29, -19, -244, -331, -224, 
-244, -224, 19, 234, -131, -102, 131, -29, -29, -258, -351, -239, 
-244, -234, 9, 239, -126, -112, 136, -29, -39, -273, -370, -253, 
-258, -248, 9, 253, -134, -119, 141, -29, -48, -292, -385, -263, 
-263, -263, 0, 263, -131, -131, 146, -29, -58, -302, -400, -273, 
-268, -278, -9, 273, -129, -143, 151, -29, -68, -312, -414, -283, 
-273, -292, -19, 283, -126, -156, 156, -29, -78, -322, -429, -292, 
-283, -307, -24, 295, -129, -165, 165, -29, -92, -346, -453, -312, 
-283, -322, -39, 302, -122, -180, 165, -29, -107, -361, -468, -322, 
-283, -336, -53, 309, -114, -195, 165, -29, -122, -375, -483, -331, 
-283, -351, -68, 317, -107, -209, 165, -29, -136, -390, -497, -341, 
-292, -366, -73, 329, -109, -219, 170, -19, -151, -405, -507, -356, 
-292, -380, -87, 336, -102, -234, 175, -19, -156, -409, -517, -361, 
-292, -395, -102, 344, -95, -248, 180, -19, -161, -414, -527, -366, 
-292, -409, -117, 351, -87, -263, 185, -19, -165, -419, -536, -370, 
-283, -424, -141, 353, -70, -283, 185, -9, -185, -439, -546, -375, 
