I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
68, 39, -29, -53, 48, 4, 48, 253, 156, 136, 87, 78, 
68, 39, -29, -53, 48, 4, 48, 253, 156, 136, 87, 78, 
68, 39, -29, -53, 48, 4, 48, 253, 156, 136, 87, 78, 
68, 39, -29, -53, 48, 4, 48, 253, 156, 136, 87, 78, 
87, 53, -34, -70, 61, 9, 63, 273, 170, 151, 102, 92, 
97, 58, -39, -78, 68, 9, 68, 283, 175, 156, 107, 97, 
107, 63, -43, -85, 75, 9, 73, 292, 180, 161, 112, 102, 
117, 68, -48, -92, 82, 9, 78, 302, 185, 165, 117, 107, 
126, 78, -48, -102, 87, 14, 68, 317, 195, 175, 131, 112, 
126, 78, -48, -102, 87, 14, 68, 331, 204, 185, 136, 117, 
126, 78, -48, -102, 87, 14, 68, 346, 214, 195, 141, 122, 
126, 78, -48, -102, 87, 14, 68, 361, 224, 204, 146, 126, 
117, 73, -43, -95, 80, 14, 48, 370, 239, 214, 161, 131, 
117, 68, -48, -92, 82, 9, 39, 380, 244, 224, 165, 136, 
117, 63, -53, -90, 85, 4, 29, 390, 248, 234, 170, 141, 
117, 58, -58, -87, 87, 0, 19, 400, 253, 244, 175, 146, 
151, 82, -68, -117, 109, 7, 24, 424, 273, 268, 200, 170, 
175, 107, -68, -141, 122, 19, 29, 448, 292, 283, 214, 185, 
200, 131, -68, -165, 134, 31, 34, 473, 312, 297, 229, 200, 
224, 156, -68, -190, 146, 43, 39, 497, 331, 312, 244, 214, 
234, 165, -68, -200, 151, 48, 24, 512, 341, 331, 253, 229, 
234, 165, -68, -200, 151, 48, 19, 527, 351, 341, 263, 234, 
234, 165, -68, -200, 151, 48, 14, 541, 361, 351, 273, 239, 
234, 165, -68, -200, 151, 48, 9, 556, 370, 361, 283, 244, 
239, 180, -58, -209, 148, 61, 4, 570, 380, 380, 302, 253, 
244, 185, -58, -214, 151, 63, 0, 575, 390, 390, 312, 263, 
248, 190, -58, -219, 153, 65, -4, 580, 400, 400, 322, 273, 
