I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
712, -800, -1512, 43, 1112, -1156, -585, -956, -1102, -1112, -946, -527, 448, -829, -546, 
712, -800, -1512, 43, 1112, -1156, -585, -956, -1102, -1112, -946, -527, 448, -829, -546, 
712, -800, -1512, 43, 1112, -1156, -585, -956, -1102, -1112, -946, -527, 448, -829, -546, 
712, -800, -1512, 43, 1112, -1156, -585, -956, -1102, -1112, -946, -527, 448, -829, -546, 
610, -741, -1351, 65, 980, -1046, -517, -858, -1000, -1010, -873, -488, 424, -741, -488, 
507, -692, -1200, 92, 854, -946, -448, -771, -897, -917, -800, -458, 400, -653, -429, 
405, -644, -1049, 119, 727, -846, -380, -683, -795, -824, -727, -429, 375, -566, -370, 
302, -595, -897, 146, 600, -746, -312, -595, -692, -732, -653, -400, 351, -478, -312, 
258, -517, -775, 129, 517, -646, -253, -507, -605, -639, -566, -346, 307, -409, -268, 
214, -448, -663, 117, 439, -556, -204, -429, -517, -546, -488, -302, 273, -341, -224, 
170, -380, -551, 104, 361, -466, -156, -351, -429, -453, -409, -258, 239, -273, -180, 
126, -312, -439, 92, 283, -375, -107, -273, -341, -361, -331, -214, 204, -204, -136, 
78, -273, -351, 97, 214, -312, -78, -214, -273, -307, -287, -180, 175, -151, -97, 
39, -244, -283, 102, 161, -263, -48, -165, -214, -253, -244, -156, 146, -107, -68, 
0, -214, -214, 107, 107, -214, -19, -117, -156, -200, -200, -131, 117, -63, -39, 
-39, -185, -146, 112, 53, -165, 9, -68, -97, -146, -156, -107, 87, -19, -9, 
-53, -165, -112, 109, 29, -139, 19, -53, -73, -117, -136, -92, 78, -9, 4, 
-58, -146, -87, 102, 14, -117, 29, -39, -58, -97, -117, -78, 68, 0, 9, 
-63, -126, -63, 95, 0, -95, 39, -24, -43, -78, -97, -63, 58, 9, 14, 
-68, -107, -39, 87, -14, -73, 48, -9, -29, -58, -78, -48, 48, 19, 19, 
