I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, 9, 0, -9, 4, 4, -48, -87, 9, 9, -58, 19, 
14, 9, -4, -12, 9, 2, -48, -87, 9, 9, -58, 19, 
19, 9, -9, -14, 14, 0, -48, -87, 9, 9, -58, 19, 
19, 9, -9, -14, 14, 0, -48, -87, 9, 9, -58, 14, 
19, 9, -9, -14, 14, 0, -48, -87, 9, 9, -58, 9, 
19, 9, -9, -14, 14, 0, -48, -87, 9, 9, -58, 9, 
19, 9, -9, -14, 14, 0, -48, -87, 9, 9, -58, 9, 
19, 14, -4, -17, 12, 4, -48, -87, 9, 9, -63, 9, 
19, 19, 0, -19, 9, 9, -48, -87, 9, 9, -68, 9, 
14, 19, 4, -17, 4, 12, -48, -87, 9, 9, -68, 9, 
9, 19, 9, -14, 0, 14, -48, -87, 9, 9, -68, 9, 
9, 14, 4, -12, 2, 9, -48, -87, 9, 9, -68, 9, 
9, 9, 0, -9, 4, 4, -48, -87, 9, 9, -68, 9, 
9, 9, 0, -9, 4, 4, -48, -92, 9, 9, -68, 9, 
9, 9, 0, -9, 4, 4, -48, -97, 9, 9, -68, 9, 
14, 9, -4, -12, 9, 2, -48, -97, 9, 9, -68, 14, 
19, 9, -9, -14, 14, 0, -48, -97, 9, 9, -68, 19, 
19, 9, -9, -14, 14, 0, -48, -97, 9, 9, -68, 19, 
19, 9, -9, -14, 14, 0, -48, -97, 9, 9, -68, 19, 
14, 9, -4, -12, 9, 2, -43, -102, 9, 9, -73, 14, 
9, 9, 0, -9, 4, 4, -39, -107, 9, 9, -78, 9, 
9, 9, 0, -9, 4, 4, -39, -107, 9, 9, -78, 9, 
9, 9, 0, -9, 4, 4, -39, -107, 9, 9, -78, 9, 
9, 9, 0, -9, 4, 4, -39, -107, 9, 9, -78, 9, 
9, 9, 0, -9, 4, 4, -39, -107, 9, 9, -78, 9, 
9, 9, 0, -9, 4, 4, -39, -107, 9, 9, -78, 9, 
9, 9, 0, -9, 4, 4, -39, -107, 9, 9, -78, 9, 
9, 14, 4, -12, 2, 9, -39, -107, 14, 9, -78, 9, 
9, 19, 9, -14, 0, 14, -39, -107, 19, 9, -78, 9, 
9, 19, 9, -14, 0, 14, -39, -112, 19, 9, -73, 9, 
9, 19, 9, -14, 0, 14, -39, -117, 19, 9, -68, 9, 
9, 24, 14, -17, -2, 19, -34, -117, 19, 9, -68, 9, 
9, 29, 19, -19, -4, 24, -29, -117, 19, 9, -68, 9, 
9, 34, 24, -21, -7, 29, -29, -122, 19, 14, -73, 9, 
9, 39, 29, -24, -9, 34, -29, -126, 19, 19, -78, 9, 
9, 43, 34, -26, -12, 39, -24, -126, 24, 19, -78, 9, 
9, 48, 39, -29, -14, 43, -19, -126, 29, 19, -78, 9, 
0, 48, 48, -24, -24, 48, -14, -126, 29, 19, -78, 9, 
-9, 48, 58, -19, -34, 53, -9, -126, 29, 19, -78, 9, 
-9, 48, 58, -19, -34, 53, -4, -131, 29, 19, -78, 4, 
-9, 48, 58, -19, -34, 53, 0, -136, 29, 19, -78, 0, 
-14, 53, 68, -19, -41, 61, 4, -136, 29, 14, -82, 0, 
-19, 58, 78, -19, -48, 68, 9, -136, 29, 9, -87, 0, 
-19, 58, 78, -19, -48, 68, 14, -141, 24, 4, -97, -4, 
-19, 58, 78, -19, -48, 68, 19, -146, 19, 0, -107, -9, 
-24, 58, 82, -17, -53, 70, 24, -146, 19, -4, -112, -14, 
-29, 58, 87, -14, -58, 73, 29, -146, 19, -9, -117, -19, 
-34, 58, 92, -12, -63, 75, 29, -151, 14, -19, -126, -24, 
-39, 58, 97, -9, -68, 78, 29, -156, 9, -29, -136, -29, 
-39, 58, 97, -9, -68, 78, 29, -161, 0, -34, -146, -34, 
-39, 58, 97, -9, -68, 78, 29, -165, -9, -39, -156, -39, 
-43, 48, 92, -2, -68, 70, 34, -170, -14, -48, -165, -43, 
-48, 39, 87, 4, -68, 63, 39, -175, -19, -58, -175, -48, 
-48, 34, 82, 7, -65, 58, 39, -175, -19, -63, -175, -48, 
-48, 29, 78, 9, -63, 53, 39, -175, -19, -68, -175, -48, 
