I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
1010, 1864, 854, -1437, 78, 1359, -1083, 370, 1869, 2996, 2918, 2274, -634, -502, -302, 
1015, 1976, 961, -1495, 26, 1468, -1146, 278, 1844, 3118, 3064, 2410, -649, -575, -434, 
1024, 2005, 980, -1515, 21, 1493, -1166, 224, 1820, 3196, 3162, 2493, -653, -624, -531, 
1024, 1995, 971, -1510, 26, 1483, -1185, 200, 1839, 3294, 3284, 2586, -639, -683, -629, 
1005, 1961, 956, -1483, 24, 1459, -1190, 185, 1898, 3386, 3372, 2654, -610, -732, -697, 
951, 1883, 932, -1417, 9, 1407, -1161, 190, 1917, 3333, 3323, 2640, -570, -780, -756, 
951, 1722, 771, -1337, 90, 1246, -1107, 244, 1849, 3069, 3089, 2498, -507, -858, -844, 
956, 1493, 536, -1224, 209, 1015, -1044, 283, 1664, 2659, 2737, 2278, -434, -912, -932, 
907, 1259, 351, -1083, 278, 805, -946, 248, 1376, 2181, 2347, 2034, -361, -922, -956, 
800, 1068, 268, -934, 265, 668, -814, 190, 1049, 1693, 1952, 1771, -297, -858, -922, 
702, 863, 161, -783, 270, 512, -697, 126, 732, 1268, 1605, 1537, -239, -785, -863, 
556, 634, 78, -595, 239, 356, -561, 19, 400, 883, 1244, 1244, -156, -697, -795, 
375, 370, -4, -373, 190, 183, -385, -107, 29, 434, 766, 829, -68, -561, -707, 
165, 131, -34, -148, 100, 48, -180, -195, -312, -24, 253, 370, -4, -390, -561, 
4, -43, -48, 19, 26, -46, -14, -244, -517, -346, -117, 29, 29, -234, -405, 
-58, -146, -87, 102, 14, -117, 58, -229, -527, -463, -297, -131, 48, -156, -302, 
-58, -195, -136, 126, 39, -165, 82, -156, -424, -424, -326, -200, 58, -122, -239, 
-58, -200, -141, 129, 41, -170, 92, -97, -326, -356, -302, -219, 43, -87, -170, 
-58, -185, -126, 122, 34, -156, 87, -92, -292, -312, -283, -209, 39, -63, -131, 
-39, -170, -131, 104, 46, -151, 68, -58, -234, -273, -244, -190, 29, -43, -107, 
-29, -146, -117, 87, 43, -131, 73, -29, -175, -229, -224, -180, 19, -34, -78, 
-19, -126, -107, 73, 43, -117, 63, -14, -151, -214, -204, -165, 19, -19, -53, 
-19, -107, -87, 63, 34, -97, 53, -19, -141, -185, -175, -141, 14, -9, -43, 
-19, -87, -68, 53, 24, -78, 53, -9, -117, -161, -156, -122, 24, 0, -29, 
-29, -82, -53, 56, 12, -68, 53, 0, -92, -146, -146, -112, 14, 0, -19, 
-29, -82, -53, 56, 12, -68, 43, 0, -87, -141, -146, -112, 14, 0, -9, 
