I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-29, -53, -24, 41, -2, -39, 14, -34, -63, -58, -39, -29, 
-24, -68, -43, 46, 9, -56, 14, -39, -58, -63, -43, -34, 
-19, -68, -48, 43, 14, -58, 9, -43, -58, -68, -43, -34, 
-19, -73, -53, 46, 17, -63, 4, -39, -58, -68, -43, -34, 
-19, -73, -53, 46, 17, -63, 4, -39, -58, -68, -43, -34, 
-24, -73, -48, 48, 12, -61, 0, -34, -58, -68, -43, -34, 
-24, -73, -48, 48, 12, -61, -4, -29, -58, -68, -43, -34, 
-24, -73, -48, 48, 12, -61, -4, -29, -58, -68, -43, -39, 
-24, -73, -48, 48, 12, -61, 0, -24, -58, -68, -48, -39, 
-24, -68, -43, 46, 9, -56, 0, -24, -58, -68, -48, -39, 
-19, -68, -48, 43, 14, -58, 0, -24, -58, -68, -48, -39, 
-14, -68, -53, 41, 19, -61, 0, -19, -53, -68, -43, -34, 
-9, -68, -58, 39, 24, -63, 0, -14, -53, -68, -39, -29, 
-14, -68, -53, 41, 19, -61, 0, -14, -53, -63, -34, -24, 
-14, -68, -53, 41, 19, -61, 0, -14, -53, -63, -34, -24, 
-29, -73, -43, 51, 7, -58, 0, -14, -53, -63, -39, -24, 
-43, -82, -39, 63, -2, -61, 0, -19, -48, -63, -39, -24, 
-29, -73, -43, 51, 7, -58, 0, -24, -48, -63, -39, -24, 
-19, -63, -43, 41, 12, -53, 0, -24, -48, -58, -39, -24, 
-19, -63, -43, 41, 12, -53, 4, -19, -43, -58, -39, -29, 
-14, -63, -48, 39, 17, -56, 14, -9, -43, -58, -39, -34, 
-4, -68, -63, 36, 29, -65, 14, 4, -43, -58, -48, -39, 
0, -78, -78, 39, 39, -78, 24, 19, -39, -68, -53, -48, 
14, -68, -82, 26, 48, -75, 29, 48, -4, -48, -43, -39, 
43, 4, -39, -24, 41, -17, 29, 68, 97, 29, 4, -9, 
112, 219, 107, -165, 2, 163, -68, 82, 297, 248, 180, 117, 
224, 527, 302, -375, -39, 414, -234, 97, 492, 546, 453, 346, 
341, 819, 478, -580, -68, 649, -405, 107, 610, 829, 732, 595, 
380, 1098, 717, -739, -168, 907, -561, 48, 683, 1083, 990, 829, 
361, 1288, 927, -824, -283, 1107, -673, -87, 697, 1239, 1166, 1000, 
209, 1390, 1180, -800, -485, 1285, -722, -375, 678, 1298, 1268, 1127, 
0, 1190, 1190, -595, -595, 1190, -619, -536, 483, 1093, 1127, 1029, 
-117, 717, 834, -300, -475, 775, -395, -448, 146, 639, 736, 702, 
-180, 229, 409, -24, -295, 319, -122, -331, -175, 170, 302, 336, 
-195, -126, 68, 161, -131, -29, 78, -224, -341, -141, -14, 48, 
-195, -278, -82, 236, -56, -180, 161, -122, -366, -239, -126, -73, 
-185, -287, -102, 236, -41, -195, 185, -48, -351, -229, -131, -87, 
-126, -278, -151, 202, 12, -214, 195, -9, -317, -214, -131, -97, 
-63, -224, -161, 143, 48, -192, 180, 24, -214, -161, -117, -87, 
-39, -92, -53, 65, 7, -73, 92, 39, -102, -78, -43, -34, 
-39, -39, 0, 39, -19, -19, 48, 39, -73, -48, -19, -9, 
-34, -48, -14, 41, -9, -31, 53, 29, -73, -53, -14, -4, 
-29, -48, -19, 39, -4, -34, 48, 24, -39, -43, -14, -4, 
-19, -43, -24, 31, 2, -34, 39, 14, -24, -39, -9, -4, 
-19, -34, -14, 26, -2, -24, 39, 4, -24, -39, -9, -4, 
-19, -34, -14, 26, -2, -24, 29, 4, -24, -34, -9, 0, 
-19, -29, -9, 24, -4, -19, 29, 9, -19, -34, -9, 0, 
-19, -29, -9, 24, -4, -19, 24, 9, -14, -34, -4, 0, 
-19, -24, -4, 21, -7, -14, 24, 9, -14, -29, -4, 0, 
-19, -24, -4, 21, -7, -14, 24, 9, -9, -19, -4, 0, 
-14, -14, 0, 14, -7, -7, 19, 9, -4, -19, 0, 0, 
-9, -14, -4, 12, -2, -9, 14, 4, -4, -19, 0, 4, 
-4, -14, -9, 9, 2, -12, 4, 4, 0, -19, 0, 4, 
