I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, 0, 0, 0, 0, 0, -19, -29, 9, 9, 19, -9, 
0, 4, 4, -2, -2, 4, -19, -29, 9, 4, 14, -9, 
0, 9, 9, -4, -4, 9, -19, -29, 9, 0, 9, -9, 
0, 9, 9, -4, -4, 9, -14, -29, 9, 0, 9, -9, 
0, 9, 9, -4, -4, 9, -9, -29, 9, 0, 9, -9, 
0, 14, 14, -7, -7, 14, -4, -29, 29, 14, 9, -4, 
0, 19, 19, -9, -9, 19, 0, -29, 48, 29, 9, 0, 
39, 73, 34, -56, 2, 53, 0, -4, 190, 112, 63, 14, 
78, 126, 48, -102, 14, 87, 0, 19, 331, 195, 117, 29, 
292, 312, 19, -302, 136, 165, -73, 87, 741, 453, 258, 68, 
507, 497, -9, -502, 258, 244, -146, 156, 1151, 712, 400, 107, 
771, 649, -122, -710, 446, 263, -258, 214, 1483, 902, 507, 151, 
1034, 800, -234, -917, 634, 283, -370, 273, 1815, 1093, 614, 195, 
1127, 712, -414, -919, 771, 148, -409, 248, 1546, 941, 541, 200, 
1220, 624, -595, -922, 907, 14, -448, 224, 1278, 790, 468, 204, 
795, 356, -439, -575, 617, -41, -434, -131, 439, 346, 258, 204, 
370, 87, -283, -229, 326, -97, -419, -488, -400, -97, 48, 204, 
156, -24, -180, -65, 168, -102, -375, -566, -722, -253, -43, 185, 
-58, -136, -78, 97, 9, -107, -331, -644, -1044, -409, -136, 165, 
-9, -175, -165, 92, 78, -170, -326, -522, -985, -424, -161, 131, 
39, -214, -253, 87, 146, -234, -322, -400, -927, -439, -185, 97, 
97, -170, -268, 36, 183, -219, -278, -263, -736, -356, -156, 92, 
156, -126, -283, -14, 219, -204, -234, -126, -546, -273, -126, 87, 
141, -53, -195, -43, 168, -124, -209, -126, -414, -190, -73, 87, 
126, 19, -107, -73, 117, -43, -185, -126, -283, -107, -19, 87, 
73, 19, -53, -46, 63, -17, -131, -122, -195, -78, -19, 73, 
19, 19, 0, -19, 9, 9, -78, -117, -107, -48, -19, 58, 
-9, 4, 14, 2, -12, 9, -53, -97, -92, -43, -19, 24, 
-39, -9, 29, 24, -34, 9, -29, -78, -78, -39, -19, -9, 
-48, -19, 29, 34, -39, 4, -14, -68, -58, -29, -19, -14, 
-58, -29, 29, 43, -43, 0, 0, -58, -39, -19, -19, -19, 
-63, -34, 29, 48, -46, -2, 4, -58, -39, -19, -19, -19, 
-68, -39, 29, 53, -48, -4, 9, -58, -39, -19, -19, -19, 
-68, -39, 29, 53, -48, -4, 14, -53, -39, -19, -24, -19, 
-68, -39, 29, 53, -48, -4, 19, -48, -39, -19, -29, -19, 
-68, -39, 29, 53, -48, -4, 24, -48, -34, -19, -29, -19, 
-68, -39, 29, 53, -48, -4, 29, -48, -29, -19, -29, -19, 
-73, -39, 34, 56, -53, -2, 34, -43, -24, -19, -29, -19, 
-78, -39, 39, 58, -58, 0, 39, -39, -19, -19, -29, -19, 
-78, -39, 39, 58, -58, 0, 39, -39, -14, -14, -29, -24, 
-78, -39, 39, 58, -58, 0, 39, -39, -9, -9, -29, -29, 
-73, -34, 39, 53, -56, 2, 39, -34, -9, -9, -24, -29, 
-68, -29, 39, 48, -53, 4, 39, -29, -9, -9, -19, -29, 
