I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -244, -204, 141, 82, -224, 107, 126, 195, 136, 97, 126, 
-29, -224, -195, 126, 82, -209, 117, 136, 204, 151, 112, 131, 
-19, -204, -185, 112, 82, -195, 126, 146, 214, 165, 126, 136, 
4, -185, -190, 90, 97, -187, 107, 146, 219, 170, 131, 141, 
29, -165, -195, 68, 112, -180, 87, 146, 224, 175, 136, 146, 
29, -161, -190, 65, 109, -175, 68, 136, 224, 180, 136, 151, 
34, -146, -180, 56, 107, -163, 39, 117, 224, 180, 136, 156, 
43, -136, -180, 46, 112, -158, 14, 102, 224, 185, 136, 161, 
48, -136, -185, 43, 117, -161, -9, 82, 214, 185, 136, 161, 
43, -136, -180, 46, 112, -158, -34, 58, 200, 165, 126, 156, 
39, -156, -195, 58, 117, -175, -53, 39, 170, 146, 112, 151, 
29, -151, -180, 61, 104, -165, -53, 24, 151, 131, 102, 146, 
29, -141, -170, 56, 100, -156, -53, 24, 151, 131, 102, 146, 
39, -141, -180, 51, 109, -161, -43, 24, 151, 136, 117, 161, 
48, -122, -170, 36, 109, -146, -39, 24, 146, 136, 122, 165, 
63, -156, -219, 46, 141, -187, -29, 34, 136, 131, 122, 165, 
48, -195, -244, 73, 146, -219, 0, 48, 122, 117, 107, 161, 
24, -214, -239, 95, 131, -226, 29, 53, 112, 112, 92, 141, 
-9, -239, -229, 124, 109, -234, 58, 68, 112, 107, 82, 126, 
-14, -263, -248, 139, 117, -256, 73, 73, 112, 107, 73, 112, 
-19, -287, -268, 153, 124, -278, 82, 78, 112, 97, 63, 102, 
-29, -302, -273, 165, 122, -287, 97, 78, 102, 78, 48, 82, 
-43, -312, -268, 178, 112, -290, 102, 73, 82, 58, 29, 63, 
-48, -346, -297, 197, 124, -322, 112, 73, 82, 53, 19, 53, 
-53, -356, -302, 204, 124, -329, 122, 78, 78, 48, 14, 43, 
-53, -361, -307, 207, 126, -334, 126, 82, 78, 43, 4, 34, 
-53, -361, -307, 207, 126, -334, 126, 82, 73, 48, 0, 34, 
-63, -361, -297, 212, 117, -329, 126, 78, 73, 43, -4, 29, 
-73, -361, -287, 217, 107, -324, 126, 78, 73, 43, -4, 29, 
-58, -366, -307, 212, 124, -336, 131, 82, 73, 43, 0, 34, 
-43, -366, -322, 204, 139, -344, 136, 82, 73, 39, 4, 34, 
-39, -366, -326, 202, 143, -346, 136, 87, 78, 39, 4, 34, 
-39, -346, -307, 192, 134, -326, 126, 92, 82, 39, 0, 29, 
-48, -356, -307, 202, 129, -331, 136, 92, 82, 43, 0, 29, 
-63, -356, -292, 209, 114, -324, 141, 97, 87, 53, 4, 34, 
-82, -356, -273, 219, 95, -314, 141, 97, 87, 53, 4, 34, 
-97, -361, -263, 229, 82, -312, 146, 102, 92, 58, 4, 34, 
-73, -361, -287, 217, 107, -324, 146, 97, 87, 53, 4, 34, 
-43, -361, -317, 202, 136, -339, 141, 92, 82, 43, 4, 34, 
-43, -366, -322, 204, 139, -344, 136, 92, 82, 43, 4, 34, 
-43, -366, -322, 204, 139, -344, 136, 92, 82, 43, 4, 34, 
-48, -366, -317, 207, 134, -341, 136, 92, 87, 48, 4, 34, 
-53, -366, -312, 209, 129, -339, 136, 92, 92, 53, 4, 29, 
-58, -356, -297, 207, 119, -326, 136, 92, 92, 53, 14, 29, 
-63, -356, -292, 209, 114, -324, 141, 92, 92, 43, 14, 24, 
-78, -356, -278, 217, 100, -317, 156, 97, 102, 43, -9, 9, 
-87, -351, -263, 219, 87, -307, 190, 151, 180, 73, -19, -9, 
-82, -331, -248, 207, 82, -290, 287, 336, 395, 190, 19, -14, 
-63, -331, -268, 197, 102, -300, 419, 639, 688, 341, 58, -19, 
-19, -326, -307, 173, 143, -317, 610, 1068, 985, 483, 107, -19, 
4, -283, -287, 139, 146, -285, 707, 1273, 1063, 502, 122, -24, 
4, -239, -244, 117, 124, -241, 507, 907, 507, 190, -4, -73, 
-48, -239, -190, 143, 70, -214, 170, 131, -683, -453, -278, -156, 
-112, -263, -151, 187, 19, -207, -117, -663, -1756, -1010, -507, -244, 
-117, -278, -161, 197, 21, -219, -458, -1522, -2644, -1366, -561, -190, 
-19, -234, -214, 126, 97, -224, -907, -2205, -3181, -1488, -453, 9, 
229, -131, -361, -48, 295, -246, -1415, -2566, -3298, -1327, -190, 322, 
492, -39, -531, -226, 512, -285, -1639, -2474, -2903, -1058, -239, 287, 
