I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
107, 292, 185, -200, -39, 239, -58, 644, 146, 527, 370, 390, 
92, 248, 156, -170, -31, 202, -43, 624, 107, 488, 341, 370, 
78, 204, 126, -141, -24, 165, -29, 605, 68, 448, 312, 351, 
58, 175, 117, -117, -29, 146, -24, 585, 43, 424, 287, 331, 
39, 146, 107, -92, -34, 126, -19, 566, 19, 400, 263, 312, 
29, 117, 87, -73, -29, 102, -14, 551, -4, 375, 244, 292, 
19, 87, 68, -53, -24, 78, -9, 536, -29, 351, 224, 273, 
4, 73, 68, -39, -31, 70, -4, 527, -43, 331, 209, 253, 
-9, 58, 68, -24, -39, 63, 0, 517, -58, 312, 195, 234, 
-19, 34, 53, -7, -36, 43, 4, 512, -78, 297, 175, 219, 
-29, 9, 39, 9, -34, 24, 9, 507, -97, 283, 156, 204, 
-34, -4, 29, 19, -31, 12, 14, 502, -102, 273, 146, 200, 
-39, -19, 19, 29, -29, 0, 19, 497, -107, 263, 136, 195, 
-43, -24, 19, 34, -31, -2, 24, 492, -112, 258, 131, 190, 
-48, -29, 19, 39, -34, -4, 29, 488, -117, 253, 126, 185, 
-48, -29, 19, 39, -34, -4, 29, 488, -122, 248, 122, 175, 
-48, -29, 19, 39, -34, -4, 29, 488, -126, 244, 117, 165, 
-48, -29, 19, 39, -34, -4, 24, 488, -131, 244, 117, 165, 
-48, -29, 19, 39, -34, -4, 19, 488, -136, 244, 117, 165, 
-43, -29, 14, 36, -29, -7, 19, 488, -136, 239, 117, 161, 
-39, -29, 9, 34, -24, -9, 19, 488, -136, 234, 117, 156, 
-39, -29, 9, 34, -24, -9, 19, 483, -136, 234, 117, 156, 
-39, -29, 9, 34, -24, -9, 19, 478, -136, 234, 117, 156, 
-43, -34, 9, 39, -26, -12, 14, 473, -141, 234, 117, 156, 
-48, -39, 9, 43, -29, -14, 9, 468, -146, 234, 117, 156, 
-53, -43, 9, 48, -31, -17, 9, 458, -146, 229, 117, 146, 
-58, -48, 9, 53, -34, -19, 9, 448, -146, 224, 117, 136, 
-58, -48, 9, 53, -34, -19, 9, 439, -151, 224, 117, 136, 
-58, -48, 9, 53, -34, -19, 9, 429, -156, 224, 117, 136, 
-53, -43, 9, 48, -31, -17, 4, 424, -156, 224, 112, 136, 
-48, -39, 9, 43, -29, -14, 0, 419, -156, 224, 107, 136, 
-48, -34, 14, 41, -31, -9, 0, 409, -161, 219, 107, 136, 
-48, -29, 19, 39, -34, -4, 0, 400, -165, 214, 107, 136, 
-48, -29, 19, 39, -34, -4, 0, 395, -165, 214, 112, 146, 
-48, -29, 19, 39, -34, -4, 0, 390, -165, 214, 117, 156, 
-48, -29, 19, 39, -34, -4, 0, 385, -165, 214, 117, 156, 
-48, -29, 19, 39, -34, -4, 0, 380, -165, 214, 117, 156, 
-48, -29, 19, 39, -34, -4, 0, 375, -161, 214, 117, 156, 
-48, -29, 19, 39, -34, -4, 0, 370, -156, 214, 117, 156, 
-43, -29, 14, 36, -29, -7, 0, 361, -156, 214, 112, 156, 
-39, -29, 9, 34, -24, -9, 0, 351, -156, 214, 107, 156, 
-39, -24, 14, 31, -26, -4, 0, 346, -156, 214, 107, 156, 
-39, -19, 19, 29, -29, 0, 0, 341, -156, 214, 107, 156, 
-39, -19, 19, 29, -29, 0, 0, 331, -156, 214, 107, 156, 
-39, -19, 19, 29, -29, 0, 0, 322, -156, 214, 107, 156, 
-43, -19, 24, 31, -34, 2, 0, 317, -161, 214, 107, 151, 
-48, -19, 29, 34, -39, 4, 0, 312, -165, 214, 107, 146, 
-53, -29, 24, 41, -39, -2, 0, 302, -170, 209, 102, 146, 
-58, -39, 19, 48, -39, -9, 0, 292, -175, 204, 97, 146, 
-58, -39, 19, 48, -39, -9, 0, 287, -175, 195, 97, 141, 
-58, -39, 19, 48, -39, -9, 0, 283, -175, 185, 97, 136, 
-58, -39, 19, 48, -39, -9, 0, 273, -185, 180, 87, 131, 
-58, -39, 19, 48, -39, -9, 0, 263, -195, 175, 78, 126, 
-53, -39, 14, 46, -34, -12, -4, 253, -195, 170, 78, 117, 
-48, -39, 9, 43, -29, -14, -9, 244, -195, 165, 78, 107, 
-43, -39, 4, 41, -24, -17, -14, 239, -200, 161, 73, 102, 
-39, -39, 0, 39, -19, -19, -19, 234, -204, 156, 68, 97, 
-39, -39, 0, 39, -19, -19, -19, 229, -214, 151, 63, 97, 
-39, -39, 0, 39, -19, -19, -19, 224, -224, 146, 58, 97, 
-39, -39, 0, 39, -19, -19, -19, 214, -229, 141, 58, 97, 
-39, -39, 0, 39, -19, -19, -19, 204, -234, 136, 58, 97, 
-39, -39, 0, 39, -19, -19, -24, 195, -239, 131, 58, 102, 
-39, -39, 0, 39, -19, -19, -29, 185, -244, 126, 58, 107, 
-39, -43, -4, 41, -17, -24, -29, 180, -248, 117, 53, 107, 
-39, -48, -9, 43, -14, -29, -29, 175, -253, 107, 48, 107, 
-43, -53, -9, 48, -17, -31, -24, 170, -258, 102, 43, 107, 
-48, -58, -9, 53, -19, -34, -19, 165, -263, 97, 39, 107, 
-48, -58, -9, 53, -19, -34, -19, 161, -268, 87, 34, 102, 
-48, -58, -9, 53, -19, -34, -19, 156, -273, 78, 29, 97, 
-39, -53, -14, 46, -12, -34, -19, 156, -278, 73, 29, 92, 
-29, -48, -19, 39, -4, -34, -19, 156, -283, 68, 29, 87, 
-29, -48, -19, 39, -4, -34, -24, 156, -283, 63, 29, 87, 
-29, -48, -19, 39, -4, -34, -29, 156, -283, 58, 29, 87, 
-29, -48, -19, 39, -4, -34, -29, 151, -287, 58, 29, 92, 
-29, -48, -19, 39, -4, -34, -29, 146, -292, 58, 29, 97, 
-29, -39, -9, 34, -9, -24, -29, 146, -292, 58, 29, 97, 
-29, -29, 0, 29, -14, -14, -29, 146, -292, 58, 29, 97, 
-29, -29, 0, 29, -14, -14, -29, 146, -297, 48, 29, 97, 
-29, -29, 0, 29, -14, -14, -29, 146, -302, 39, 29, 97, 
-24, -34, -9, 29, -7, -21, -24, 151, -307, 34, 19, 92, 
-19, -39, -19, 29, 0, -29, -19, 156, -312, 29, 9, 87, 
-19, -39, -19, 29, 0, -29, -19, 156, -312, 24, 4, 87, 
-19, -39, -19, 29, 0, -29, -19, 156, -312, 19, 0, 87, 
-19, -39, -19, 29, 0, -29, -14, 156, -307, 14, -4, 82, 
-19, -39, -19, 29, 0, -29, -9, 156, -302, 9, -9, 78, 
