I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
29, 19, -9, -24, 19, 4, -9, -78, -29, 0, 29, 29, 
29, 19, -9, -24, 19, 4, -19, -78, -24, 0, 34, 29, 
29, 19, -9, -24, 19, 4, -29, -78, -19, 0, 39, 29, 
29, 29, 0, -29, 14, 14, -39, -82, -19, 4, 39, 34, 
29, 34, 4, -31, 12, 19, -48, -87, -19, 4, 39, 39, 
29, 39, 9, -34, 9, 24, -58, -97, -19, 9, 43, 43, 
29, 39, 9, -34, 9, 24, -68, -112, -19, 9, 43, 43, 
34, 34, 0, -34, 17, 17, -68, -122, -29, -4, 39, 43, 
34, 14, -19, -24, 26, -2, -68, -117, -39, -14, 29, 34, 
34, 0, -34, -17, 34, -17, -58, -107, -48, -19, 24, 24, 
34, 4, -29, -19, 31, -12, -53, -97, -48, -19, 19, 19, 
34, 0, -34, -17, 34, -17, -34, -82, -43, -14, 19, 14, 
24, -4, -29, -9, 26, -17, -29, -78, -43, -14, 19, 14, 
24, -14, -39, -4, 31, -26, -29, -78, -43, -19, 14, 14, 
19, -34, -53, 7, 36, -43, -24, -82, -48, -29, 9, 9, 
14, -39, -53, 12, 34, -46, -24, -87, -53, -34, 4, 4, 
0, -48, -48, 24, 24, -48, -24, -87, -53, -39, 0, 0, 
-4, -63, -58, 34, 26, -61, -24, -82, -58, -43, -9, -4, 
-29, -87, -58, 58, 14, -73, -14, -78, -63, -53, -9, -9, 
-43, -87, -43, 65, 0, -65, -14, -82, -63, -53, -14, -9, 
-48, -97, -48, 73, 0, -73, -9, -82, -63, -58, -19, -9, 
-48, -102, -53, 75, 2, -78, -9, -82, -58, -58, -19, -14, 
-48, -102, -53, 75, 2, -78, -9, -82, -53, -58, -19, -14, 
-48, -102, -53, 75, 2, -78, -9, -82, -48, -58, -19, -14, 
-48, -102, -53, 75, 2, -78, -9, -82, -43, -58, -19, -19, 
-48, -102, -53, 75, 2, -78, -4, -82, -48, -58, -19, -19, 
-53, -102, -48, 78, -2, -75, -4, -78, -48, -58, -19, -19, 
-53, -102, -48, 78, -2, -75, -4, -78, -43, -53, -19, -19, 
-53, -102, -48, 78, -2, -75, -4, -78, -43, -48, -19, -19, 
-53, -102, -48, 78, -2, -75, -4, -68, -43, -48, -14, -14, 
-53, -102, -48, 78, -2, -75, -4, -63, -39, -48, -14, -9, 
-53, -97, -43, 75, -4, -70, -4, -63, -34, -48, -14, -9, 
