I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-312, -331, -19, 322, -146, -175, 322, 117, 322, 946, -644, -2664, 
-297, -331, -34, 314, -131, -183, 307, 107, 292, 936, -619, -2654, 
-283, -331, -48, 307, -117, -190, 292, 97, 263, 927, -595, -2644, 
-258, -326, -68, 292, -95, -197, 258, 73, 239, 927, -556, -2601, 
-234, -322, -87, 278, -73, -204, 224, 48, 214, 927, -517, -2557, 
-200, -292, -92, 246, -53, -192, 190, 43, 190, 932, -444, -2508, 
-165, -263, -97, 214, -34, -180, 156, 39, 165, 936, -370, -2459, 
-126, -234, -107, 180, -9, -170, 126, 39, 151, 966, -297, -2381, 
-87, -204, -117, 146, 14, -161, 97, 39, 136, 995, -224, -2303, 
-63, -175, -112, 119, 24, -143, 73, 19, 117, 1005, -170, -2244, 
-39, -146, -107, 92, 34, -126, 48, 0, 97, 1015, -117, -2186, 
-19, -131, -112, 75, 46, -122, 14, -4, 87, 1029, -63, -2137, 
0, -117, -117, 58, 58, -117, -19, -9, 78, 1044, -9, -2088, 
19, -97, -117, 39, 68, -107, -29, -19, 68, 1044, 19, -2064, 
39, -78, -117, 19, 78, -97, -39, -29, 58, 1044, 48, -2039, 
58, -63, -122, 2, 90, -92, -39, -39, 48, 1049, 73, -2015, 
78, -48, -126, -14, 102, -87, -39, -48, 39, 1054, 97, -1991, 
78, -43, -122, -17, 100, -82, -53, -48, 29, 1063, 112, -1976, 
78, -39, -117, -19, 97, -78, -68, -48, 19, 1073, 126, -1961, 
78, -29, -107, -24, 92, -68, -78, -48, 19, 1073, 131, -1947, 
78, -19, -97, -29, 87, -58, -87, -48, 19, 1073, 136, -1932, 
78, -14, -92, -31, 85, -53, -78, -48, 14, 1073, 136, -1932, 
78, -9, -87, -34, 82, -48, -68, -48, 9, 1073, 136, -1932, 
78, -4, -82, -36, 80, -43, -68, -48, 9, 1078, 141, -1917, 
78, 0, -78, -39, 78, -39, -68, -48, 9, 1083, 146, -1903, 
82, 0, -82, -41, 82, -41, -78, -48, 9, 1083, 151, -1912, 
87, 0, -87, -43, 87, -43, -87, -48, 9, 1083, 156, -1922, 
87, -4, -92, -41, 90, -48, -87, -48, 9, 1083, 156, -1927, 
87, -9, -97, -39, 92, -53, -87, -48, 9, 1083, 156, -1932, 
82, -14, -97, -34, 90, -56, -87, -48, 9, 1088, 156, -1932, 
78, -19, -97, -29, 87, -58, -87, -48, 9, 1093, 156, -1932, 
78, -19, -97, -29, 87, -58, -87, -39, 9, 1093, 156, -1932, 
78, -19, -97, -29, 87, -58, -87, -29, 9, 1093, 156, -1932, 
78, -14, -92, -31, 85, -53, -82, -29, 9, 1098, 156, -1937, 
78, -9, -87, -34, 82, -48, -78, -29, 9, 1102, 156, -1942, 
