I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
161, 180, 19, -170, 70, 100, 48, 566, 302, 297, 190, 136, 
185, 204, 19, -195, 82, 112, 29, 566, 312, 322, 214, 165, 
195, 224, 29, -209, 82, 126, 9, 561, 322, 331, 234, 180, 
204, 244, 39, -224, 82, 141, -9, 556, 331, 341, 253, 195, 
214, 253, 39, -234, 87, 146, -39, 536, 322, 351, 263, 204, 
224, 263, 39, -244, 92, 151, -68, 517, 312, 361, 273, 214, 
234, 273, 39, -253, 97, 156, -87, 478, 297, 361, 278, 224, 
244, 283, 39, -263, 102, 161, -107, 439, 283, 361, 283, 234, 
244, 283, 39, -263, 102, 161, -122, 405, 263, 351, 283, 234, 
244, 283, 39, -263, 102, 161, -136, 370, 244, 341, 283, 234, 
239, 278, 39, -258, 100, 158, -146, 322, 224, 326, 273, 229, 
234, 273, 39, -253, 97, 156, -156, 273, 204, 312, 263, 224, 
219, 263, 43, -241, 87, 153, -156, 239, 180, 292, 253, 214, 
204, 253, 48, -229, 78, 151, -156, 204, 156, 273, 244, 204, 
190, 229, 39, -209, 75, 134, -156, 170, 136, 248, 219, 185, 
175, 204, 29, -190, 73, 117, -156, 136, 117, 224, 195, 165, 
156, 190, 34, -173, 61, 112, -156, 107, 102, 200, 175, 146, 
136, 175, 39, -156, 48, 107, -156, 78, 87, 175, 156, 126, 
126, 161, 34, -143, 46, 97, -151, 48, 68, 156, 141, 122, 
117, 146, 29, -131, 43, 87, -146, 19, 48, 136, 126, 117, 
102, 131, 29, -117, 36, 80, -141, 4, 34, 122, 112, 102, 
87, 117, 29, -102, 29, 73, -136, -9, 19, 107, 97, 87, 
78, 112, 34, -95, 21, 73, -122, -24, 14, 97, 87, 78, 
68, 107, 39, -87, 14, 73, -107, -39, 9, 87, 78, 68, 
58, 92, 34, -75, 12, 63, -107, -43, 4, 78, 68, 58, 
48, 78, 29, -63, 9, 53, -107, -48, 0, 68, 58, 48, 
48, 78, 29, -63, 9, 53, -102, -53, -4, 63, 48, 43, 
48, 78, 29, -63, 9, 53, -97, -58, -9, 58, 39, 39, 
39, 73, 34, -56, 2, 53, -92, -63, -14, 48, 34, 29, 
29, 68, 39, -48, -4, 53, -87, -68, -19, 39, 29, 19, 
29, 58, 29, -43, 0, 43, -78, -68, -19, 39, 29, 19, 
29, 48, 19, -39, 4, 34, -68, -68, -19, 39, 29, 19, 
29, 43, 14, -36, 7, 29, -63, -58, -19, 39, 29, 24, 
29, 39, 9, -34, 9, 24, -58, -48, -19, 39, 29, 29, 
24, 39, 14, -31, 4, 26, -58, -48, -19, 39, 29, 29, 
19, 39, 19, -29, 0, 29, -58, -48, -19, 39, 29, 29, 
14, 39, 24, -26, -4, 31, -58, -48, -19, 34, 24, 19, 
9, 39, 29, -24, -9, 34, -58, -48, -19, 29, 19, 9, 
9, 34, 24, -21, -7, 29, -58, -48, -19, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -58, -48, -19, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -58, -39, -14, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -58, -29, -9, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -53, -29, -9, 29, 19, 9, 
9, 29, 19, -19, -4, 24, -48, -29, -9, 29, 19, 9, 
4, 29, 24, -17, -9, 26, -43, -29, -9, 24, 19, 9, 
0, 29, 29, -14, -14, 29, -39, -29, -9, 19, 19, 9, 
0, 29, 29, -14, -14, 29, -39, -29, -9, 19, 19, 9, 
0, 29, 29, -14, -14, 29, -39, -29, -9, 19, 19, 9, 
0, 24, 24, -12, -12, 24, -39, -24, -9, 19, 19, 9, 
0, 19, 19, -9, -9, 19, -39, -19, -9, 19, 19, 9, 
0, 14, 14, -7, -7, 14, -39, -19, -4, 24, 19, 9, 
0, 9, 9, -4, -4, 9, -39, -19, 0, 29, 19, 9, 
0, 4, 4, -2, -2, 4, -34, -14, 0, 29, 19, 9, 
0, 0, 0, 0, 0, 0, -29, -9, 0, 29, 19, 9, 
0, 0, 0, 0, 0, 0, -29, -9, 0, 24, 14, 0, 
0, 0, 0, 0, 0, 0, -29, -9, 0, 19, 9, -9, 
0, 4, 4, -2, -2, 4, -34, -14, -4, 14, 4, -9, 
0, 9, 9, -4, -4, 9, -39, -19, -9, 9, 0, -9, 
0, 9, 9, -4, -4, 9, -39, -24, -14, 4, 0, -9, 
0, 9, 9, -4, -4, 9, -39, -29, -19, 0, 0, -9, 
0, 4, 4, -2, -2, 4, -39, -29, -24, 0, -4, -9, 
0, 0, 0, 0, 0, 0, -39, -29, -29, 0, -9, -9, 
0, 0, 0, 0, 0, 0, -39, -29, -29, 0, -9, -9, 
0, 0, 0, 0, 0, 0, -39, -29, -29, 0, -9, -9, 
0, 0, 0, 0, 0, 0, -39, -29, -29, -4, -9, -9, 
0, 0, 0, 0, 0, 0, -39, -29, -29, -9, -9, -9, 
-4, -9, -4, 7, 0, -7, -34, -29, -29, -14, -9, -9, 
-9, -19, -9, 14, 0, -14, -29, -29, -29, -19, -9, -9, 
-9, -19, -9, 14, 0, -14, -29, -29, -34, -19, -9, -9, 
-9, -19, -9, 14, 0, -14, -29, -29, -39, -19, -9, -9, 
-9, -9, 0, 9, -4, -4, -29, -34, -43, -19, -9, -9, 
-9, 0, 9, 4, -9, 4, -29, -39, -48, -19, -9, -9, 
-9, 0, 9, 4, -9, 4, -34, -39, -48, -24, -9, -9, 
-9, 0, 9, 4, -9, 4, -39, -39, -48, -29, -9, -9, 
-9, 0, 9, 4, -9, 4, -39, -39, -48, -29, -14, -14, 
-9, 0, 9, 4, -9, 4, -39, -39, -48, -29, -19, -19, 
-9, -9, 0, 9, -4, -4, -34, -39, -48, -29, -24, -29, 
-9, -19, -9, 14, 0, -14, -29, -39, -48, -29, -29, -39, 
-9, -19, -9, 14, 0, -14, -29, -39, -53, -29, -29, -29, 
-9, -19, -9, 14, 0, -14, -29, -39, -58, -29, -29, -19, 
-9, -19, -9, 14, 0, -14, -29, -39, -63, -34, -29, -19, 
-9, -19, -9, 14, 0, -14, -29, -39, -68, -39, -29, -19, 
-9, -19, -9, 14, 0, -14, -29, -39, -68, -39, -29, -19, 
-9, -19, -9, 14, 0, -14, -29, -39, -68, -39, -29, -19, 
-9, -24, -14, 17, 2, -19, -24, -39, -63, -39, -29, -19, 
-9, -29, -19, 19, 4, -24, -19, -39, -58, -39, -29, -19, 
-9, -29, -19, 19, 4, -24, -19, -39, -58, -39, -24, -14, 
-9, -29, -19, 19, 4, -24, -19, -39, -58, -39, -19, -9, 
-9, -29, -19, 19, 4, -24, -19, -39, -58, -39, -19, -9, 
-9, -29, -19, 19, 4, -24, -19, -39, -58, -39, -19, -9, 
-9, -29, -19, 19, 4, -24, -19, -34, -58, -39, -24, -14, 
-9, -29, -19, 19, 4, -24, -19, -29, -58, -39, -29, -19, 
-9, -29, -19, 19, 4, -24, -14, -29, -58, -39, -29, -19, 
-9, -29, -19, 19, 4, -24, -9, -29, -58, -39, -29, -19, 
-9, -29, -19, 19, 4, -24, -9, -29, -58, -39, -29, -19, 
-9, -29, -19, 19, 4, -24, -9, -29, -58, -39, -29, -19, 
-9, -24, -14, 17, 2, -19, -9, -29, -58, -39, -29, -19, 
-9, -19, -9, 14, 0, -14, -9, -29, -58, -39, -29, -19, 
-9, -19, -9, 14, 0, -14, -9, -24, -58, -39, -29, -19, 
-9, -19, -9, 14, 0, -14, -9, -19, -58, -39, -29, -19, 
-9, -19, -9, 14, 0, -14, -9, -19, -58, -39, -34, -19, 
-9, -19, -9, 14, 0, -14, -9, -19, -58, -39, -39, -19, 
-9, -24, -14, 17, 2, -19, -9, -14, -53, -39, -39, -19, 
