I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-156,-107,48,131,-102,-29,87,-78,-185,-224,-214,-195
-156,-117,39,136,-97,-39,97,-78,-185,-224,-214,-195
-156,-126,29,141,-92,-48,107,-78,-185,-224,-214,-195
-156,-112,43,134,-100,-34,97,-78,-185,-224,-214,-195
-156,-97,58,126,-107,-19,87,-78,-185,-224,-214,-195
-156,-112,43,134,-100,-34,87,-78,-185,-219,-214,-195
-156,-126,29,141,-92,-48,87,-78,-185,-214,-214,-195
-151,-117,34,134,-92,-41,102,-73,-180,-214,-209,-190
-146,-107,39,126,-92,-34,117,-68,-175,-214,-204,-185
-146,-82,63,114,-104,-9,131,-53,-165,-204,-195,-185
-146,-58,87,102,-117,14,146,-39,-156,-195,-185,-185
-141,-58,82,100,-112,12,151,-39,-151,-195,-185,-175
-136,-58,78,97,-107,9,156,-39,-146,-195,-185,-165
-131,-58,73,95,-102,7,156,-39,-146,-190,-185,-161
-126,-58,68,92,-97,4,156,-39,-146,-185,-185,-156
-117,-29,87,73,-102,29,141,-43,-146,-180,-180,-151
-107,0,107,53,-107,53,126,-48,-146,-175,-175,-146
-92,14,107,39,-100,61,102,-53,-141,-170,-165,-141
-78,29,107,24,-92,68,78,-58,-136,-165,-156,-136
-63,53,117,4,-90,85,39,-68,-136,-161,-146,-122
-48,78,126,-14,-87,102,0,-78,-136,-156,-136,-107
-48,78,126,-14,-87,102,0,-78,-131,-156,-136,-102
-48,78,126,-14,-87,102,0,-78,-126,-156,-136,-97
-43,78,122,-17,-82,100,0,-78,-126,-151,-126,-92
-48,73,122,-12,-85,97,0,-78,-131,-156,-126,-87
-53,73,126,-9,-90,100,0,-82,-136,-161,-126,-87
-53,58,112,-2,-82,85,9,-82,-146,-165,-131,-82
-48,19,68,14,-58,43,19,-97,-165,-185,-146,-87
-58,-29,29,43,-43,0,29,-107,-190,-204,-165,-97
-87,-63,24,75,-56,-19,43,-107,-195,-219,-190,-136
-112,-112,0,112,-56,-56,53,-102,-200,-224,-214,-175
-151,-126,24,139,-87,-51,73,-92,-200,-234,-229,-200
-161,-126,34,143,-97,-46,78,-92,-200,-239,-229,-204
-161,-112,48,136,-104,-31,78,-92,-209,-244,-239,-204
-161,-126,34,143,-97,-46,78,-92,-214,-244,-244,-204
-165,-131,34,148,-100,-48,82,-92,-214,-248,-244,-209
-175,-146,29,161,-102,-58,92,-92,-214,-248,-248,-214
-175,-156,19,165,-97,-68,92,-92,-219,-253,-244,-219
-175,-161,14,168,-95,-73,97,-87,-219,-253,-244,-219
-180,-165,14,173,-97,-75,107,-87,-219,-253,-244,-219
-185,-165,19,175,-102,-73,107,-87,-219,-258,-248,-224
-185,-165,19,175,-102,-73,112,-82,-219,-258,-253,-229
