I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-19,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-29,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-29,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-29,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-29,-19
9,48,39,-29,-14,43,-48,-9,48,58,39,19,-19,-39,-19
9,48,39,-29,-14,43,-48,-9,48,58,39,19,-19,-39,-19
9,48,39,-29,-14,43,-48,-9,48,58,39,19,-19,-39,-19
9,48,39,-29,-14,43,-48,-9,48,58,39,19,-19,-39,-19
19,48,29,-34,-4,39,-48,-9,48,48,29,19,-19,-39,-19
19,48,29,-34,-4,39,-48,-9,48,48,29,19,-19,-39,-19
19,48,29,-34,-4,39,-48,-9,48,48,29,19,-19,-39,-19
19,48,29,-34,-4,39,-48,-9,48,48,29,19,-19,-39,-19
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-39,-29
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-39,-29
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-39,-29
19,48,29,-34,-4,39,-48,-9,48,58,29,19,-19,-39,-29
19,48,29,-34,-4,39,-48,0,58,58,39,19,-19,-29,-19
19,48,29,-34,-4,39,-48,0,58,58,39,19,-19,-29,-19
19,48,29,-34,-4,39,-48,0,58,58,39,19,-19,-29,-19
19,48,29,-34,-4,39,-48,0,58,58,39,19,-19,-29,-19
29,63,34,-46,-2,48,-43,4,73,73,43,24,-24,-29,-4
29,68,39,-48,-4,53,-39,9,78,78,48,29,-29,-29,0
29,73,43,-51,-7,58,-34,14,82,82,53,34,-34,-29,4
29,78,48,-53,-9,63,-29,19,87,87,58,39,-39,-29,9
