I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-58,-136,-78,97,9,-107,68,39,0,-48,-87,-87
-58,-131,-73,95,7,-102,73,58,19,-34,-78,-78
-58,-126,-68,92,4,-97,78,78,39,-19,-68,-68
-58,-122,-63,90,2,-92,82,87,48,-4,-58,-68
-58,-117,-58,87,0,-87,87,97,58,9,-48,-68
-58,-112,-53,85,-2,-82,87,107,73,14,-48,-68
-58,-107,-48,82,-4,-78,87,117,87,19,-48,-68
-63,-102,-39,82,-12,-70,92,122,102,29,-39,-63
-68,-97,-29,82,-19,-63,97,126,117,39,-29,-58
-68,-92,-24,80,-21,-58,102,136,126,48,-29,-58
-68,-87,-19,78,-24,-53,107,146,136,58,-29,-58
-73,-82,-9,78,-31,-46,107,156,146,63,-24,-53
-78,-78,0,78,-39,-39,107,165,156,68,-19,-48
-82,-68,14,75,-48,-26,112,170,170,73,-19,-48
-87,-58,29,73,-58,-14,117,175,185,78,-19,-48
-87,-53,34,70,-61,-9,122,185,200,87,-19,-53
-87,-48,39,68,-63,-4,126,195,214,97,-19,-58
-92,-39,53,65,-73,7,126,204,229,107,-19,-58
-97,-29,68,63,-82,19,126,214,244,117,-19,-58
-102,-19,82,61,-92,31,131,229,258,126,-24,-58
-107,-9,97,58,-102,43,136,244,273,136,-29,-58
-112,0,112,56,-112,56,146,248,287,141,-29,-58
-117,9,126,53,-122,68,156,253,302,146,-29,-58
-126,14,141,56,-134,78,161,268,317,151,-29,-58
-136,19,156,58,-146,87,165,283,331,156,-29,-58
-146,29,175,58,-161,102,175,302,346,161,-34,-63
-156,39,195,58,-175,117,185,322,361,165,-39,-68
-165,48,214,58,-190,131,195,336,380,165,-48,-78
-175,58,234,58,-204,146,204,351,400,165,-58,-87
-185,73,258,56,-222,165,224,375,414,165,-73,-97
-195,87,283,53,-239,185,244,400,429,165,-87,-107
-214,97,312,58,-263,204,258,419,448,161,-102,-122
-234,107,341,63,-287,224,273,439,468,156,-117,-136
-253,112,366,70,-309,239,297,463,478,146,-136,-151
-273,117,390,78,-331,253,322,488,488,136,-156,-165
-297,126,424,85,-361,275,341,502,492,126,-185,-185
-322,136,458,92,-390,297,361,517,497,117,-214,-204
-351,141,492,104,-422,317,385,522,497,92,-248,-224
-380,146,527,117,-453,336,409,527,497,68,-283,-244
-409,146,556,131,-483,351,429,527,492,39,-326,-283
-439,146,585,146,-512,366,448,527,488,9,-370,-322
-473,146,619,163,-546,383,468,522,468,-29,-419,-351
-507,146,653,180,-580,400,488,517,448,-68,-468,-380
-536,141,678,197,-607,409,507,497,434,-97,-512,-409
-566,136,702,214,-634,419,527,478,419,-126,-556,-439
-595,131,727,231,-661,429,536,448,395,-156,-590,-463
-624,126,751,248,-688,439,546,419,370,-185,-624,-488
-639,117,756,261,-697,436,536,380,346,-209,-649,-502
-653,107,761,273,-707,434,527,341,322,-234,-673,-517
-653,92,746,280,-700,419,517,302,283,-253,-678,-517
-653,78,732,287,-692,405,507,263,244,-273,-683,-517
-639,58,697,290,-668,378,483,219,209,-283,-683,-517
-624,39,663,292,-644,351,458,175,175,-292,-683,-517
-595,24,619,285,-607,322,424,141,141,-292,-653,-492
-566,9,575,278,-570,292,390,107,107,-292,-624,-468
-527,-4,522,265,-524,258,356,78,82,-273,-580,-439
-488,-19,468,253,-478,224,322,48,58,-253,-536,-409
-439,-29,409,234,-424,190,283,19,34,-234,-483,-366
-390,-39,351,214,-370,156,244,-9,9,-214,-429,-322
-346,-39,307,192,-326,134,204,-24,0,-185,-375,-283
-302,-39,263,170,-283,112,165,-39,-9,-156,-322,-244
-253,-48,204,151,-229,78,131,-48,-19,-131,-268,-204
-204,-58,146,131,-175,43,97,-58,-29,-107,-214,-165
-165,-63,102,114,-134,19,73,-58,-29,-82,-170,-131
-126,-68,58,97,-92,-4,48,-58,-29,-58,-126,-97
-92,-68,24,80,-58,-21,29,-58,-29,-39,-92,-68
-58,-68,-9,63,-24,-39,9,-58,-29,-19,-58,-39
-43,-68,-24,56,-9,-46,-4,-58,-29,-4,-24,-19
-29,-68,-39,48,4,-53,-19,-58,-29,9,9,0
-4,-63,-58,34,26,-61,-29,-58,-29,19,29,19
19,-58,-78,19,48,-68,-39,-58,-29,29,48,39
34,-53,-87,9,61,-70,-48,-58,-29,39,58,43
48,-48,-97,0,73,-73,-58,-58,-29,48,68,48
53,-48,-102,-2,78,-75,-63,-53,-29,53,82,58
58,-48,-107,-4,82,-78,-68,-48,-29,58,97,68
63,-48,-112,-7,87,-80,-68,-48,-29,63,102,78
68,-48,-117,-9,92,-82,-68,-48,-29,68,107,87
73,-48,-122,-12,97,-85,-73,-43,-24,73,117,92
78,-48,-126,-14,102,-87,-78,-39,-19,78,126,97
78,-43,-122,-17,100,-82,-78,-39,-19,78,126,97
78,-39,-117,-19,97,-78,-78,-39,-19,78,126,97
78,-39,-117,-19,97,-78,-73,-39,-19,78,122,97
78,-39,-117,-19,97,-78,-68,-39,-19,78,117,97
78,-39,-117,-19,97,-78,-68,-39,-19,73,117,97
78,-39,-117,-19,97,-78,-68,-39,-19,68,117,97
78,-39,-117,-19,97,-78,-68,-39,-19,68,117,97
78,-39,-117,-19,97,-78,-68,-39,-19,68,117,97
73,-43,-117,-14,95,-80,-68,-43,-19,68,117,97
68,-48,-117,-9,92,-82,-68,-48,-19,68,117,97
68,-48,-117,-9,92,-82,-68,-48,-19,68,112,92
68,-48,-117,-9,92,-82,-68,-48,-19,68,107,87
63,-48,-112,-7,87,-80,-63,-48,-19,63,102,82
58,-48,-107,-4,82,-78,-58,-48,-19,58,97,78
53,-48,-102,-2,78,-75,-58,-48,-24,53,92,78
48,-48,-97,0,73,-73,-58,-48,-29,48,87,78
43,-53,-97,4,70,-75,-58,-48,-29,43,82,68
39,-58,-97,9,68,-78,-58,-48,-29,39,78,58
39,-58,-97,9,68,-78,-53,-53,-34,39,73,58
39,-58,-97,9,68,-78,-48,-58,-39,39,68,58
39,-58,-97,9,68,-78,-48,-63,-39,29,58,48
39,-58,-97,9,68,-78,-48,-68,-39,19,48,39
34,-63,-97,14,65,-80,-48,-68,-43,19,43,39
29,-68,-97,19,63,-82,-48,-68,-48,19,39,39
29,-68,-97,19,63,-82,-43,-68,-53,14,39,34
29,-68,-97,19,63,-82,-39,-68,-58,9,39,29
29,-68,-97,19,63,-82,-39,-68,-58,4,34,29
29,-68,-97,19,63,-82,-39,-68,-58,0,29,29
29,-73,-102,21,65,-87,-39,-73,-63,-4,24,24
29,-78,-107,24,68,-92,-39,-78,-68,-9,19,19
29,-78,-107,24,68,-92,-39,-78,-68,-9,19,19
29,-78,-107,24,68,-92,-39,-78,-68,-9,19,19
29,-82,-112,26,70,-97,-39,-78,-73,-9,19,19
29,-87,-117,29,73,-102,-39,-78,-78,-9,19,19
29,-87,-117,29,73,-102,-43,-78,-78,-14,19,19
29,-87,-117,29,73,-102,-48,-78,-78,-19,19,19
34,-92,-126,29,80,-109,-48,-82,-82,-19,19,19
39,-97,-136,29,87,-117,-48,-87,-87,-19,19,19
39,-97,-136,29,87,-117,-48,-87,-87,-14,19,19
39,-97,-136,29,87,-117,-48,-87,-87,-9,19,19
39,-97,-136,29,87,-117,-53,-87,-87,-9,19,19
39,-97,-136,29,87,-117,-58,-87,-87,-9,19,19
39,-97,-136,29,87,-117,-58,-92,-92,-9,19,19
39,-97,-136,29,87,-117,-58,-97,-97,-9,19,19
43,-97,-141,26,92,-119,-58,-97,-97,-9,24,19
48,-97,-146,24,97,-122,-58,-97,-97,-9,29,19
48,-97,-146,24,97,-122,-63,-97,-97,-9,34,24
48,-97,-146,24,97,-122,-68,-97,-97,-9,39,29
48,-92,-141,21,95,-117,-68,-97,-97,-9,39,34
48,-87,-136,19,92,-112,-68,-97,-97,-9,39,39
53,-87,-141,17,97,-114,-68,-97,-97,-9,39,39
58,-87,-146,14,102,-117,-68,-97,-97,-9,39,39
58,-92,-151,17,104,-122,-68,-97,-97,-9,43,39
58,-87,-146,14,102,-117,-68,-92,-92,0,53,39
63,-82,-146,9,104,-114,-68,-87,-87,4,63,43
73,-68,-141,-2,107,-104,-68,-78,-78,14,73,53
82,-43,-126,-19,104,-85,-53,-68,-58,34,82,68
92,-19,-112,-36,102,-65,-43,-58,-48,43,97,78
107,4,-102,-56,104,-48,-39,-48,-39,48,107,87
107,4,-102,-56,104,-48,-29,-39,-34,53,112,92
112,0,-112,-56,112,-56,-29,-34,-29,53,112,92
122,14,-107,-68,114,-46,-43,-24,-19,68,122,107
136,48,-87,-92,112,-19,-63,-9,9,92,141,126
165,97,-68,-131,117,14,-117,-9,24,117,165,151
195,136,-58,-165,126,39,-161,-14,29,131,190,170
204,146,-58,-175,131,43,-170,-14,29,146,200,175
214,117,-97,-165,156,9,-180,-19,24,131,200,175
214,92,-122,-153,168,-14,-180,-24,9,122,190,165
204,63,-141,-134,173,-39,-165,-34,-9,107,175,156
190,43,-146,-117,168,-51,-165,-48,-29,92,165,141
180,29,-151,-104,165,-61,-165,-73,-53,73,146,141
170,14,-156,-92,163,-70,-165,-107,-82,48,131,136
170,0,-170,-85,170,-85,-175,-126,-102,29,122,126
161,-24,-185,-68,173,-104,-175,-136,-117,14,102,112
141,-39,-180,-51,161,-109,-170,-146,-122,4,92,97
126,-53,-180,-36,153,-117,-161,-151,-122,4,87,82
82,-82,-165,0,124,-124,-131,-136,-122,-4,78,68
63,-102,-165,19,114,-134,-117,-136,-122,-9,63,53
53,-112,-165,29,109,-139,-107,-146,-136,-19,53,43
53,-126,-180,36,117,-153,-107,-156,-146,-29,43,34
53,-131,-185,39,119,-158,-112,-156,-151,-34,43,34
53,-131,-185,39,119,-158,-112,-156,-151,-34,43,34
53,-131,-185,39,119,-158,-107,-156,-151,-34,43,34
53,-131,-185,39,119,-158,-107,-151,-146,-34,43,34
48,-126,-175,39,112,-151,-107,-146,-146,-29,48,39
43,-126,-170,41,107,-148,-102,-141,-141,-29,58,39
43,-126,-170,41,107,-148,-102,-141,-141,-24,58,43
43,-122,-165,39,104,-143,-97,-136,-141,-19,58,43
43,-122,-165,39,104,-143,-97,-136,-136,-14,58,43
43,-122,-165,39,104,-143,-78,-122,-122,-9,58,43
34,-102,-136,34,85,-119,-39,-48,-53,24,73,43
34,-53,-87,9,61,-70,14,63,58,102,122,63
48,4,-43,-26,46,-19,68,229,224,244,229,117
117,63,-53,-90,85,4,112,468,434,429,385,219
292,131,-161,-212,226,-14,165,746,663,678,649,400
551,229,-322,-390,436,-46,175,951,927,1058,1088,712
810,458,-351,-634,580,53,29,917,1112,1498,1610,1098
1005,732,-273,-868,639,229,-312,312,927,1678,1956,1424
1273,834,-439,-1054,856,197,-717,-448,409,1473,2069,1668
1390,527,-863,-958,1127,-168,-1044,-1444,-771,458,1478,1503
1415,-82,-1498,-666,1456,-790,-1268,-2132,-2049,-941,380,912
1439,-614,-2054,-412,1747,-1334,-1415,-2347,-2659,-1737,-424,385
1263,-951,-2215,-156,1739,-1583,-1381,-2220,-2654,-2005,-907,-43
844,-883,-1727,19,1285,-1305,-1054,-1790,-2186,-1776,-990,-214
390,-624,-1015,117,702,-819,-639,-1200,-1493,-1278,-863,-312
97,-478,-575,190,336,-527,-268,-702,-932,-854,-683,-341
-19,-380,-361,200,170,-370,-48,-375,-595,-580,-527,-341
-34,-253,-219,143,92,-236,0,-180,-351,-351,-346,-253
-48,-190,-141,119,46,-165,14,-97,-209,-219,-229,-180
-53,-156,-102,104,24,-129,39,-34,-102,-136,-170,-131
-63,-141,-78,102,7,-109,53,9,-48,-97,-131,-112
-63,-136,-73,100,4,-104,53,19,-29,-73,-107,-107
-58,-126,-68,92,4,-97,58,29,-19,-48,-92,-97
-58,-117,-58,87,0,-87,63,53,4,-34,-82,-92
-63,-117,-53,90,-4,-85,68,78,39,-24,-68,-78
-68,-112,-43,90,-12,-78,68,87,53,-9,-48,-68
-68,-102,-34,85,-17,-68,73,92,48,4,-39,-68
-68,-97,-29,82,-19,-63,78,102,58,14,-39,-63
-68,-92,-24,80,-21,-58,82,112,73,24,-39,-63
-73,-87,-14,80,-29,-51,82,122,82,29,-34,-58
-73,-82,-9,78,-31,-46,87,131,92,34,-34,-58
-78,-73,4,75,-41,-34,92,141,102,39,-29,-58
-78,-73,4,75,-41,-34,92,151,117,48,-29,-58
-82,-63,19,73,-51,-21,97,161,131,58,-24,-58
-82,-53,29,68,-56,-12,102,170,141,63,-24,-53
-87,-48,39,68,-63,-4,107,175,156,73,-19,-53
-87,-39,48,63,-68,4,107,180,170,78,-19,-58
-97,-34,63,65,-80,14,112,190,190,87,-19,-58
-97,-24,73,61,-85,24,117,195,200,92,-14,-58
