I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-29,-29,0,29,-14,-14,39,-19,-48,-48,-29,-39
-29,-29,0,29,-14,-14,48,-19,-48,-48,-29,-34
-29,-29,0,29,-14,-14,58,-19,-48,-48,-29,-29
-29,-34,-4,31,-12,-19,58,-24,-48,-48,-29,-29
-29,-39,-9,34,-9,-24,58,-29,-48,-48,-29,-29
-29,-39,-9,34,-9,-24,58,-29,-48,-48,-29,-29
-29,-39,-9,34,-9,-24,58,-29,-48,-48,-29,-29
-29,-39,-9,34,-9,-24,58,-29,-48,-48,-29,-29
-29,-39,-9,34,-9,-24,58,-29,-48,-48,-29,-29
-29,-39,-9,34,-9,-24,53,-29,-48,-53,-29,-34
-29,-39,-9,34,-9,-24,48,-29,-48,-58,-29,-39
-29,-39,-9,34,-9,-24,48,-24,-48,-58,-29,-39
-29,-39,-9,34,-9,-24,48,-19,-48,-58,-29,-39
-29,-39,-9,34,-9,-24,48,-19,-48,-53,-29,-34
-29,-39,-9,34,-9,-24,48,-19,-48,-48,-29,-29
-24,-29,-4,26,-9,-17,48,-24,-48,-48,-29,-29
-19,-19,0,19,-9,-9,48,-29,-48,-48,-29,-29
-19,-14,4,17,-12,-4,48,-29,-43,-43,-19,-24
-19,-9,9,14,-14,0,48,-29,-39,-39,-9,-19
-19,9,29,4,-24,19,53,-19,-24,-29,-9,-9
-19,29,48,-4,-34,39,58,-9,-9,-19,-9,0
-19,29,48,-4,-34,39,63,-4,-4,-19,-4,0
-19,34,53,-7,-36,43,63,0,0,-14,0,0
-19,39,58,-9,-39,48,68,4,9,-9,4,4
-24,48,73,-12,-48,61,68,9,19,-4,14,9
-14,53,68,-19,-41,61,48,14,19,0,14,9
-9,58,68,-24,-39,63,24,9,19,0,14,14
4,58,53,-31,-24,56,9,-14,9,0,14,19
9,73,63,-41,-26,68,-9,-43,0,-4,19,19
14,97,82,-56,-34,90,-29,-73,-9,-4,24,24
14,117,102,-65,-43,109,-53,-97,-9,-4,29,34
9,141,131,-75,-61,136,-58,-112,-9,-4,29,39
4,146,141,-75,-68,143,-58,-117,-14,-4,24,39
4,146,141,-75,-68,143,-58,-117,-34,-19,14,34
-4,141,146,-68,-75,143,-48,-117,-39,-29,9,24
-9,131,141,-61,-75,136,-43,-112,-43,-29,9,24
-9,131,141,-61,-75,136,-39,-107,-43,-29,14,24
-4,136,141,-65,-73,139,-39,-102,-43,-29,19,34
9,126,117,-68,-53,122,-39,-97,-43,-24,24,43
29,122,92,-75,-31,107,-39,-92,-34,-24,24,53
43,92,48,-68,-2,70,-39,-87,-39,-34,19,48
29,39,9,-34,9,24,-24,-78,-58,-48,-4,14
9,0,-9,-4,9,-4,0,-68,-73,-68,-29,-24
0,-19,-19,9,9,-19,4,-58,-73,-68,-29,-24
-14,-24,-9,19,-2,-17,19,-53,-58,-58,-24,-24
-19,-34,-14,26,-2,-24,34,-43,-58,-53,-24,-24
-19,-43,-24,31,2,-34,43,-39,-58,-53,-34,-29
-24,-53,-29,39,2,-41,48,-39,-68,-68,-43,-43
-29,-58,-29,43,0,-43,53,-39,-68,-68,-43,-48
-34,-63,-29,48,-2,-46,53,-24,-63,-68,-43,-48
-39,-73,-34,56,-2,-53,48,-14,-58,-68,-43,-48
-39,-73,-34,56,-2,-53,48,-14,-58,-68,-48,-48
-39,-73,-34,56,-2,-53,53,-14,-58,-68,-48,-53
-39,-73,-34,56,-2,-53,53,-9,-58,-68,-48,-48
-34,-73,-39,53,2,-56,53,-9,-58,-68,-48,-43
-34,-68,-34,51,0,-51,58,-9,-58,-68,-48,-43
-29,-68,-39,48,4,-53,63,-9,-53,-68,-48,-39
-29,-73,-43,51,7,-58,63,-9,-53,-68,-48,-39
-29,-73,-43,51,7,-58,58,-4,-53,-68,-43,-39
-29,-68,-39,48,4,-53,53,-4,-53,-63,-43,-39
-29,-68,-39,48,4,-53,48,-4,-48,-58,-43,-34
-34,-68,-34,51,0,-51,48,-14,-48,-58,-34,-24
-39,-73,-34,56,-2,-53,58,-14,-53,-73,-43,-39
-78,-97,-19,87,-29,-58,78,4,-43,-126,-122,-131
-126,-107,19,117,-73,-43,117,24,-19,-180,-195,-214
-156,-107,48,131,-102,-29,122,19,9,-200,-239,-253
-112,-78,34,95,-73,-21,87,-53,19,-131,-156,-175
-43,-29,14,36,-29,-7,14,-195,4,0,24,-9
92,102,9,-97,41,56,-141,-424,-78,165,283,253
317,244,-73,-280,195,85,-380,-663,-219,375,595,566
556,439,-117,-497,336,161,-590,-829,-263,727,1029,976
810,688,-122,-749,466,283,-854,-1049,-326,1161,1615,1498
1054,893,-161,-973,607,366,-1117,-1288,-522,1420,2039,1947
1180,1093,-87,-1137,634,502,-1307,-1512,-810,1444,2239,2249
1185,1195,9,-1190,588,602,-1439,-1732,-1185,1102,2044,2249
1200,1078,-122,-1139,661,478,-1590,-1971,-1742,204,1234,1756
1122,736,-385,-929,753,175,-1581,-2030,-2210,-800,239,1000
971,248,-722,-610,846,-236,-1381,-1800,-2274,-1361,-541,219
653,-82,-736,-285,695,-409,-1088,-1522,-2137,-1610,-980,-278
292,-326,-619,17,456,-473,-736,-1180,-1820,-1566,-1122,-566
39,-400,-439,180,239,-419,-473,-878,-1434,-1366,-1078,-668
-43,-307,-263,175,109,-285,-297,-610,-1005,-1005,-834,-570
-97,-180,-82,139,-7,-131,-156,-380,-624,-619,-531,-400
-117,-82,34,100,-75,-24,-58,-204,-341,-346,-302,-244
-107,-14,92,61,-100,39,0,-82,-126,-165,-141,-117
-78,-9,68,43,-73,29,29,-14,-29,-87,-87,-78
-43,-39,4,41,-24,-17,53,39,24,-19,-43,-63
-43,-48,-4,46,-19,-26,73,63,29,0,-19,-48
-53,-53,0,53,-26,-26,87,87,53,4,-9,-34
-53,-68,-14,61,-19,-41,92,102,73,4,-19,-48
-53,-73,-19,63,-17,-46,97,112,78,4,-19,-53
-53,-68,-14,61,-19,-41,97,122,78,9,-14,-53
-53,-68,-14,61,-19,-41,107,131,78,14,-14,-53
-58,-73,-14,65,-21,-43,112,126,87,14,-19,-58
-58,-73,-14,65,-21,-43,122,122,87,14,-19,-58
-58,-73,-14,65,-21,-43,126,126,87,14,-24,-58
-58,-73,-14,65,-21,-43,131,126,87,9,-29,-58
-58,-73,-14,65,-21,-43,131,136,92,9,-34,-68
-58,-78,-19,68,-19,-48,126,141,97,4,-39,-78
-63,-78,-14,70,-24,-46,131,141,97,4,-43,-78
-68,-78,-9,73,-29,-43,131,141,97,4,-43,-78
-68,-82,-14,75,-26,-48,136,136,97,0,-43,-82
-73,-87,-14,80,-29,-51,136,136,97,0,-43,-82
-73,-87,-14,80,-29,-51,136,136,97,0,-43,-87
-73,-92,-19,82,-26,-56,136,141,97,-4,-43,-87
-73,-92,-19,82,-26,-56,141,141,92,-4,-48,-92
-78,-92,-14,85,-31,-53,141,141,92,-9,-48,-92
-78,-92,-14,85,-31,-53,136,146,92,-9,-53,-97
-82,-92,-9,87,-36,-51,136,146,92,-14,-53,-97
-82,-97,-14,90,-34,-56,136,146,92,-14,-58,-102
-87,-97,-9,92,-39,-53,141,146,92,-19,-68,-107
-92,-97,-4,95,-43,-51,141,151,97,-19,-68,-107
-92,-102,-9,97,-41,-56,141,156,102,-24,-73,-107
-92,-102,-9,97,-41,-56,136,156,107,-24,-78,-107
-92,-102,-9,97,-41,-56,131,156,107,-24,-78,-112
-92,-102,-9,97,-41,-56,141,161,112,-34,-78,-117
-97,-107,-9,102,-43,-58,141,165,112,-39,-78,-117
-107,-112,-4,109,-51,-58,146,170,112,-39,-82,-122
-107,-117,-9,112,-48,-63,146,170,112,-39,-82,-126
-107,-117,-9,112,-48,-63,156,170,117,-39,-92,-131
-107,-117,-9,112,-48,-63,165,170,122,-39,-92,-131
-107,-117,-9,112,-48,-63,170,175,126,-39,-97,-136
-112,-117,-4,114,-53,-61,175,180,131,-39,-102,-136
-117,-122,-4,119,-56,-63,175,185,131,-39,-107,-136
-122,-122,0,122,-61,-61,180,190,136,-39,-107,-141
-122,-122,0,122,-61,-61,175,195,146,-39,-107,-146
-122,-117,4,119,-63,-56,175,200,151,-39,-112,-151
-122,-117,4,119,-63,-56,175,204,156,-34,-107,-151
-126,-122,4,124,-65,-58,180,214,165,-29,-107,-151
-126,-117,9,122,-68,-53,185,219,175,-29,-107,-151
-136,-112,24,124,-80,-43,185,224,180,-24,-107,-156
-136,-112,24,124,-80,-43,190,229,190,-9,-107,-156
-141,-112,29,126,-85,-41,195,239,204,-4,-107,-161
-141,-112,29,126,-85,-41,195,248,219,0,-102,-165
-131,-107,24,119,-78,-41,195,258,229,9,-102,-175
-141,-102,39,122,-90,-31,200,268,239,14,-102,-175
-146,-102,43,124,-95,-29,204,273,253,19,-102,-175
-146,-97,48,122,-97,-24,209,283,278,29,-102,-175
-151,-92,58,122,-104,-17,214,292,292,39,-97,-170
