I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
53,29,-24,-41,39,2,-48,-14,0,-9,14,0
53,29,-24,-41,39,2,-48,-19,-4,-14,4,0
53,29,-24,-41,39,2,-48,-34,-14,-24,4,0
53,34,-19,-43,36,7,-48,-39,-24,-29,4,0
43,34,-9,-39,26,12,-48,-39,-19,-29,14,14
53,39,-14,-46,34,12,-58,-39,-19,-24,19,19
68,43,-24,-56,46,9,-63,-39,-24,-19,19,24
68,48,-19,-58,43,14,-68,-39,-29,-19,24,29
82,58,-24,-70,53,17,-73,-29,-34,-29,24,34
82,58,-24,-70,53,17,-73,-34,-39,-29,24,34
82,53,-29,-68,56,12,-68,-34,-39,-29,24,34
82,53,-29,-68,56,12,-58,-29,-43,-29,19,29
78,39,-39,-58,58,0,-58,-29,-58,-29,14,14
73,19,-53,-46,63,-17,-58,-29,-58,-34,9,14
68,4,-63,-36,65,-29,-58,-29,-58,-39,9,14
63,-9,-73,-26,68,-41,-58,-29,-68,-43,0,9
63,-19,-82,-21,73,-51,-58,-29,-68,-43,0,4
63,-14,-78,-24,70,-46,-53,-29,-68,-48,0,4
58,-9,-68,-24,63,-39,-53,-34,-68,-48,0,0
48,-4,-53,-21,51,-29,-48,-34,-63,-48,-4,0
39,9,-29,-24,34,-9,-39,-29,-48,-43,-4,0
29,9,-19,-19,24,-4,-29,-29,-48,-43,-4,0
14,9,-4,-12,9,2,-9,-24,-34,-43,-9,-9
9,-4,-14,-2,12,-9,-9,-24,-34,-43,-9,-14
-4,-19,-14,12,4,-17,9,-19,-24,-39,-4,-19
-14,-19,-4,17,-4,-12,19,-19,-19,-34,-4,-19
-14,-24,-9,19,-2,-17,24,-19,-19,-34,-4,-24
-24,-29,-4,26,-9,-17,24,-19,-19,-39,-9,-29
-34,-34,0,34,-17,-17,24,-29,-24,-48,-24,-43
-34,-43,-9,39,-12,-26,19,-29,-29,-53,-34,-43
-34,-58,-24,46,-4,-41,24,-34,-34,-63,-39,-53
-43,-78,-34,61,-4,-56,19,-34,-43,-68,-43,-58
-48,-73,-24,61,-12,-48,29,-39,-34,-63,-39,-48
-43,-73,-29,58,-7,-51,29,-39,-34,-68,-39,-53
-39,-68,-29,53,-4,-48,29,-43,-34,-68,-43,-58
-39,-63,-24,51,-7,-43,34,-43,-39,-73,-53,-63
-48,-68,-19,58,-14,-43,34,-43,-48,-73,-63,-68
-48,-78,-29,63,-9,-53,34,-43,-53,-73,-63,-68
-48,-82,-34,65,-7,-58,39,-43,-53,-73,-63,-68
-48,-87,-39,68,-4,-63,39,-43,-53,-78,-63,-68
-39,-82,-43,61,2,-63,48,-43,-43,-78,-53,-68
-43,-87,-43,65,0,-65,48,-43,-43,-73,-53,-73
-43,-82,-39,63,-2,-61,48,-39,-39,-73,-58,-73
-43,-73,-29,58,-7,-51,48,-39,-39,-73,-58,-73
-48,-78,-29,63,-9,-53,39,-39,-48,-82,-58,-73
-48,-82,-34,65,-7,-58,39,-39,-48,-82,-58,-68
-48,-87,-39,68,-4,-63,39,-39,-48,-82,-58,-68
-48,-92,-43,70,-2,-68,39,-39,-48,-82,-58,-68
-34,-78,-43,56,4,-61,48,-29,-39,-78,-58,-58
-29,-73,-43,51,7,-58,48,-29,-39,-73,-58,-63
-24,-63,-39,43,7,-51,48,-29,-39,-68,-53,-63
-19,-58,-39,39,9,-48,48,-29,-39,-63,-53,-63
-34,-78,-43,56,4,-61,39,-34,-48,-68,-63,-73
-39,-82,-43,61,2,-63,39,-39,-48,-73,-63,-73
-43,-87,-43,65,0,-65,39,-43,-48,-78,-68,-73
-48,-92,-43,70,-2,-68,39,-48,-48,-87,-68,-73
-29,-78,-48,53,9,-63,53,-34,-39,-78,-78,-73
-48,-97,-48,73,0,-73,63,-19,-29,-82,-82,-82
-63,-126,-63,95,0,-95,73,-9,-29,-92,-102,-97
-63,-151,-87,107,12,-119,78,-9,-39,-107,-131,-122
-43,-156,-112,100,34,-134,68,-4,-48,-117,-136,-126
-39,-156,-117,97,39,-136,58,9,-39,-97,-126,-136
-39,-146,-107,92,34,-126,63,24,-14,-63,-107,-122
-19,-126,-107,73,43,-117,53,34,-4,-14,-63,-107
14,-92,-107,39,61,-100,29,43,14,43,0,-68
53,-53,-107,0,80,-80,4,48,19,102,63,-29
102,-19,-122,-41,112,-70,-14,53,39,156,141,19
