I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3
-302,-478,-175,390,-63,-326,204,-419,-966,-1220,-1102,-771,204,97,-87
-302,-478,-175,390,-63,-326,204,-419,-966,-1220,-1102,-771,204,97,-87
-302,-478,-175,390,-63,-326,204,-419,-966,-1220,-1102,-771,204,97,-87
-302,-478,-175,390,-63,-326,204,-419,-966,-1220,-1102,-771,204,97,-87
-287,-473,-185,380,-51,-329,195,-409,-946,-1190,-1078,-751,195,87,-82
-283,-468,-185,375,-48,-326,195,-400,-927,-1171,-1063,-741,195,87,-78
-278,-463,-185,370,-46,-324,195,-390,-907,-1151,-1049,-732,195,87,-73
-273,-458,-185,366,-43,-322,195,-380,-888,-1132,-1034,-722,195,87,-68
-248,-444,-195,346,-26,-319,180,-361,-844,-1083,-995,-697,185,73,-68
-234,-429,-195,331,-19,-312,175,-341,-810,-1044,-956,-673,175,68,-68
-219,-414,-195,317,-12,-305,170,-322,-775,-1005,-917,-649,165,63,-68
-204,-400,-195,302,-4,-297,165,-302,-741,-966,-878,-624,156,58,-68
-185,-375,-190,280,2,-283,151,-283,-697,-907,-834,-585,141,48,-53
-175,-361,-185,268,4,-273,146,-263,-653,-858,-790,-556,136,48,-48
-165,-346,-180,256,7,-263,141,-244,-610,-810,-746,-527,131,48,-43
-156,-331,-175,244,9,-253,136,-224,-566,-761,-702,-497,126,48,-39
-141,-302,-161,222,9,-231,122,-195,-512,-697,-653,-458,117,48,-24
-126,-283,-156,204,14,-219,117,-175,-468,-644,-605,-429,107,48,-19
-112,-263,-151,187,19,-207,112,-156,-424,-590,-556,-400,97,48,-14
-97,-244,-146,170,24,-195,107,-136,-380,-536,-507,-370,87,48,-9
-82,-214,-131,148,24,-173,92,-112,-336,-478,-463,-331,78,39,4
-78,-195,-117,136,19,-156,87,-97,-292,-429,-419,-302,68,39,9
-73,-175,-102,124,14,-139,82,-82,-248,-380,-375,-273,58,39,14
-68,-156,-87,112,9,-122,78,-68,-204,-331,-331,-244,48,39,19
-53,-131,-78,92,12,-104,63,-53,-165,-292,-287,-214,34,34,29
-39,-117,-78,78,19,-97,58,-39,-136,-253,-253,-185,29,29,29
-24,-102,-78,63,26,-90,53,-24,-107,-214,-219,-156,24,24,29
-9,-87,-78,48,34,-82,48,-9,-78,-175,-185,-126,19,19,29
-4,-73,-68,39,31,-70,43,0,-43,-136,-156,-107,4,19,34
0,-58,-58,29,29,-58,39,9,-19,-107,-126,-87,0,19,39
4,-43,-48,19,26,-46,34,19,4,-78,-97,-68,-4,19,43
9,-29,-39,9,24,-34,29,29,29,-48,-68,-48,-9,19,48
19,-19,-39,0,29,-29,29,43,48,-29,-43,-29,-19,19,48
19,-19,-39,0,29,-29,29,48,58,-9,-29,-19,-19,19,48
19,-19,-39,0,29,-29,29,53,68,9,-14,-9,-19,19,48
19,-19,-39,0,29,-29,29,58,78,29,0,0,-19,19,48
9,-24,-34,7,21,-29,34,68,82,43,9,4,-19,14,48
9,-29,-39,9,24,-34,39,68,87,48,19,9,-19,9,48
9,-34,-43,12,26,-39,43,68,92,53,29,14,-19,4,48
9,-39,-48,14,29,-43,48,68,97,58,39,19,-19,0,48
0,-29,-29,14,14,-29,43,53,97,73,43,24,-29,-9,34
0,-29,-29,14,14,-29,39,48,97,78,48,29,-29,-9,29
