I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-34,-24,9,29,-21,-7,24,-34,-82,-112,-107,-87,-92,0,-14
-34,-29,4,31,-19,-12,24,-34,-92,-122,-117,-87,-107,-4,0
-39,-29,9,34,-24,-9,24,-39,-107,-136,-131,-97,-107,-9,0
-39,-34,4,36,-21,-14,24,-39,-117,-141,-141,-102,-112,-14,4
-43,-34,9,39,-26,-12,24,-43,-117,-141,-141,-107,-117,-14,4
-43,-34,9,39,-26,-12,24,-43,-122,-146,-141,-112,-122,-19,4
-48,-39,9,43,-29,-14,24,-43,-126,-151,-146,-112,-122,-19,9
-58,-48,9,53,-34,-19,24,-43,-126,-151,-151,-112,-122,-19,9
-58,-48,9,53,-34,-19,24,-48,-126,-151,-156,-112,-126,-24,9
-58,-53,4,56,-31,-24,24,-48,-126,-156,-156,-112,-126,-34,14
-58,-58,0,58,-29,-29,24,-43,-126,-156,-156,-112,-126,-34,14
-58,-58,0,58,-29,-29,24,-43,-131,-161,-156,-107,-126,-34,19
-58,-53,4,56,-31,-24,24,-43,-131,-161,-156,-107,-126,-34,14
-58,-53,4,56,-31,-24,24,-43,-136,-165,-156,-107,-126,-34,9
-53,-53,0,53,-26,-26,24,-43,-136,-165,-156,-107,-126,-34,9
-53,-53,0,53,-26,-26,24,-43,-136,-165,-151,-107,-131,-34,9
-63,-58,4,61,-34,-26,19,-43,-136,-165,-151,-112,-131,-34,9
-63,-58,4,61,-34,-26,14,-43,-136,-165,-151,-112,-131,-34,9
-63,-58,4,61,-34,-26,14,-43,-136,-165,-151,-117,-131,-39,9
-63,-58,4,61,-34,-26,14,-43,-136,-165,-151,-122,-131,-39,9
-58,-58,0,58,-29,-29,14,-43,-136,-165,-151,-122,-131,-39,9
-53,-58,-4,56,-24,-31,14,-43,-136,-165,-151,-122,-131,-39,9
-53,-53,0,53,-26,-26,19,-39,-131,-161,-151,-122,-131,-34,9
-53,-48,4,51,-29,-21,29,-39,-126,-156,-151,-122,-131,-29,9
-53,-53,0,53,-26,-26,29,-39,-126,-151,-151,-122,-126,-29,9
-53,-53,0,53,-26,-26,29,-39,-122,-151,-151,-122,-122,-29,4
-53,-53,0,53,-26,-26,24,-29,-117,-146,-146,-122,-122,-29,4
-53,-48,4,51,-29,-21,24,-24,-112,-146,-141,-117,-122,-29,4
-58,-48,9,53,-34,-19,29,-24,-112,-146,-141,-117,-122,-29,4
-58,-48,9,53,-34,-19,29,-24,-107,-141,-136,-117,-117,-29,4
-58,-43,14,51,-36,-14,29,-24,-107,-136,-131,-117,-117,-24,4
-58,-39,19,48,-39,-9,29,-24,-102,-131,-131,-112,-112,-24,4
-58,-39,19,48,-39,-9,29,-29,-102,-126,-126,-107,-107,-24,4
-53,-34,19,43,-36,-7,24,-29,-102,-126,-122,-97,-107,-29,4
-48,-39,9,43,-29,-14,19,-29,-102,-122,-122,-97,-107,-29,0
-48,-43,4,46,-26,-19,14,-29,-97,-122,-117,-97,-107,-24,0
-48,-43,4,46,-26,-19,14,-29,-87,-112,-117,-92,-102,-24,0
-48,-43,4,46,-26,-19,14,-29,-87,-112,-112,-92,-102,-24,0
-43,-43,0,43,-21,-21,14,-29,-87,-112,-107,-87,-97,-24,4
-43,-43,0,43,-21,-21,19,-29,-87,-112,-102,-87,-92,-24,9
-43,-43,0,43,-21,-21,19,-29,-92,-112,-102,-87,-92,-19,9
-48,-39,9,43,-29,-14,14,-29,-92,-117,-97,-92,-92,-19,9
-48,-39,9,43,-29,-14,14,-24,-92,-117,-102,-87,-92,-24,9
-43,-39,4,41,-24,-17,14,-24,-92,-112,-107,-87,-87,-29,4
-43,-39,4,41,-24,-17,14,-29,-92,-112,-102,-87,-92,-29,4
-43,-39,4,41,-24,-17,14,-29,-92,-112,-102,-87,-97,-34,4
-43,-39,4,41,-24,-17,14,-29,-92,-112,-102,-87,-97,-34,4
-48,-34,14,41,-31,-9,14,-29,-87,-112,-102,-82,-97,-29,9
-48,-34,14,41,-31,-9,14,-29,-87,-112,-107,-82,-97,-29,9
-53,-34,19,43,-36,-7,14,-29,-87,-112,-107,-82,-97,-29,9
-48,-34,14,41,-31,-9,14,-29,-87,-112,-107,-82,-92,-24,9
-43,-39,4,41,-24,-17,14,-29,-87,-112,-107,-87,-92,-19,9
-43,-39,4,41,-24,-17,14,-29,-87,-112,-107,-87,-92,-24,4
-43,-34,9,39,-26,-12,14,-29,-92,-117,-107,-87,-92,-24,4
-43,-34,9,39,-26,-12,14,-29,-92,-117,-107,-87,-92,-19,4
-43,-34,9,39,-26,-12,14,-29,-92,-117,-112,-87,-92,-19,4
-43,-34,9,39,-26,-12,19,-29,-92,-117,-112,-87,-92,-19,4
-43,-34,9,39,-26,-12,19,-29,-92,-122,-112,-87,-97,-19,9
-43,-34,9,39,-26,-12,14,-29,-92,-122,-112,-92,-97,-19,4
-48,-39,9,43,-29,-14,14,-29,-92,-126,-117,-97,-97,-19,0
-48,-39,9,43,-29,-14,14,-29,-92,-126,-117,-97,-97,-19,0
-48,-39,9,43,-29,-14,19,-29,-97,-126,-117,-97,-97,-19,0
-48,-39,9,43,-29,-14,19,-29,-97,-126,-117,-97,-97,-19,0
-48,-39,9,43,-29,-14,19,-29,-97,-126,-117,-97,-97,-19,0
-53,-39,14,46,-34,-12,19,-29,-97,-126,-117,-97,-102,-19,0
-53,-29,24,41,-39,-2,19,-29,-92,-126,-117,-97,-107,-14,-4
-53,-24,29,39,-41,2,19,-29,-92,-126,-117,-97,-112,-9,-9
-43,-14,29,29,-36,7,34,-24,-73,-117,-112,-92,-112,-4,-19
-34,4,39,14,-36,21,63,-4,-63,-107,-102,-87,-112,9,-34
-14,24,39,-4,-26,31,92,14,-48,-92,-87,-78,-112,29,-53
-9,39,48,-14,-29,43,131,39,-29,-82,-78,-68,-117,43,-68
0,58,58,-29,-29,58,136,48,-19,-73,-68,-68,-122,53,-87
0,73,73,-36,-36,73,136,58,-4,-63,-63,-63,-126,63,-97
14,87,73,-51,-29,80,117,58,14,-53,-53,-58,-126,73,-112
24,112,87,-68,-31,100,82,48,19,-39,-43,-48,-122,92,-126
34,131,97,-82,-31,114,53,29,24,-29,-34,-43,-112,102,-126
39,131,92,-85,-26,112,-19,-24,9,-43,-43,-43,-107,102,-97
39,131,92,-85,-26,112,-112,-117,-29,-68,-58,-43,-102,107,-39
39,131,92,-85,-26,112,-156,-136,-48,-78,-73,-48,-92,107,-9
39,122,82,-80,-21,102,-161,-146,-68,-92,-82,-48,-87,102,14
39,117,78,-78,-19,97,-170,-146,-78,-97,-82,-48,-82,102,29
39,107,68,-73,-14,87,-170,-146,-82,-102,-87,-48,-68,102,39
34,92,58,-63,-12,75,-170,-161,-102,-112,-97,-53,-68,87,58
34,78,43,-56,-4,61,-180,-170,-131,-122,-107,-58,-58,78,78
39,68,29,-53,4,48,-175,-170,-136,-131,-117,-58,-48,68,92
39,63,24,-51,7,43,-161,-165,-136,-131,-117,-58,-48,63,92
34,53,19,-43,7,36,-131,-146,-131,-131,-117,-58,-48,53,82
9,29,19,-19,-4,24,-87,-122,-131,-131,-122,-68,-68,39,73
-19,9,29,4,-24,19,-53,-102,-136,-141,-131,-87,-92,29,48
-43,-9,34,26,-39,12,-29,-87,-136,-146,-136,-92,-107,19,39
-58,-19,39,39,-48,9,-14,-82,-131,-146,-136,-97,-117,19,29
-63,-24,39,43,-51,7,0,-68,-126,-146,-131,-97,-122,9,19
-82,-34,48,58,-65,7,14,-53,-122,-146,-131,-112,-131,0,9
-87,-48,39,68,-63,-4,34,-39,-122,-146,-131,-117,-136,-19,0
-97,-78,19,87,-58,-29,43,-29,-122,-146,-141,-126,-141,-39,0
-97,-92,4,95,-51,-43,53,-24,-122,-151,-146,-131,-146,-48,0
-92,-92,0,92,-46,-46,53,-29,-122,-156,-146,-136,-146,-58,4
-92,-92,0,92,-46,-46,53,-29,-126,-156,-151,-136,-146,-58,4
-97,-97,0,97,-48,-48,58,-29,-126,-156,-151,-136,-146,-58,4
-97,-97,0,97,-48,-48,63,-24,-122,-156,-151,-136,-151,-58,0
-107,-97,9,102,-58,-43,68,-14,-122,-156,-151,-136,-151,-58,0
-112,-97,14,104,-63,-41,73,-9,-117,-151,-151,-136,-151,-58,-4
-112,-97,14,104,-63,-41,87,0,-102,-141,-141,-141,-156,-48,-29
-126,-87,39,107,-82,-24,112,19,-68,-117,-136,-151,-170,-39,-58
-161,-73,87,117,-124,7,180,92,19,-78,-117,-180,-200,-19,-141
-204,-53,151,129,-178,48,322,268,185,9,-78,-214,-244,-4,-283
-224,-14,209,119,-217,97,536,566,483,214,43,-214,-244,29,-517
-175,68,244,53,-209,156,712,922,902,536,297,-131,-136,78,-771
-53,165,219,-56,-136,192,702,1015,1102,717,458,-29,-19,122,-849
141,326,185,-234,-21,256,429,785,1093,780,561,122,141,180,-736
336,556,219,-446,58,387,-48,117,556,536,468,297,273,322,-351
531,780,248,-656,141,514,-800,-1073,-570,-122,117,419,326,483,380
805,961,156,-883,324,558,-1629,-2152,-1571,-707,-200,580,473,595,1166
1190,1010,-180,-1100,685,414,-2498,-2908,-2215,-1034,-283,888,873,556,1966
1434,1058,-375,-1246,905,341,-3064,-3347,-2581,-1244,-341,1073,1141,546,2430
1586,1019,-566,-1302,1076,226,-3230,-3372,-2508,-1210,-312,1156,1283,497,2488
1424,561,-863,-993,1144,-151,-2557,-2601,-1922,-854,-112,1093,1293,175,2059
1058,278,-780,-668,919,-251,-1756,-1839,-1263,-527,-24,805,966,53,1498
707,146,-561,-427,634,-207,-1195,-1327,-1083,-697,-409,346,492,39,1146
434,39,-395,-236,414,-178,-810,-956,-927,-732,-536,68,185,24,878
248,-4,-253,-122,251,-129,-531,-649,-649,-551,-414,-24,53,14,600
82,-58,-141,-12,112,-100,-258,-336,-405,-375,-302,-92,-48,-19,346
-19,-82,-63,51,21,-73,-48,-97,-190,-195,-180,-92,-73,-43,136
-78,-112,-34,95,-21,-73,68,19,-82,-92,-107,-97,-102,-58,9
-112,-117,-4,114,-53,-61,112,63,-43,-82,-82,-102,-117,-63,-34
-112,-117,-4,114,-53,-61,131,87,-43,-87,-82,-107,-126,-68,-48
-122,-117,4,119,-63,-56,151,107,-29,-82,-87,-117,-126,-68,-58
-126,-122,4,124,-65,-58,165,126,-4,-63,-87,-126,-136,-73,-73
-141,-126,14,134,-78,-56,170,126,-4,-63,-87,-126,-146,-73,-73
-141,-126,14,134,-78,-56,170,126,-9,-73,-92,-131,-146,-73,-78
-141,-126,14,134,-78,-56,170,131,-9,-73,-92,-131,-146,-73,-82
-141,-126,14,134,-78,-56,180,141,-4,-68,-92,-131,-146,-78,-87
-146,-126,19,136,-82,-53,190,141,-4,-63,-82,-136,-146,-78,-87
-146,-126,19,136,-82,-53,190,141,0,-63,-78,-136,-151,-78,-87
-141,-126,14,134,-78,-56,190,146,0,-63,-78,-136,-151,-78,-87
-141,-126,14,134,-78,-56,190,146,0,-63,-78,-136,-151,-78,-87
-146,-126,19,136,-82,-53,195,146,0,-63,-73,-136,-151,-78,-92
-146,-131,14,139,-80,-58,195,151,0,-63,-73,-136,-151,-78,-92
-146,-131,14,139,-80,-58,200,151,4,-58,-73,-136,-151,-82,-92
-146,-131,14,139,-80,-58,204,151,4,-58,-73,-136,-151,-82,-97
-146,-131,14,139,-80,-58,204,151,9,-58,-73,-136,-156,-82,-97
-146,-131,14,139,-80,-58,204,156,19,-53,-73,-136,-156,-82,-97
-151,-136,14,143,-82,-61,209,156,19,-53,-73,-141,-156,-82,-107
-151,-136,14,143,-82,-61,209,161,19,-53,-68,-146,-156,-82,-112
-151,-131,19,141,-85,-56,209,161,19,-48,-73,-146,-156,-82,-112
-151,-131,19,141,-85,-56,209,165,24,-48,-73,-146,-156,-82,-117
-151,-136,14,143,-82,-61,209,170,24,-43,-73,-151,-156,-78,-117
-151,-136,14,143,-82,-61,209,170,19,-43,-73,-151,-156,-78,-117
-151,-136,14,143,-82,-61,214,175,24,-43,-63,-151,-156,-78,-117
-151,-136,14,143,-82,-61,214,175,24,-34,-53,-146,-156,-78,-122
-151,-136,14,143,-82,-61,214,180,34,-29,-48,-146,-151,-82,-122
-151,-131,19,141,-85,-56,219,185,48,-24,-43,-141,-146,-87,-126
-151,-126,24,139,-87,-51,214,185,53,-24,-39,-141,-146,-87,-126
-151,-122,29,136,-90,-46,209,190,58,-19,-34,-136,-146,-87,-131
-151,-122,29,136,-90,-46,209,195,68,-9,-29,-131,-146,-87,-131
-151,-122,29,136,-90,-46,209,195,78,0,-19,-126,-141,-87,-136
-146,-122,24,134,-85,-48,214,204,82,9,-9,-117,-131,-87,-141
-146,-122,24,134,-85,-48,219,209,92,19,0,-117,-126,-87,-141
-151,-122,29,136,-90,-46,219,219,102,34,14,-112,-122,-87,-141
-151,-117,34,134,-92,-41,219,229,117,48,24,-107,-117,-87,-141
-151,-117,34,134,-92,-41,219,239,136,63,39,-102,-107,-87,-146
-146,-117,29,131,-87,-43,219,244,146,78,58,-92,-102,-87,-156
-146,-117,29,131,-87,-43,219,253,165,102,68,-82,-92,-87,-165
-141,-112,29,126,-85,-41,224,268,180,131,92,-73,-82,-87,-175
-136,-107,29,122,-82,-39,224,278,209,151,117,-63,-68,-82,-180
-131,-107,24,119,-78,-41,224,287,239,180,141,-43,-53,-82,-190
-126,-107,19,117,-73,-43,224,302,263,209,170,-24,-43,-82,-200
-122,-97,24,109,-73,-36,224,312,297,244,204,-4,-24,-82,-204
-117,-97,19,107,-68,-39,229,336,336,283,244,14,0,-78,-219
-107,-92,14,100,-61,-39,234,361,375,326,287,43,29,-68,-229
-102,-92,9,97,-56,-41,234,385,419,375,331,68,58,-63,-248
-87,-82,4,85,-46,-39,234,409,478,424,385,92,87,-63,-273
-82,-68,14,75,-48,-26,234,429,536,497,448,126,122,-53,-283
-73,-58,14,65,-43,-21,234,458,605,570,507,170,165,-53,-302
-58,-48,9,53,-34,-19,239,483,663,639,580,214,200,-34,-322
-43,-34,9,39,-26,-12,239,512,722,712,649,253,239,-29,-341
-29,-24,4,26,-17,-9,239,541,800,780,722,292,278,-24,-370
-4,-14,-9,9,2,-12,239,570,873,858,800,346,331,-24,-395
4,0,-4,-2,4,-2,239,595,936,927,873,390,380,-9,-419
19,19,0,-19,9,9,229,614,995,1000,941,434,424,0,-434
43,34,-9,-39,26,12,224,624,1044,1058,1010,473,463,9,-444
53,53,0,-53,26,26,219,634,1088,1107,1058,507,502,14,-453
78,63,-14,-70,46,24,209,639,1107,1137,1083,536,527,34,-458
87,82,-4,-85,46,39,195,639,1107,1137,1083,546,536,43,-458
92,92,0,-92,46,46,185,629,1098,1117,1073,546,536,48,-448
97,97,0,-97,48,48,170,600,1054,1063,1019,531,522,53,-419
97,102,4,-100,46,53,151,556,966,980,941,507,488,53,-390
92,97,4,-95,43,51,131,497,868,878,844,463,439,58,-361
87,97,9,-92,39,53,112,424,766,771,741,400,380,58,-317
78,97,19,-87,29,58,92,366,658,649,629,341,322,58,-273
73,92,19,-82,26,56,73,287,531,522,507,287,263,58,-219
53,82,29,-68,12,56,58,224,409,395,390,224,195,58,-180
48,73,24,-61,12,48,48,165,317,302,297,161,141,53,-151
39,63,24,-51,7,43,39,112,239,214,214,112,87,48,-122
29,53,24,-41,2,39,39,82,156,141,136,73,39,34,-97
14,39,24,-26,-4,31,39,43,87,68,68,34,4,24,-68
0,19,19,-9,-9,19,29,24,43,19,24,0,-29,19,-58
-9,9,19,0,-14,14,24,9,14,-14,-9,-34,-53,9,-48
-24,-4,19,14,-21,7,19,0,-14,-48,-48,-48,-73,9,-39
-34,-9,24,21,-29,7,19,-14,-43,-78,-78,-58,-87,4,-29
-34,-9,24,21,-29,7,24,-24,-58,-92,-92,-78,-97,-4,-19
-39,-24,14,31,-26,-4,24,-24,-73,-102,-97,-87,-107,-9,-19
-39,-29,9,34,-24,-9,24,-24,-82,-112,-107,-87,-117,-19,-9
-39,-29,9,34,-24,-9,24,-29,-92,-126,-122,-97,-117,-24,-9
-39,-34,4,36,-21,-14,24,-34,-102,-131,-131,-97,-117,-24,-4
-43,-34,9,39,-26,-12,24,-43,-107,-131,-131,-97,-117,-24,-4
-43,-34,9,39,-26,-12,24,-43,-112,-136,-131,-102,-122,-29,-4
-43,-34,9,39,-26,-12,24,-43,-117,-141,-136,-102,-122,-29,0
-48,-39,9,43,-29,-14,24,-39,-117,-141,-141,-102,-122,-29,0
-48,-39,9,43,-29,-14,24,-39,-122,-141,-146,-102,-126,-29,0
-48,-43,4,46,-26,-19,24,-39,-126,-146,-146,-102,-126,-34,4
-48,-48,0,48,-24,-24,24,-39,-126,-146,-146,-107,-126,-34,4
-48,-48,0,48,-24,-24,24,-48,-131,-151,-146,-112,-126,-34,9
-48,-43,4,46,-26,-19,24,-53,-131,-151,-146,-117,-126,-34,9
-48,-48,0,48,-24,-24,24,-53,-136,-156,-146,-117,-126,-34,9
-43,-53,-9,48,-17,-31,24,-53,-136,-156,-151,-117,-126,-34,9
-43,-53,-9,48,-17,-31,24,-53,-136,-156,-151,-117,-131,-34,9
-53,-58,-4,56,-24,-31,24,-53,-136,-156,-151,-122,-131,-34,9
-53,-58,-4,56,-24,-31,24,-48,-136,-156,-151,-122,-131,-34,9
-53,-58,-4,56,-24,-31,24,-43,-136,-156,-151,-122,-131,-39,9
-53,-53,0,53,-26,-26,24,-43,-131,-156,-151,-117,-131,-39,9
-53,-48,4,51,-29,-21,24,-43,-126,-156,-151,-112,-131,-39,9
-53,-48,4,51,-29,-21,24,-43,-126,-156,-151,-112,-131,-39,9
-53,-48,4,51,-29,-21,24,-39,-126,-156,-151,-112,-131,-39,9
-53,-48,4,51,-29,-21,29,-39,-126,-156,-151,-112,-131,-39,9
-53,-53,0,53,-26,-26,29,-39,-126,-151,-151,-112,-131,-39,9
-53,-53,0,53,-26,-26,29,-39,-122,-146,-146,-112,-131,-39,4
-53,-53,0,53,-26,-26,24,-34,-117,-136,-136,-112,-131,-39,4
-53,-48,4,51,-29,-21,24,-29,-112,-136,-131,-107,-131,-39,0
-58,-48,9,53,-34,-19,29,-24,-112,-136,-131,-107,-131,-39,-4
-58,-48,9,53,-34,-19,29,-24,-107,-131,-126,-107,-126,-39,-4
-58,-48,9,53,-34,-19,29,-24,-107,-126,-122,-107,-126,-34,-4
-58,-48,9,53,-34,-19,29,-24,-97,-122,-122,-102,-122,-34,-4
-58,-48,9,53,-34,-19,29,-24,-92,-117,-117,-102,-117,-34,-4
-53,-43,9,48,-31,-17,24,-19,-92,-117,-112,-97,-112,-34,-4
-48,-43,4,46,-26,-19,24,-19,-92,-112,-112,-97,-107,-29,-9
-48,-43,4,46,-26,-19,24,-19,-87,-112,-107,-97,-107,-24,-9
-48,-43,4,46,-26,-19,24,-19,-78,-102,-107,-92,-102,-24,-9
-53,-43,9,48,-31,-17,24,-19,-78,-102,-102,-92,-102,-29,-9
-53,-43,9,48,-31,-17,19,-19,-78,-102,-97,-87,-97,-34,-9
-53,-43,9,48,-31,-17,19,-19,-78,-102,-92,-87,-92,-34,-9
-53,-43,9,48,-31,-17,19,-19,-78,-97,-92,-82,-92,-29,-9
-58,-39,19,48,-39,-9,14,-19,-73,-97,-87,-82,-97,-29,-9
-58,-39,19,48,-39,-9,14,-14,-73,-97,-87,-78,-102,-29,-9
-53,-39,14,46,-34,-12,14,-14,-78,-92,-92,-78,-97,-24,-9
-53,-39,14,46,-34,-12,14,-19,-82,-92,-92,-78,-97,-19,-4
-53,-39,14,46,-34,-12,14,-19,-82,-92,-92,-78,-97,-24,-4
-48,-39,9,43,-29,-14,14,-19,-82,-92,-92,-78,-97,-24,-4
-43,-34,9,39,-26,-12,14,-19,-78,-92,-92,-78,-97,-19,-4
-39,-34,4,36,-21,-14,14,-19,-78,-92,-97,-82,-97,-19,-9
-43,-34,9,39,-26,-12,14,-19,-78,-97,-97,-82,-102,-19,-9
-43,-34,9,39,-26,-12,14,-19,-78,-102,-97,-82,-102,-19,-9
-43,-39,4,41,-24,-17,14,-19,-78,-102,-97,-87,-102,-19,-4
-43,-39,4,41,-24,-17,14,-19,-78,-102,-97,-87,-102,-24,-4
-43,-34,9,39,-26,-12,14,-19,-82,-102,-97,-87,-102,-24,-4
-43,-34,9,39,-26,-12,14,-19,-82,-97,-97,-87,-102,-19,-4
-43,-34,9,39,-26,-12,14,-19,-82,-97,-102,-87,-102,-19,-4
-43,-34,9,39,-26,-12,19,-19,-82,-97,-102,-87,-102,-19,-4
-43,-34,9,39,-26,-12,14,-24,-78,-102,-102,-87,-97,-24,0
-48,-39,9,43,-29,-14,14,-29,-78,-107,-107,-87,-97,-29,0
-48,-39,9,43,-29,-14,9,-29,-82,-107,-107,-87,-97,-29,0
-48,-39,9,43,-29,-14,9,-29,-87,-107,-107,-87,-97,-29,0
-48,-39,9,43,-29,-14,14,-29,-87,-112,-107,-87,-97,-29,-4
-48,-39,9,43,-29,-14,19,-29,-87,-117,-107,-87,-97,-29,-9
-48,-39,9,43,-29,-14,19,-29,-87,-117,-107,-87,-97,-29,-9
-43,-29,14,36,-29,-7,19,-24,-87,-112,-107,-87,-97,-24,-14
-43,-19,24,31,-34,2,19,-24,-87,-112,-107,-87,-102,-19,-19
-34,-4,29,19,-31,12,34,-14,-73,-97,-102,-82,-102,-14,-29
-29,14,43,7,-36,29,63,4,-63,-87,-92,-78,-107,0,-43
-14,34,48,-9,-31,41,92,24,-48,-73,-78,-68,-112,19,-63
-9,48,58,-19,-34,53,131,48,-29,-63,-68,-63,-117,39,-78
0,68,68,-34,-34,68,136,58,-19,-53,-58,-68,-122,53,-97
0,82,82,-41,-41,82,136,68,-4,-43,-53,-63,-122,63,-107
14,97,82,-56,-34,90,117,68,14,-34,-43,-58,-117,73,-122
24,112,87,-68,-31,100,82,58,24,-19,-34,-43,-112,87,-136
34,122,87,-78,-26,104,53,39,34,-9,-24,-34,-102,92,-136
43,126,82,-85,-19,104,-19,-24,19,-24,-34,-34,-97,92,-112
48,131,82,-90,-17,107,-112,-126,-19,-48,-48,-34,-92,97,-58
48,131,82,-90,-17,107,-161,-146,-43,-58,-63,-43,-82,97,-24
48,122,73,-85,-12,97,-170,-156,-68,-73,-73,-48,-78,92,4
48,117,68,-82,-9,92,-175,-156,-78,-78,-73,-48,-73,92,19
48,107,58,-78,-4,82,-170,-156,-82,-82,-78,-48,-58,92,29
43,92,48,-68,-2,70,-165,-170,-97,-97,-87,-53,-58,78,53
43,78,34,-61,4,56,-170,-180,-122,-112,-97,-58,-48,68,78
43,68,24,-56,9,46,-170,-175,-126,-122,-107,-53,-39,63,92
39,63,24,-51,7,43,-161,-165,-126,-122,-107,-48,-39,63,92
34,53,19,-43,7,36,-131,-146,-122,-122,-107,-48,-39,53,82
9,29,19,-19,-4,24,-87,-122,-122,-122,-112,-58,-58,39,73
-19,9,29,4,-24,19,-53,-102,-126,-131,-122,-82,-82,29,48
-43,-9,34,26,-39,12,-29,-87,-126,-136,-126,-92,-97,19,39
-58,-19,39,39,-48,9,-14,-82,-126,-136,-131,-97,-107,19,29
-63,-24,39,43,-51,7,0,-68,-126,-136,-131,-97,-112,9,19
-82,-34,48,58,-65,7,14,-53,-122,-136,-136,-112,-122,0,9
-87,-48,39,68,-63,-4,34,-39,-122,-136,-141,-117,-126,-19,0
-97,-78,19,87,-58,-29,43,-29,-122,-136,-151,-126,-131,-39,0
-97,-92,4,95,-51,-43,53,-24,-122,-141,-156,-131,-136,-48,0
-97,-92,4,95,-51,-43,53,-24,-122,-146,-151,-136,-136,-58,0
-102,-92,9,97,-56,-41,53,-19,-126,-146,-151,-136,-136,-58,-4
-107,-97,9,102,-58,-43,58,-19,-126,-146,-151,-136,-136,-63,-4
-107,-97,9,102,-58,-43,63,-14,-122,-146,-151,-136,-141,-68,-9
-112,-97,14,104,-63,-41,68,-9,-122,-146,-151,-136,-141,-68,-9
-112,-97,14,104,-63,-41,73,-9,-117,-141,-151,-136,-141,-68,-14
-112,-92,19,102,-65,-36,92,9,-97,-126,-131,-136,-141,-58,-43
-126,-78,48,102,-87,-14,122,39,-58,-97,-117,-141,-151,-48,-78
-156,-63,92,109,-124,14,190,122,43,-39,-87,-170,-175,-29,-165
-195,-43,151,119,-173,53,331,307,224,68,-39,-204,-214,-14,-312
-204,0,204,102,-204,102,546,619,531,273,87,-195,-204,19,-536
-146,87,234,29,-190,161,722,990,961,595,346,-102,-87,68,-780
-29,180,209,-75,-119,195,688,1024,1107,741,488,0,24,122,-839
161,336,175,-248,-7,256,390,736,1044,771,570,151,180,190,-707
375,566,190,-470,92,378,-112,14,478,492,448,317,307,322,-297
590,790,200,-690,195,495,-888,-1229,-678,-200,68,429,356,473,458
849,966,117,-907,366,541,-1727,-2327,-1708,-814,-278,585,488,590,1249
1220,1010,-209,-1115,714,400,-2605,-3103,-2381,-1171,-390,888,873,556,2054
1434,1029,-405,-1232,919,312,-3084,-3445,-2664,-1327,-429,1034,1112,527,2449
1556,961,-595,-1259,1076,183,-3162,-3372,-2508,-1239,-380,1078,1224,458,2440
1366,512,-854,-939,1110,-170,-2479,-2571,-1912,-883,-170,995,1210,146,2000
971,239,-732,-605,851,-246,-1668,-1781,-1244,-556,-73,688,858,34,1429
644,117,-527,-380,585,-204,-1132,-1283,-1058,-702,-439,263,414,19,1088
395,19,-375,-207,385,-178,-771,-927,-897,-712,-546,19,136,4,829
219,-9,-229,-104,224,-119,-492,-619,-624,-527,-409,-53,24,4,556
63,-48,-112,-7,87,-80,-219,-307,-385,-346,-283,-102,-58,-19,307
-29,-73,-43,51,7,-58,-29,-78,-180,-180,-170,-102,-68,-43,117
-78,-102,-24,90,-26,-63,68,29,-82,-92,-107,-107,-82,-58,9
-112,-107,4,109,-58,-51,112,73,-43,-78,-82,-107,-97,-63,-34
-112,-107,4,109,-58,-51,131,97,-43,-78,-82,-107,-107,-68,-48
-122,-107,14,114,-68,-46,156,117,-29,-73,-82,-117,-107,-68,-63
-126,-112,14,119,-70,-48,175,136,-4,-53,-78,-126,-117,-73,-82
-141,-122,19,131,-80,-51,180,136,-4,-53,-78,-122,-126,-73,-82
-141,-126,14,134,-78,-56,180,136,-9,-63,-82,-122,-126,-73,-87
-141,-126,14,134,-78,-56,175,136,-9,-63,-82,-122,-126,-73,-92
-141,-126,14,134,-78,-56,180,141,-4,-58,-82,-122,-126,-78,-97
-146,-126,19,136,-82,-53,190,141,-4,-48,-78,-126,-126,-78,-97
-146,-126,19,136,-82,-53,190,141,0,-43,-78,-126,-131,-78,-97
-136,-126,9,131,-73,-58,190,146,0,-43,-78,-126,-131,-82,-97
-131,-126,4,129,-68,-61,190,146,0,-43,-78,-126,-131,-87,-97
-136,-126,9,131,-73,-58,195,146,0,-43,-73,-126,-131,-87,-102
-136,-131,4,134,-70,-63,195,151,0,-43,-73,-126,-131,-87,-102
-136,-131,4,134,-70,-63,200,151,4,-39,-73,-131,-126,-92,-102
-136,-131,4,134,-70,-63,204,151,4,-39,-73,-136,-122,-92,-107
-136,-131,4,134,-70,-63,204,151,4,-39,-73,-136,-126,-87,-102
-136,-131,4,134,-70,-63,204,156,9,-34,-73,-136,-126,-82,-97
-141,-136,4,139,-73,-65,209,156,14,-34,-73,-136,-126,-82,-102
-141,-136,4,139,-73,-65,209,161,19,-34,-68,-136,-126,-82,-102
-141,-131,9,136,-75,-61,209,161,19,-29,-68,-131,-126,-82,-102
-141,-131,9,136,-75,-61,209,165,24,-29,-63,-126,-126,-82,-107
-141,-136,4,139,-73,-65,209,170,29,-24,-63,-131,-126,-82,-107
-141,-136,4,139,-73,-65,209,170,29,-24,-63,-131,-126,-87,-107
-141,-136,4,139,-73,-65,214,175,34,-24,-58,-131,-126,-92,-107
