I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-131,-117,14,124,-73,-51,190,156,9,-43,-78,-126,-122,-78,-87
-136,-117,19,126,-78,-48,195,156,9,-48,-78,-126,-122,-78,-92
-136,-122,14,129,-75,-53,195,161,9,-53,-82,-126,-122,-78,-92
-136,-122,14,129,-75,-53,200,161,14,-48,-82,-126,-122,-82,-92
-136,-122,14,129,-75,-53,204,161,14,-48,-82,-126,-122,-82,-97
-136,-122,14,129,-75,-53,204,161,14,-48,-82,-131,-131,-87,-97
-136,-122,14,129,-75,-53,204,165,19,-43,-82,-136,-136,-92,-97
-141,-126,14,134,-78,-56,214,165,19,-43,-82,-136,-136,-92,-102
-141,-126,14,134,-78,-56,219,170,19,-43,-78,-136,-136,-92,-102
-141,-126,14,134,-78,-56,219,170,19,-39,-78,-136,-131,-92,-102
-141,-131,9,136,-75,-61,219,175,24,-39,-73,-136,-126,-92,-107
-141,-136,4,139,-73,-65,219,180,29,-34,-73,-141,-126,-92,-107
-141,-136,4,139,-73,-65,219,180,29,-34,-73,-141,-126,-97,-107
-141,-136,4,139,-73,-65,224,185,34,-34,-68,-141,-131,-92,-107
-141,-136,4,139,-73,-65,224,185,34,-24,-63,-136,-136,-87,-112
-141,-136,4,139,-73,-65,224,190,34,-19,-58,-136,-131,-87,-107
-141,-131,9,136,-75,-61,229,195,39,-14,-53,-131,-126,-87,-107
-146,-131,14,139,-80,-58,229,195,43,-14,-48,-131,-126,-87,-107
-151,-131,19,141,-85,-56,229,200,48,-9,-43,-126,-126,-87,-112
-151,-131,19,141,-85,-56,229,204,63,0,-43,-126,-126,-87,-117
-151,-131,19,141,-85,-56,229,204,78,9,-39,-126,-122,-87,-126
-141,-131,9,136,-75,-61,229,214,82,19,-29,-117,-112,-87,-131
-136,-131,4,134,-70,-63,229,219,92,29,-19,-117,-107,-87,-131
-141,-131,9,136,-75,-61,229,224,97,39,-4,-107,-102,-87,-136
-141,-126,14,134,-78,-56,229,229,107,48,4,-97,-97,-87,-141
-141,-126,14,134,-78,-56,229,239,126,63,19,-97,-92,-87,-146
-136,-126,9,131,-73,-58,229,244,136,78,39,-92,-92,-87,-156
-141,-126,14,134,-78,-56,229,248,156,92,43,-87,-82,-87,-161
-141,-122,19,131,-80,-51,234,258,170,112,63,-82,-73,-87,-165
-136,-117,19,126,-78,-48,234,268,195,131,82,-73,-58,-82,-165
-131,-117,14,124,-73,-51,234,278,219,161,102,-53,-43,-82,-170
-126,-117,9,122,-68,-53,239,292,239,190,131,-34,-34,-82,-180
-122,-107,14,114,-68,-46,244,302,268,224,165,-14,-14,-82,-185
-117,-107,9,112,-63,-48,244,317,307,258,195,-4,4,-82,-200
-107,-102,4,104,-56,-48,244,331,346,297,229,14,29,-78,-209
-102,-102,0,102,-51,-51,244,351,375,341,273,43,53,-73,-224
-87,-92,-4,90,-41,-48,244,370,419,385,326,73,78,-73,-244
-82,-82,0,82,-41,-41,244,385,468,444,380,97,107,-63,-253
-73,-78,-4,75,-34,-41,244,409,527,502,429,131,146,-63,-273
-58,-73,-14,65,-21,-43,244,429,580,566,502,175,185,-48,-292
-43,-63,-19,53,-12,-41,239,453,634,634,570,214,229,-48,-312
-39,-53,-14,46,-12,-34,239,478,707,697,639,248,258,-43,-331
-24,-43,-19,34,-2,-31,239,502,775,771,712,297,302,-43,-346
-9,-29,-19,19,4,-24,244,527,839,839,785,346,351,-29,-370
9,-9,-19,0,14,-14,239,546,897,912,854,395,395,-19,-385
34,4,-29,-19,31,-12,229,556,946,976,922,434,434,-9,-395
43,24,-19,-34,31,2,219,566,990,1029,971,468,473,-4,-405
73,34,-39,-53,56,-2,214,570,1024,1073,1010,507,507,14,-414
87,53,-34,-70,61,9,204,570,1039,1088,1024,527,527,24,-419
92,63,-29,-78,61,17,195,580,1054,1093,1039,541,541,29,-424
97,68,-29,-82,63,19,180,570,1034,1063,1010,541,541,34,-409
102,82,-19,-92,61,31,165,546,971,1000,951,527,522,34,-380
102,87,-14,-95,58,36,151,507,897,917,873,492,488,39,-351
97,87,-9,-92,53,39,131,444,810,829,785,439,439,39,-312
87,87,0,-87,43,43,112,395,717,727,688,390,390,39,-273
87,87,0,-87,43,43,87,317,595,600,566,336,331,43,-229
73,82,9,-78,31,46,68,253,478,473,448,273,263,48,-200
58,73,14,-65,21,43,58,200,380,380,351,209,209,48,-170
39,63,24,-51,7,43,48,151,297,292,263,161,156,48,-141
29,58,29,-43,0,43,48,122,214,209,180,112,102,39,-117
14,48,34,-31,-9,41,48,82,146,126,107,63,63,34,-87
0,29,29,-14,-14,29,39,58,87,68,53,29,24,29,-73
-9,19,29,-4,-19,24,34,39,43,24,9,-4,-4,19,-58
-19,4,24,7,-21,14,29,24,14,-14,-29,-24,-29,19,-48
-24,0,24,12,-24,12,29,4,-14,-48,-58,-39,-48,14,-39
-24,0,24,12,-24,12,29,-9,-34,-68,-82,-58,-58,0,-29
-29,-14,14,21,-21,0,24,-14,-53,-82,-97,-68,-68,-9,-29
-34,-19,14,26,-24,-2,24,-14,-68,-92,-107,-73,-82,-14,-19
-39,-19,19,29,-29,0,24,-19,-82,-107,-122,-87,-87,-14,-19
-39,-24,14,31,-26,-4,24,-19,-87,-117,-136,-92,-92,-14,-9
