I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
39,58,19,-48,9,39,-53,14,58,73,82,53
34,48,14,-41,9,31,-53,19,48,63,73,43
34,24,-9,-29,21,7,-48,19,43,58,68,39
29,4,-24,-17,26,-9,-39,24,39,48,63,34
24,-9,-34,-7,29,-21,-39,43,43,48,48,24
29,-9,-39,-9,34,-24,-29,43,43,43,43,19
29,-9,-39,-9,34,-24,-19,39,39,39,39,9
34,-14,-48,-9,41,-31,-19,39,29,34,29,0
14,-34,-48,9,31,-41,-14,34,9,19,29,-9
0,-43,-43,21,21,-43,0,29,4,9,24,-19
-9,-58,-48,34,19,-53,4,24,-4,0,9,-29
-9,-73,-63,41,26,-68,4,14,-14,-4,4,-39
0,-87,-87,43,43,-87,4,19,-4,0,-4,-39
0,-102,-102,51,51,-102,9,34,-19,-9,-9,-48
0,-107,-107,53,53,-107,9,39,-19,-19,-14,-58
-9,-117,-107,63,48,-112,19,43,-24,-19,-14,-58
-4,-117,-112,61,53,-114,19,39,-34,-29,-24,-58
-4,-117,-112,61,53,-114,19,43,-39,-34,-34,-58
0,-117,-117,58,58,-117,19,29,-43,-34,-34,-58
0,-117,-117,58,58,-117,19,24,-43,-34,-34,-58
-14,-117,-102,65,43,-109,14,34,-34,-34,-29,-58
-14,-117,-102,65,43,-109,14,34,-34,-39,-29,-53
-9,-122,-112,65,51,-117,14,34,-34,-39,-29,-48
-9,-131,-122,70,56,-126,14,43,-34,-39,-29,-43
-19,-141,-122,80,51,-131,19,53,-34,-39,-29,-34
-19,-146,-126,82,53,-136,24,53,-39,-39,-34,-34
-19,-156,-136,87,58,-146,24,53,-39,-39,-34,-34
-19,-165,-146,92,63,-156,29,58,-39,-39,-34,-34
-19,-161,-141,90,61,-151,39,58,-48,-48,-43,-34
-19,-156,-136,87,58,-146,39,58,-53,-48,-48,-34
-19,-151,-131,85,56,-141,39,58,-53,-48,-48,-39
-19,-146,-126,82,53,-136,39,53,-53,-48,-48,-39
-9,-146,-136,78,63,-141,39,43,-43,-48,-48,-39
-9,-151,-141,80,65,-146,34,43,-43,-48,-48,-39
-9,-156,-146,82,68,-151,34,43,-43,-48,-48,-39
-9,-161,-151,85,70,-156,34,39,-43,-48,-48,-39
-4,-151,-146,78,70,-148,19,39,-43,-48,-39,-34
0,-141,-141,70,70,-141,14,39,-43,-48,-39,-29
4,-131,-136,63,70,-134,14,39,-43,-48,-39,-24
9,-122,-131,56,70,-126,9,39,-43,-53,-43,-19
-4,-131,-126,68,61,-129,0,43,-43,-43,-43,-14
-4,-141,-136,73,65,-139,0,48,-43,-43,-39,-14
0,-141,-141,70,70,-141,4,53,-43,-43,-39,-9
0,-136,-136,68,68,-136,4,58,-53,-43,-43,-4
-9,-146,-136,78,63,-141,24,53,-53,-53,-34,-4
-19,-165,-146,92,63,-156,34,53,-53,-53,-34,-4
-24,-175,-151,100,63,-163,43,48,-53,-53,-34,-4
-24,-175,-151,100,63,-163,53,48,-53,-53,-34,-4
-24,-165,-141,95,58,-153,43,39,-53,-53,-43,-4
-24,-175,-151,100,63,-163,48,39,-53,-53,-43,-4
-24,-175,-151,100,63,-163,48,48,-53,-53,-43,-4
-24,-165,-141,95,58,-153,48,34,-48,-53,-43,-4
-9,-151,-141,80,65,-146,34,43,-48,-53,-43,-4
-9,-151,-141,80,65,-146,34,43,-48,-53,-43,-4
-9,-156,-146,82,68,-151,34,43,-48,-53,-43,-4
-14,-161,-146,87,65,-153,39,43,-53,-58,-43,-4
-14,-156,-141,85,63,-148,34,48,-53,-48,-34,4
-9,-161,-151,85,70,-156,24,53,-53,-48,-34,0
-4,-161,-156,82,75,-158,19,58,-53,-48,-34,0
0,-151,-151,75,75,-151,19,63,-53,-48,-34,4
-19,-170,-151,95,65,-161,39,63,-39,-39,-24,14
-19,-170,-151,95,65,-161,24,53,-43,-43,-34,4
-9,-151,-141,80,65,-146,24,53,-39,-34,-34,4
-14,-151,-136,82,61,-143,29,68,-19,-29,-19,9
-14,-151,-136,82,61,-143,39,68,-19,-24,-24,0
-4,-141,-136,73,65,-139,39,68,-9,-14,-19,0
9,-136,-146,63,78,-141,34,82,24,4,4,4
34,-126,-161,46,97,-143,29,97,63,39,34,29
48,-102,-151,26,100,-126,14,87,107,82,63,58
43,-48,-92,2,68,-70,-14,82,165,141,122,97
58,39,-19,-48,39,9,-39,53,248,224,185,146
82,131,48,-107,17,90,-68,24,326,307,263,190
97,204,107,-151,-4,156,-107,4,351,366,322,248
87,229,141,-158,-26,185,-141,-34,258,356,356,297
78,214,136,-146,-29,175,-156,-43,146,312,356,322
126,200,73,-163,26,136,-165,-14,92,292,366,331
190,200,9,-195,90,104,-185,29,92,326,405,370
244,229,-14,-236,129,107,-209,43,117,390,488,444
307,273,-34,-290,170,119,-253,48,141,468,605,541
409,331,-78,-370,244,126,-336,78,170,580,780,717
585,424,-161,-505,373,131,-448,126,273,805,1102,1015
810,517,-292,-663,551,112,-585,185,405,1078,1498,1405
1010,590,-419,-800,714,85,-717,204,502,1332,1893,1805
1176,717,-458,-946,817,129,-863,170,595,1581,2264,2186
1337,893,-444,-1115,890,224,-1010,112,751,1854,2649,2557
1473,1068,-405,-1271,939,331,-1132,68,902,2117,3001,2913
1561,1146,-414,-1354,988,366,-1215,53,990,2269,3250,3191
1581,1039,-541,-1310,1061,248,-1190,82,980,2269,3328,3352
1517,868,-649,-1193,1083,109,-1107,48,795,2039,3176,3323
1327,712,-614,-1019,971,48,-1019,-92,366,1542,2698,3079
966,541,-424,-753,695,58,-849,-317,-234,780,1873,2552
556,326,-229,-441,392,48,-619,-463,-663,107,1049,1912
322,161,-161,-241,241,0,-448,-448,-673,-92,668,1473
253,87,-165,-170,209,-39,-346,-331,-492,-34,546,1190
209,78,-131,-143,170,-26,-278,-253,-390,-43,400,936
146,68,-78,-107,112,-4,-229,-219,-322,-53,273,751
97,58,-39,-78,68,9,-200,-190,-253,-39,224,605
68,53,-14,-61,41,19,-161,-161,-170,-14,180,478
39,34,-4,-36,21,14,-107,-136,-107,-14,122,336
4,-29,-34,12,19,-31,-48,-87,-73,-24,53,195
-19,-73,-53,46,17,-63,-9,-53,-53,-29,0,92
-53,-102,-48,78,-2,-75,24,-39,-39,-34,-29,14
-87,-117,-29,102,-29,-73,43,-34,-24,-48,-68,-48
-87,-117,-29,102,-29,-73,53,-24,-24,-48,-82,-68
-73,-107,-34,90,-19,-70,53,-9,-29,-58,-97,-73
-68,-102,-34,85,-17,-68,48,-9,-29,-63,-102,-78
-73,-102,-29,87,-21,-65,53,-4,-29,-63,-102,-87
-68,-107,-39,87,-14,-73,53,-4,-29,-73,-112,-97
-78,-97,-19,87,-29,-58,43,-14,-29,-68,-102,-92
-78,-97,-19,87,-29,-58,34,-14,-29,-68,-112,-92
-78,-92,-14,85,-31,-53,34,-14,-24,-63,-112,-92
-73,-92,-19,82,-26,-56,34,-9,-24,-63,-112,-92
-73,-92,-19,82,-26,-56,43,0,-34,-68,-117,-97
-82,-92,-9,87,-36,-51,53,4,-29,-68,-117,-112
-82,-92,-9,87,-36,-51,53,9,-29,-73,-126,-117
-82,-92,-9,87,-36,-51,53,19,-34,-82,-126,-126
-87,-117,-29,102,-29,-73,68,29,-34,-73,-117,-122
-87,-126,-39,107,-24,-82,68,29,-29,-73,-117,-117
-87,-131,-43,109,-21,-87,73,29,-29,-73,-117,-112
-87,-131,-43,109,-21,-87,73,29,-29,-73,-117,-117
