I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3
-156,-29,126,92,-141,48,117,107,39,0,-78,19,19,107,87
-156,-29,126,92,-141,48,117,112,39,0,-78,29,24,107,87
-156,-29,126,92,-141,48,117,117,39,0,-78,39,29,107,87
-161,-34,126,97,-143,46,122,126,43,9,-78,48,19,117,97
-165,-39,126,102,-146,43,126,126,48,9,-78,48,19,117,97
-170,-43,126,107,-148,41,131,126,53,9,-78,48,19,117,97
-175,-48,126,112,-151,39,136,126,58,9,-78,48,19,117,97
-190,-48,141,119,-165,46,136,141,68,19,-68,63,9,122,97
-195,-48,146,122,-170,48,136,146,68,19,-68,68,9,126,97
-200,-48,151,124,-175,51,136,151,68,19,-68,73,9,131,97
-204,-48,156,126,-180,53,136,156,68,19,-68,78,9,136,97
-195,-43,151,119,-173,53,151,170,87,29,-68,78,9,151,102
-195,-39,156,117,-175,58,156,175,97,39,-68,78,9,156,107
-195,-34,161,114,-178,63,161,180,107,48,-68,78,9,161,112
-195,-29,165,112,-180,68,165,185,117,58,-68,78,9,165,117
-209,-39,170,124,-190,65,170,200,122,68,-58,73,9,170,122
-214,-39,175,126,-195,68,175,204,126,68,-58,68,9,175,126
-219,-39,180,129,-200,70,180,209,131,68,-58,63,9,180,131
-224,-39,185,131,-204,73,185,214,136,68,-58,58,9,185,136
-229,-39,190,134,-209,75,190,229,141,73,-48,39,0,190,136
-234,-39,195,136,-214,78,195,234,146,78,-48,29,0,195,136
-239,-39,200,139,-219,80,200,239,151,82,-48,19,0,200,136
-244,-39,204,141,-224,82,204,244,156,87,-48,9,0,204,136
-244,-34,209,139,-226,87,219,258,161,92,-48,-4,-9,219,141
-244,-29,214,136,-229,92,224,263,165,97,-48,-9,-9,224,146
-244,-24,219,134,-231,97,229,268,170,102,-48,-14,-9,229,151
-244,-19,224,131,-234,102,234,273,175,107,-48,-19,-9,234,156
-248,-9,239,129,-244,114,239,283,190,112,-39,-29,-14,248,165
-253,-9,244,131,-248,117,244,292,195,117,-39,-39,-19,253,165
-258,-9,248,134,-253,119,248,302,200,122,-39,-48,-24,258,165
-263,-9,253,136,-258,122,253,312,204,126,-39,-58,-29,263,165
-278,0,278,139,-278,139,268,331,214,136,-24,-73,-19,273,170
-283,0,283,141,-283,141,273,341,224,146,-19,-78,-19,283,175
-287,0,287,143,-287,143,278,351,234,156,-14,-82,-19,292,180
-292,0,292,146,-292,146,283,361,244,165,-9,-87,-19,302,185
-302,0,302,151,-302,151,287,375,248,170,0,-107,-29,307,190
-312,0,312,156,-312,156,292,380,253,175,0,-117,-29,312,195
-322,0,322,161,-322,161,297,385,258,180,0,-126,-29,317,200
-331,0,331,165,-331,165,302,390,263,185,0,-136,-29,322,204
-341,14,356,163,-348,185,312,400,268,190,9,-141,-34,331,209
-341,19,361,161,-351,190,312,400,273,195,9,-146,-39,331,214
-341,24,366,158,-353,195,312,400,278,200,9,-151,-43,331,219
-341,29,370,156,-356,200,312,400,283,204,9,-156,-48,331,224
-356,34,390,161,-373,212,326,414,287,214,19,-146,-39,341,229
-361,39,400,161,-380,219,331,419,292,224,29,-146,-39,351,234
-366,43,409,161,-387,226,336,424,297,234,39,-146,-39,361,239
-370,48,419,161,-395,234,341,429,302,244,48,-146,-39,370,244
-375,39,414,168,-395,226,331,419,307,253,53,-141,-48,370,253
-380,39,419,170,-400,229,331,419,312,253,58,-136,-48,370,253
-385,39,424,173,-405,231,331,419,317,253,63,-131,-48,370,253
-390,39,429,175,-409,234,331,419,322,253,68,-126,-48,370,253
-400,53,453,173,-427,253,331,409,322,263,78,-117,-58,361,253
-400,58,458,170,-429,258,331,409,322,263,78,-117,-58,361,253
-400,63,463,168,-431,263,331,409,322,263,78,-117,-58,361,253
-400,68,468,165,-434,268,331,409,322,263,78,-117,-58,361,253
-390,78,468,156,-429,273,326,405,322,263,87,-107,-68,361,253
-390,78,468,156,-429,273,322,400,322,263,87,-97,-68,361,253
-390,78,468,156,-429,273,317,395,322,263,87,-87,-68,361,253
-390,78,468,156,-429,273,312,390,322,263,87,-78,-68,361,253
-385,87,473,148,-429,280,297,375,322,273,102,-63,-68,346,248
-380,87,468,146,-424,278,292,370,322,273,107,-48,-68,341,244
-375,87,463,143,-419,275,287,366,322,273,112,-34,-68,336,239
-370,87,458,141,-414,273,283,361,322,273,117,-19,-68,331,234
-351,92,444,129,-397,268,268,351,317,273,122,0,-73,322,219
-341,97,439,122,-390,268,253,341,312,273,126,9,-78,312,214
-331,102,434,114,-383,268,239,331,307,273,131,19,-82,302,209
-322,107,429,107,-375,268,224,322,302,273,136,29,-87,292,204
-297,107,405,95,-351,256,214,302,297,268,146,43,-78,278,195
-283,107,390,87,-336,248,204,292,292,263,146,58,-78,263,185
-268,107,375,80,-322,241,195,283,287,258,146,73,-78,248,175
-253,107,361,73,-307,234,185,273,283,253,146,87,-78,234,165
-229,97,326,65,-278,212,170,253,268,234,141,92,-68,219,146
-214,97,312,58,-263,204,156,234,253,224,136,97,-68,204,136
-200,97,297,51,-248,197,141,214,239,214,131,102,-68,190,126
-185,97,283,43,-234,190,126,195,224,204,126,107,-68,175,117
-161,97,258,31,-209,178,112,180,209,195,122,117,-63,161,102
-136,97,234,19,-185,165,97,165,195,185,117,117,-58,146,97
-112,97,209,7,-161,153,82,151,180,175,112,117,-53,131,92
-87,97,185,-4,-136,141,68,136,165,165,107,117,-48,117,87
-68,97,165,-14,-117,131,53,112,146,146,92,107,-48,107,78
-58,97,156,-19,-107,126,48,97,136,136,87,107,-48,97,68
-48,97,146,-24,-97,122,43,82,126,126,82,107,-48,87,58
-39,97,136,-29,-87,117,39,68,117,117,78,107,-48,78,48
-29,87,117,-29,-73,102,29,53,92,97,63,97,-39,63,34
-29,78,107,-24,-68,92,19,39,78,87,58,97,-39,48,29
-29,68,97,-19,-63,82,9,24,63,78,53,97,-39,34,24
-29,58,87,-14,-58,73,0,9,48,68,48,97,-39,19,19
-24,43,68,-9,-46,56,-14,-4,43,63,34,87,-48,4,4
-19,39,58,-9,-39,48,-19,-9,39,58,29,78,-48,0,0
-14,34,48,-9,-31,41,-24,-14,34,53,24,68,-48,-4,-4
-9,29,39,-9,-24,34,-29,-19,29,48,19,58,-48,-9,-9
4,29,24,-17,-9,26,-34,-24,14,34,9,53,-34,-24,-19
9,29,19,-19,-4,24,-39,-29,9,29,9,48,-29,-29,-19
14,29,14,-21,0,21,-43,-34,4,24,9,43,-24,-34,-19
19,29,9,-24,4,19,-48,-39,0,19,9,39,-19,-39,-19
29,39,9,-34,9,24,-39,-39,0,19,9,29,-29,-29,-9
29,39,9,-34,9,24,-39,-39,0,19,9,29,-29,-29,-9
29,39,9,-34,9,24,-39,-39,0,19,9,29,-29,-29,-9
