I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
170,107,-63,-139,117,21,-107,92,78,87,82,63
170,107,-63,-139,117,21,-117,63,73,87,82,68
161,107,-53,-134,107,26,-117,34,63,82,78,68
156,87,-68,-122,112,9,-117,24,48,68,73,58
165,58,-107,-112,136,-24,-102,39,39,63,68,53
161,29,-131,-95,146,-51,-92,48,29,58,63,53
156,0,-156,-78,156,-78,-78,53,19,48,53,48
146,-19,-165,-63,156,-92,-78,53,4,29,39,43
131,-14,-146,-58,139,-80,-78,39,-9,24,24,24
126,-19,-146,-53,136,-82,-78,24,-14,14,19,14
112,-14,-126,-48,119,-70,-78,14,-14,14,19,14
102,-19,-122,-41,112,-70,-68,4,-19,14,19,14
102,-14,-117,-43,109,-65,-63,-4,-29,4,9,0
82,-14,-97,-34,90,-56,-58,-4,-24,4,9,-4
68,-19,-87,-24,78,-53,-43,4,-24,0,4,-9
63,-34,-97,-14,80,-65,-34,9,-34,-4,-4,-14
39,-53,-92,7,65,-73,-14,19,-39,-9,-9,-19
24,-73,-97,24,61,-85,-4,29,-34,-9,-19,-29
9,-92,-102,41,56,-97,4,48,-24,-9,-19,-29
4,-102,-107,48,56,-104,4,43,-19,-14,-19,-34
4,-82,-87,39,46,-85,-4,14,-34,-24,-29,-43
-4,-78,-73,41,34,-75,-4,4,-34,-24,-29,-43
-14,-82,-68,48,26,-75,-4,0,-34,-24,-24,-43
-14,-78,-63,46,24,-70,-4,0,-34,-24,-24,-43
-19,-78,-58,48,19,-68,-4,4,-34,-24,-24,-29
-19,-78,-58,48,19,-68,-4,4,-34,-24,-24,-29
-14,-73,-58,43,21,-65,-4,4,-34,-24,-29,-34
-14,-68,-53,41,19,-61,-4,9,-34,-24,-29,-34
-4,-73,-68,39,31,-70,-4,19,-24,-14,-19,-34
-4,-82,-78,43,36,-80,0,24,-24,-14,-19,-34
-4,-87,-82,46,39,-85,0,24,-24,-14,-19,-34
-9,-87,-78,48,34,-82,0,19,-24,-14,-14,-34
-9,-82,-73,46,31,-78,9,19,-34,-14,-24,-34
-9,-82,-73,46,31,-78,9,19,-29,-9,-24,-34
-9,-82,-73,46,31,-78,9,24,-29,-9,-24,-34
-14,-78,-63,46,24,-70,14,24,-29,-14,-24,-34
-14,-87,-73,51,29,-80,4,14,-29,-14,-14,-29
-19,-87,-68,53,24,-78,4,14,-29,-9,-9,-29
-19,-87,-68,53,24,-78,4,14,-29,-9,-9,-34
-19,-82,-63,51,21,-73,4,14,-29,-9,-14,-34
-19,-73,-53,46,17,-63,4,4,-29,-14,-14,-24
-19,-73,-53,46,17,-63,4,4,-29,-14,-14,-24
-19,-73,-53,46,17,-63,4,9,-29,-14,-14,-29
-19,-78,-58,48,19,-68,4,9,-29,-14,-14,-29
-19,-73,-53,46,17,-63,14,19,-19,-9,-14,-24
-19,-82,-63,51,21,-73,14,29,-19,0,-14,-24
-14,-78,-63,46,24,-70,14,34,-9,-4,-9,-19
4,-73,-78,34,41,-75,4,39,9,14,-14,-24
19,-73,-92,26,56,-82,14,78,68,58,4,-9
29,-34,-63,2,46,-48,14,107,141,131,63,14
73,58,-14,-65,43,21,-24,87,239,224,131,58
141,165,24,-153,58,95,-78,53,331,336,239,131
209,307,97,-258,56,202,-141,34,478,522,385,248
312,444,131,-378,90,287,-195,63,658,751,580,395
448,585,136,-517,156,361,-263,43,819,980,785,575
575,814,239,-695,168,527,-419,-180,932,1195,1010,775
712,1088,375,-900,168,732,-624,-512,1019,1420,1263,1005
858,1288,429,-1073,214,858,-810,-766,1034,1605,1473,1205
1019,1415,395,-1217,312,905,-1000,-1000,956,1698,1629,1381
1141,1551,409,-1346,366,980,-1205,-1312,829,1781,1786,1571
1224,1659,434,-1442,395,1046,-1376,-1620,649,1820,1937,1771
1244,1639,395,-1442,424,1017,-1464,-1825,400,1756,1991,1898
1268,1537,268,-1403,500,902,-1512,-1966,102,1644,1986,1971
1263,1459,195,-1361,534,827,-1561,-2074,-112,1556,1981,2015
1220,1424,204,-1322,507,814,-1571,-2103,-185,1537,1986,2030
1180,1410,229,-1295,475,819,-1551,-2030,-175,1546,1981,2030
1137,1356,219,-1246,458,788,-1532,-1922,-146,1546,1961,2005
1034,1312,278,-1173,378,795,-1468,-1790,-92,1522,1922,1961
897,1239,341,-1068,278,790,-1356,-1634,-43,1464,1839,1873
756,1098,341,-927,207,719,-1195,-1444,-43,1283,1639,1668
570,824,253,-697,158,539,-976,-1220,-131,927,1263,1327
366,483,117,-424,124,300,-697,-971,-287,453,775,893
165,165,0,-165,82,82,-453,-746,-444,34,312,488
-34,-39,-4,36,-14,-21,-248,-605,-497,-268,-43,146
-185,-146,39,165,-112,-53,-87,-468,-478,-414,-263,-92
-204,-170,34,187,-119,-68,-29,-356,-405,-395,-292,-161
-180,-151,29,165,-104,-61,-14,-297,-331,-322,-224,-117
-190,-161,29,175,-109,-65,4,-239,-258,-278,-204,-117
-190,-170,19,180,-104,-75,43,-180,-209,-253,-200,-131
-180,-151,29,165,-104,-61,43,-126,-180,-209,-175,-112
-161,-122,39,141,-100,-41,58,-92,-146,-185,-161,-107
-151,-92,58,122,-104,-17,58,-53,-136,-175,-165,-126
-131,-82,48,107,-90,-17,63,-24,-122,-161,-156,-126
-122,-102,19,112,-70,-41,87,4,-102,-156,-146,-126
-126,-102,24,114,-75,-39,92,29,-92,-146,-136,-126
-117,-92,24,104,-70,-34,92,24,-78,-136,-141,-136
-117,-102,14,109,-65,-43,97,29,-68,-126,-141,-136
-126,-117,9,122,-68,-53,112,48,-48,-117,-126,-131
-122,-122,0,122,-61,-61,112,58,-39,-112,-126,-126
-117,-122,-4,119,-56,-63,112,68,-39,-112,-126,-122
-117,-122,-4,119,-56,-63,112,73,-39,-107,-126,-117
-117,-117,0,117,-58,-58,112,68,-43,-102,-131,-122
-117,-122,-4,119,-56,-63,117,73,-39,-102,-131,-126
-117,-117,0,117,-58,-58,117,73,-39,-102,-126,-126
-117,-107,9,112,-63,-48,117,73,-34,-102,-126,-131
-117,-102,14,109,-65,-43,122,87,-34,-102,-126,-122
-117,-102,14,109,-65,-43,122,87,-29,-97,-126,-122
-117,-102,14,109,-65,-43,122,97,-24,-97,-126,-122
