I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-97,-78,19,87,-58,-29,156,126,9,-156,-146,-117
-97,-78,19,87,-58,-29,161,126,4,-161,-151,-122
-97,-78,19,87,-58,-29,165,126,0,-165,-156,-126
-102,-78,24,90,-63,-26,165,131,-4,-180,-165,-131
-107,-78,29,92,-68,-24,165,136,-9,-195,-175,-136
-112,-78,34,95,-73,-21,175,136,-14,-200,-180,-141
-117,-78,39,97,-78,-19,185,136,-19,-204,-185,-146
-126,-78,48,102,-87,-14,190,141,-24,-224,-200,-156
-136,-78,58,107,-97,-9,195,146,-29,-244,-214,-165
-141,-78,63,109,-102,-7,195,146,-43,-258,-224,-170
-146,-78,68,112,-107,-4,195,146,-58,-273,-234,-175
-156,-78,78,117,-117,0,200,141,-73,-292,-248,-190
-165,-78,87,122,-126,4,204,136,-87,-312,-263,-204
-170,-78,92,124,-131,7,204,131,-107,-336,-283,-209
-175,-78,97,126,-136,9,204,126,-126,-361,-302,-214
-190,-78,112,134,-151,17,204,117,-156,-390,-326,-229
-204,-78,126,141,-165,24,204,107,-185,-419,-351,-244
-209,-82,126,146,-168,21,200,102,-219,-453,-370,-258
-214,-87,126,151,-170,19,195,97,-253,-488,-390,-273
-224,-87,136,156,-180,24,195,82,-287,-522,-419,-287
-234,-87,146,161,-190,29,195,68,-322,-556,-448,-302
-244,-87,156,165,-200,34,185,53,-361,-590,-468,-317
-253,-87,165,170,-209,39,175,39,-400,-624,-488,-331
-253,-92,161,173,-207,34,165,29,-429,-653,-507,-341
-253,-97,156,175,-204,29,156,19,-458,-683,-527,-351
-253,-107,146,180,-200,19,151,14,-492,-712,-546,-366
-253,-117,136,185,-195,9,146,9,-527,-741,-566,-380
-253,-126,126,190,-190,0,141,9,-536,-756,-575,-385
-253,-136,117,195,-185,-9,136,9,-546,-771,-585,-390
-244,-141,102,192,-173,-19,126,9,-546,-771,-585,-390
-234,-146,87,190,-161,-29,117,9,-546,-771,-585,-390
-219,-146,73,183,-146,-36,112,14,-531,-756,-580,-375
-204,-146,58,175,-131,-43,107,19,-517,-741,-575,-361
-190,-146,43,168,-117,-51,102,24,-492,-712,-556,-356
-175,-146,29,161,-102,-58,97,29,-468,-683,-536,-351
-156,-146,9,151,-82,-68,92,34,-419,-624,-488,-317
-136,-146,-9,141,-63,-78,87,39,-370,-566,-439,-283
-117,-141,-24,129,-46,-82,82,43,-322,-502,-385,-248
-97,-136,-39,117,-29,-87,78,48,-273,-439,-331,-214
-78,-126,-48,102,-14,-87,63,48,-219,-370,-283,-180
-58,-117,-58,87,0,-87,48,48,-165,-302,-234,-146
-43,-102,-58,73,7,-80,39,39,-136,-248,-195,-122
-29,-87,-58,58,14,-73,29,29,-107,-195,-156,-97
-19,-68,-48,43,14,-58,19,24,-63,-141,-112,-68
-9,-48,-39,29,14,-43,9,19,-19,-87,-68,-39
0,-39,-39,19,19,-39,0,14,-4,-53,-39,-19
9,-29,-39,9,24,-34,-9,9,9,-19,-9,0
14,-24,-39,4,26,-31,-9,9,19,0,9,9
19,-19,-39,0,29,-29,-9,9,29,19,29,19
19,-9,-29,-4,24,-19,-14,0,34,29,39,24
19,0,-19,-9,19,-9,-19,-9,39,39,48,29
19,4,-14,-12,17,-4,-24,-9,43,53,58,39
19,9,-9,-14,14,0,-29,-9,48,68,68,48
19,9,-9,-14,14,0,-29,-9,63,78,68,48
19,9,-9,-14,14,0,-29,-9,78,87,68,48
19,9,-9,-14,14,0,-29,-14,68,87,68,43
19,9,-9,-14,14,0,-29,-19,58,87,68,39
14,14,0,-14,7,7,-29,-19,58,82,68,34
9,19,9,-14,0,14,-29,-19,58,78,68,29
9,19,9,-14,0,14,-29,-19,58,78,68,29
9,19,9,-14,0,14,-29,-19,58,78,68,29
9,19,9,-14,0,14,-29,-19,58,78,68,34
9,19,9,-14,0,14,-29,-19,58,78,68,39
9,19,9,-14,0,14,-34,-19,53,78,63,39
9,19,9,-14,0,14,-39,-19,48,78,58,39
9,19,9,-14,0,14,-39,-19,48,78,58,39
9,19,9,-14,0,14,-39,-19,48,78,58,39
9,19,9,-14,0,14,-34,-19,48,78,58,39
9,19,9,-14,0,14,-29,-19,48,78,58,39
4,14,9,-9,-2,12,-29,-19,48,68,48,29
0,9,9,-4,-4,9,-29,-19,48,58,39,19
0,9,9,-4,-4,9,-29,-19,43,58,39,19
0,9,9,-4,-4,9,-29,-19,39,58,39,19
0,9,9,-4,-4,9,-29,-14,39,58,39,19
0,9,9,-4,-4,9,-29,-9,39,58,39,19
4,9,4,-7,0,7,-29,-9,39,53,39,19
9,9,0,-9,4,4,-29,-9,39,48,39,19
9,9,0,-9,4,4,-29,-9,39,48,39,14
9,9,0,-9,4,4,-29,-9,39,48,39,9
4,9,4,-7,0,7,-29,-9,39,48,34,9
0,9,9,-4,-4,9,-29,-9,39,48,29,9
0,9,9,-4,-4,9,-24,-9,39,48,29,9
0,9,9,-4,-4,9,-19,-9,39,48,29,9
0,4,4,-2,-2,4,-19,-9,34,48,43,19
0,0,0,0,0,0,-19,-9,29,48,58,29
0,0,0,0,0,0,-24,-9,29,39,48,29
0,0,0,0,0,0,-29,-9,29,29,39,29
0,0,0,0,0,0,-29,-9,29,39,39,24
0,0,0,0,0,0,-29,-9,29,48,39,19
0,-4,-4,2,2,-4,-29,-9,29,48,39,19
0,-9,-9,4,4,-9,-29,-9,29,48,39,19
0,-9,-9,4,4,-9,-29,-9,19,39,29,14
0,-9,-9,4,4,-9,-29,-9,9,29,19,9
0,-4,-4,2,2,-4,-29,-14,9,29,19,9
0,0,0,0,0,0,-29,-19,9,29,19,9
0,0,0,0,0,0,-29,-19,14,29,24,9
0,0,0,0,0,0,-29,-19,19,29,29,9
0,0,0,0,0,0,-29,-19,19,29,29,9
0,0,0,0,0,0,-29,-19,19,29,29,9
0,-4,-4,2,2,-4,-29,-19,14,34,29,9
0,-9,-9,4,4,-9,-29,-19,9,39,29,9
0,-9,-9,4,4,-9,-29,-19,4,39,29,9
0,-9,-9,4,4,-9,-29,-19,0,39,29,9
0,4,4,-2,-2,4,-29,-19,0,39,29,9
0,19,19,-9,-9,19,-29,-19,0,39,29,9
0,9,9,-4,-4,9,-24,-19,4,39,34,14
0,0,0,0,0,0,-19,-19,9,39,39,19
0,-4,-4,2,2,-4,-19,-19,9,34,39,19
0,-9,-9,4,4,-9,-19,-19,9,29,39,19
0,-9,-9,4,4,-9,-19,-19,4,29,29,14
0,-9,-9,4,4,-9,-19,-19,0,29,19,9
0,-4,-4,2,2,-4,-19,-19,0,29,19,9
0,0,0,0,0,0,-19,-19,0,29,19,9
0,0,0,0,0,0,-19,-19,0,39,24,9
0,0,0,0,0,0,-19,-19,0,48,29,9
0,-4,-4,2,2,-4,-19,-19,-4,39,29,9
0,-9,-9,4,4,-9,-19,-19,-9,29,29,9
0,-9,-9,4,4,-9,-19,-19,-9,29,24,4
