I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-48,-244,-195,146,73,-219,78,-195,-58,58,68,-58
-48,-244,-195,146,73,-219,78,-195,-58,58,68,-58
-48,-244,-195,146,73,-219,78,-195,-58,58,68,-58
-48,-244,-195,146,73,-219,78,-195,-58,58,68,-58
-48,-253,-204,151,78,-229,78,-195,-48,58,68,-68
-48,-253,-204,151,78,-229,78,-195,-48,58,68,-68
-48,-253,-204,151,78,-229,78,-195,-48,58,68,-68
-48,-253,-204,151,78,-229,78,-195,-48,58,68,-68
-58,-253,-195,156,68,-224,87,-185,-58,58,68,-58
-58,-253,-195,156,68,-224,87,-185,-58,58,68,-58
-58,-253,-195,156,68,-224,87,-185,-58,58,68,-58
-58,-253,-195,156,68,-224,87,-185,-58,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-58,-253,-195,156,68,-224,87,-195,-48,58,68,-58
-53,-248,-195,151,70,-222,87,-185,-39,68,78,-48
-48,-244,-195,146,73,-219,87,-185,-39,68,78,-48
-43,-239,-195,141,75,-217,87,-185,-39,68,78,-48
-34,-229,-195,131,80,-212,92,-185,-34,78,82,-43
-39,-219,-180,129,70,-200,102,-175,-24,87,97,-39
-39,-219,-180,129,70,-200,102,-175,-19,87,102,-39
-39,-214,-175,126,68,-195,102,-170,-14,97,102,-34
-39,-209,-170,124,65,-190,112,-165,-9,102,102,-29
-24,-200,-175,112,75,-187,117,-170,4,107,122,-24
-24,-190,-165,107,70,-178,122,-161,9,107,126,-14
-24,-175,-151,100,63,-163,126,-156,19,122,131,-4
-14,-170,-156,92,70,-163,126,-151,29,126,141,4
-19,-175,-156,97,68,-165,131,-136,19,131,131,4
-19,-175,-156,97,68,-165,131,-136,24,131,136,0
-19,-175,-156,97,68,-165,131,-136,24,131,136,-4
-19,-175,-156,97,68,-165,126,-141,24,131,131,-9
0,-185,-185,92,92,-185,122,-131,24,131,122,-9
4,-185,-190,90,97,-187,107,-131,34,131,126,-4
14,-175,-190,80,102,-183,107,-126,34,136,126,0
19,-165,-185,73,102,-175,102,-126,43,141,136,9
9,-156,-165,73,87,-161,102,-126,43,146,151,19
9,-151,-161,70,85,-156,102,-131,43,146,151,19
4,-151,-156,73,80,-153,102,-131,39,141,151,19
