I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
195,507,312,-351,-58,409,-634,-858,-29,283,566,732
-136,551,688,-207,-412,619,-566,-1171,-331,68,395,624
-468,595,1063,-63,-766,829,-497,-1483,-634,-146,224,517
-561,409,971,75,-766,690,-439,-1595,-888,-414,-24,302
-653,224,878,214,-766,551,-380,-1708,-1141,-683,-273,87
-624,161,785,231,-705,473,-341,-1503,-1054,-663,-302,29
-595,97,692,248,-644,395,-302,-1298,-966,-644,-331,-29
-473,97,570,187,-522,334,-248,-1019,-771,-531,-278,-39
-351,97,448,126,-400,273,-195,-741,-575,-419,-224,-48
-302,73,375,114,-339,224,-141,-575,-458,-336,-190,-58
-253,48,302,102,-278,175,-87,-409,-341,-253,-156,-68
-214,0,214,107,-214,107,-53,-307,-268,-214,-141,-73
-175,-48,126,112,-151,39,-19,-204,-195,-175,-126,-78
-146,-68,78,107,-112,4,-4,-156,-161,-146,-117,-82
-117,-87,29,102,-73,-29,9,-107,-126,-117,-107,-87
-117,-102,14,109,-65,-43,14,-82,-107,-117,-107,-87
-117,-117,0,117,-58,-58,19,-58,-87,-117,-107,-87
-107,-126,-19,117,-43,-73,24,-43,-82,-107,-102,-87
-97,-136,-39,117,-29,-87,29,-29,-78,-97,-97,-87
-87,-136,-48,112,-19,-92,34,-9,-63,-97,-87,-87
-78,-136,-58,107,-9,-97,39,9,-48,-97,-78,-87
-73,-136,-63,104,-4,-100,39,19,-43,-87,-78,-87
-68,-136,-68,102,0,-102,39,29,-39,-78,-78,-87
-63,-131,-68,97,2,-100,43,48,-29,-68,-73,-82
-58,-126,-68,92,4,-97,48,68,-19,-58,-68,-78
-53,-126,-73,90,9,-100,48,73,-9,-53,-63,-78
-48,-126,-78,87,14,-102,48,78,0,-48,-58,-78
-43,-122,-78,82,17,-100,43,82,9,-43,-53,-73
-39,-117,-78,78,19,-97,39,87,19,-39,-48,-68
-29,-112,-82,70,26,-97,39,107,34,-29,-39,-63
-19,-107,-87,63,34,-97,39,126,48,-19,-29,-58
-14,-102,-87,58,36,-95,39,151,58,-9,-24,-53
-9,-97,-87,53,39,-92,39,175,68,0,-19,-48
-4,-87,-82,46,39,-85,39,185,87,14,-4,-39
0,-78,-78,39,39,-78,39,195,107,29,9,-29
14,-63,-78,24,46,-70,39,214,122,39,14,-24
29,-48,-78,9,53,-63,39,234,136,48,19,-19
39,-39,-78,0,58,-58,34,244,151,63,29,-9
48,-29,-78,-9,63,-53,29,253,165,78,39,0
58,-19,-78,-19,68,-48,29,283,190,97,53,9
68,-9,-78,-29,73,-43,29,312,214,117,68,19
82,4,-78,-43,80,-36,24,331,229,131,78,29
97,19,-78,-58,87,-29,19,351,244,146,87,39
112,34,-78,-73,95,-21,19,390,273,170,107,53
126,48,-78,-87,102,-14,19,429,302,195,126,68
146,58,-87,-102,117,-14,14,458,331,214,141,78
165,68,-97,-117,131,-14,9,488,361,234,156,87
185,82,-102,-134,143,-9,9,522,390,253,175,102
204,97,-107,-151,156,-4,9,556,419,273,195,117
224,122,-102,-173,163,9,9,595,448,302,219,136
244,146,-97,-195,170,24,9,634,478,331,244,156
263,165,-97,-214,180,34,4,673,512,361,268,180
283,185,-97,-234,190,43,0,712,546,390,292,204
312,209,-102,-261,207,53,-9,736,575,414,317,219
341,234,-107,-287,224,63,-19,761,605,439,341,234
361,248,-112,-305,236,68,-19,819,649,473,370,258
380,263,-117,-322,248,73,-19,878,692,507,400,283
405,283,-122,-344,263,80,-29,902,717,527,414,297
429,302,-126,-366,278,87,-39,927,741,546,429,312
444,317,-126,-380,285,95,-39,946,766,566,448,331
458,331,-126,-395,292,102,-39,966,790,585,468,351
473,351,-122,-412,297,114,-48,966,800,600,483,366
488,370,-117,-429,302,126,-58,966,810,614,497,380
488,380,-107,-434,297,136,-68,961,810,614,507,395
488,390,-97,-439,292,146,-78,956,810,614,517,409
488,390,-97,-439,292,146,-78,912,785,610,517,409
488,390,-97,-439,292,146,-78,868,761,605,517,409
458,375,-82,-417,270,146,-82,805,717,575,492,400
429,361,-68,-395,248,146,-87,741,673,546,468,390
395,341,-53,-368,224,143,-87,663,610,502,439,366
361,322,-39,-341,200,141,-87,585,546,458,409,341
317,287,-29,-302,173,129,-78,502,478,405,361,307
273,253,-19,-263,146,117,-68,419,409,351,312,273
239,214,-24,-226,131,95,-63,356,346,297,268,234
204,175,-29,-190,117,73,-58,292,283,244,224,195
165,141,-24,-153,95,58,-48,229,224,190,180,156
126,107,-19,-117,73,43,-39,165,165,136,136,117
97,73,-24,-85,61,24,-34,122,126,107,102,87
68,39,-29,-53,48,4,-29,78,87,78,68,58
43,19,-24,-31,34,-2,-19,43,43,39,39,34
19,0,-19,-9,19,-9,-9,9,0,0,9,9
4,-19,-24,7,14,-21,-9,-14,-19,-14,-9,-9
-9,-39,-29,24,9,-34,-9,-39,-39,-29,-29,-29
-19,-43,-24,31,2,-34,-4,-58,-58,-43,-43,-39
-29,-48,-19,39,-4,-34,0,-78,-78,-58,-58,-48
-34,-58,-24,46,-4,-41,4,-82,-82,-68,-63,-58
-39,-68,-29,53,-4,-48,9,-87,-87,-78,-68,-68
-43,-68,-24,56,-9,-46,9,-92,-92,-82,-73,-73
-48,-68,-19,58,-14,-43,9,-97,-97,-87,-78,-78
-53,-73,-19,63,-17,-46,9,-97,-102,-87,-78,-78
-58,-78,-19,68,-19,-48,9,-97,-107,-87,-78,-78
-58,-82,-24,70,-17,-53,14,-97,-107,-87,-78,-78
-58,-87,-29,73,-14,-58,19,-97,-107,-87,-78,-78
-58,-87,-29,73,-14,-58,19,-97,-102,-92,-78,-78
-58,-87,-29,73,-14,-58,19,-97,-97,-97,-78,-78
-58,-82,-24,70,-17,-53,19,-92,-97,-97,-78,-78
-58,-78,-19,68,-19,-48,19,-87,-97,-97,-78,-78
-53,-78,-24,65,-14,-51,19,-87,-97,-92,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,24,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,29,-87,-97,-87,-78,-78
-48,-78,-29,63,-9,-53,29,-87,-97,-87,-82,-78
-48,-78,-29,63,-9,-53,29,-87,-97,-87,-87,-78
-48,-78,-29,63,-9,-53,24,-87,-97,-87,-87,-82
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-87,-87
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-87,-87
-48,-78,-29,63,-9,-53,19,-87,-97,-87,-87,-87
-48,-78,-29,63,-9,-53,19,-92,-97,-87,-87,-87
-48,-78,-29,63,-9,-53,19,-97,-97,-87,-87,-87
-48,-78,-29,63,-9,-53,19,-97,-97,-87,-87,-87
-48,-78,-29,63,-9,-53,19,-97,-97,-87,-87,-87
-48,-82,-34,65,-7,-58,19,-97,-102,-92,-87,-92
-48,-87,-39,68,-4,-63,19,-97,-107,-97,-87,-97
-48,-87,-39,68,-4,-63,19,-107,-112,-102,-92,-97
-48,-87,-39,68,-4,-63,19,-117,-117,-107,-97,-97
-53,-87,-34,70,-9,-61,19,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,19,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,24,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,29,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,29,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,29,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,24,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,19,-117,-117,-107,-97,-97
-58,-87,-29,73,-14,-58,19,-117,-117,-112,-97,-102
-58,-87,-29,73,-14,-58,19,-117,-117,-117,-97,-107
-58,-92,-34,75,-12,-63,24,-117,-122,-117,-97,-107
-58,-97,-39,78,-9,-68,29,-117,-126,-117,-97,-107
-58,-97,-39,78,-9,-68,29,-117,-126,-117,-97,-107
-58,-97,-39,78,-9,-68,29,-117,-126,-117,-97,-107
-58,-97,-39,78,-9,-68,29,-117,-131,-117,-102,-107
-58,-97,-39,78,-9,-68,29,-117,-136,-117,-107,-107
-58,-97,-39,78,-9,-68,29,-117,-136,-117,-107,-107
-58,-97,-39,78,-9,-68,29,-117,-136,-117,-107,-107
-53,-92,-39,73,-7,-65,29,-117,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-117,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-122,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-122,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-126,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-126,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-126,-107,-107
-48,-87,-39,68,-4,-63,24,-126,-136,-122,-107,-107
-48,-87,-39,68,-4,-63,19,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,19,-117,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,19,-107,-136,-117,-107,-107
-48,-92,-43,70,-2,-68,24,-117,-136,-117,-107,-107
-48,-97,-48,73,0,-73,29,-126,-136,-117,-107,-107
-48,-97,-48,73,0,-73,29,-126,-136,-117,-107,-107
-48,-97,-48,73,0,-73,29,-126,-136,-117,-107,-107
-48,-92,-43,70,-2,-68,29,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-122,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-117,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-117,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-117,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-122,-136,-117,-107,-107
-48,-87,-39,68,-4,-63,29,-126,-136,-117,-107,-107
-43,-87,-43,65,0,-65,29,-126,-131,-117,-107,-107
-39,-87,-48,63,4,-68,29,-126,-126,-117,-107,-107
-39,-87,-48,63,4,-68,29,-117,-126,-117,-107,-107
-39,-87,-48,63,4,-68,29,-107,-126,-117,-107,-107
-34,-82,-48,58,7,-65,29,-107,-126,-117,-102,-107
-29,-78,-48,53,9,-63,29,-107,-126,-117,-97,-107
-24,-63,-39,43,7,-51,39,-107,-122,-107,-92,-97
-19,-48,-29,34,4,-39,48,-107,-117,-97,-87,-87
-19,-43,-24,31,2,-34,48,-107,-107,-92,-82,-82
-19,-39,-19,29,0,-29,48,-107,-97,-87,-78,-78
-9,-34,-24,21,7,-29,48,-82,-87,-82,-73,-78
-4,-24,-19,14,7,-21,48,-63,-78,-73,-68,-73
0,-19,-19,9,9,-19,53,-48,-68,-68,-63,-68
0,-14,-14,7,7,-14,58,-43,-68,-68,-58,-68
14,-14,-29,0,21,-21,58,-39,-63,-68,-58,-73
14,-14,-29,0,21,-21,58,-34,-63,-63,-58,-73
29,-4,-34,-12,31,-19,58,-34,-53,-48,-53,-63
34,19,-14,-26,24,2,48,-39,-43,-34,-39,-53
39,39,0,-39,19,19,29,-48,-43,-34,-29,-39
39,63,24,-51,7,43,0,-58,-43,-29,-19,-29
48,78,29,-63,9,53,-14,-58,-43,-29,-19,-19
58,82,24,-70,17,53,-34,-63,-53,-29,-19,-19
68,68,0,-68,34,34,-34,-63,-53,-29,-19,-19
68,58,-9,-63,39,24,-34,-68,-63,-43,-24,-24
63,34,-29,-48,46,2,-34,-82,-73,-63,-43,-39
53,34,-19,-43,36,7,-39,-102,-87,-73,-48,-43
43,29,-14,-36,29,7,-39,-112,-97,-82,-53,-48
34,9,-24,-21,29,-7,-34,-117,-112,-92,-68,-58
24,-9,-34,-7,29,-21,-24,-126,-117,-102,-82,-68
9,-29,-39,9,24,-34,-9,-136,-126,-112,-92,-82
4,-43,-48,19,26,-46,-4,-136,-136,-117,-97,-87
-4,-58,-53,31,24,-56,-4,-146,-141,-126,-107,-102
-4,-68,-63,36,29,-65,0,-146,-141,-136,-117,-112
-4,-87,-82,46,39,-85,4,-146,-141,-136,-117,-117
-14,-92,-78,53,31,-85,4,-141,-141,-136,-122,-112
-34,-97,-63,65,14,-80,14,-141,-141,-136,-122,-112
-58,-102,-43,80,-7,-73,19,-146,-146,-141,-126,-117
-68,-117,-48,92,-9,-82,19,-165,-165,-151,-136,-126
-68,-117,-48,92,-9,-82,24,-165,-165,-146,-141,-126
-68,-117,-48,92,-9,-82,29,-161,-165,-141,-141,-126
