I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
97,19,-78,-58,87,-29,-48,-73,-43,-9,19,53
48,4,-43,-26,46,-19,-48,-97,-73,-34,9,39
14,-9,-24,-2,19,-17,-39,-117,-87,-39,0,29
-19,-29,-9,24,-4,-19,-24,-112,-87,-48,-19,9
-34,-29,4,31,-19,-12,-14,-112,-87,-53,-34,-14
-24,-29,-4,26,-9,-17,-14,-102,-87,-53,-34,-14
-4,-29,-24,17,9,-26,-29,-97,-92,-63,-34,-14
-4,-29,-24,17,9,-26,-29,-97,-92,-63,-39,-14
-9,-34,-24,21,7,-29,-29,-97,-92,-63,-39,-14
-9,-39,-29,24,9,-34,-24,-97,-92,-63,-39,-14
-9,-39,-29,24,9,-34,-24,-97,-92,-63,-39,-14
-14,-34,-19,24,2,-26,-29,-97,-92,-63,-39,-14
-14,-29,-14,21,0,-21,-34,-92,-92,-63,-39,-14
-14,-29,-14,21,0,-21,-53,-92,-97,-68,-39,-14
-19,-29,-9,24,-4,-19,-68,-97,-97,-68,-39,-19
-19,-29,-9,24,-4,-19,-53,-102,-97,-68,-39,-19
-19,-34,-14,26,-2,-24,-43,-107,-97,-68,-39,-19
-24,-39,-14,31,-4,-26,-43,-107,-97,-68,-43,-19
-24,-39,-14,31,-4,-26,-39,-107,-97,-68,-43,-19
-24,-39,-14,31,-4,-26,-39,-107,-97,-68,-43,-19
-14,-34,-19,24,2,-26,-34,-112,-102,-68,-43,-19
-24,-34,-9,29,-7,-21,-24,-112,-102,-73,-43,-19
-24,-34,-9,29,-7,-21,-19,-112,-102,-78,-43,-19
-29,-34,-4,31,-12,-19,-19,-112,-102,-78,-43,-24
-34,-34,0,34,-17,-17,-19,-107,-102,-78,-43,-24
-34,-39,-4,36,-14,-21,-14,-107,-102,-73,-43,-24
-29,-39,-9,34,-9,-24,-14,-107,-97,-68,-43,-19
-29,-39,-9,34,-9,-24,-19,-107,-97,-68,-39,-19
-29,-39,-9,34,-9,-24,-29,-107,-97,-68,-34,-19
-29,-39,-9,34,-9,-24,-19,-107,-97,-68,-34,-19
-29,-39,-9,34,-9,-24,-4,-107,-97,-63,-34,-19
-34,-39,-4,36,-14,-21,-14,-107,-92,-63,-34,-14
-34,-39,-4,36,-14,-21,-34,-107,-92,-63,-29,-4
-24,-39,-14,31,-4,-26,-34,-97,-92,-63,-29,-4
-19,-34,-14,26,-2,-24,-29,-87,-92,-63,-29,-4
-4,-34,-29,19,12,-31,-19,-87,-78,-53,-19,4
-19,-34,-14,26,-2,-24,0,-97,-82,-68,-43,-19
-87,-34,53,61,-70,9,19,-141,-156,-141,-107,-73
-151,-24,126,87,-139,51,29,-170,-204,-175,-136,-92
-209,39,248,85,-229,143,68,-126,-156,-151,-136,-97
-224,97,322,63,-273,209,87,-24,-63,-68,-87,-73
