I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
97,195,97,-146,0,146,429,692,810,488,273,97
97,195,97,-146,0,146,429,692,810,488,273,97
97,195,97,-146,0,146,429,692,810,488,273,97
97,195,97,-146,0,146,429,692,810,488,273,97
102,209,107,-156,-2,158,429,702,829,512,283,112
107,214,107,-161,0,161,429,712,849,527,292,117
112,219,107,-165,2,163,429,722,868,541,302,122
117,224,107,-170,4,165,429,732,888,556,312,126
126,239,112,-183,7,175,424,736,907,575,322,141
126,244,117,-185,4,180,419,741,917,585,331,146
126,248,122,-187,2,185,414,746,927,595,341,151
126,253,126,-190,0,190,409,751,936,605,351,156
126,258,131,-192,-2,195,400,746,946,610,356,161
126,263,136,-195,-4,200,390,741,946,614,361,165
126,268,141,-197,-7,204,380,736,946,619,366,170
126,273,146,-200,-9,209,370,732,946,624,370,175
136,278,141,-207,-2,209,361,722,941,634,375,185
136,283,146,-209,-4,214,351,712,936,634,380,185
136,287,151,-212,-7,219,341,702,932,634,385,185
136,292,156,-214,-9,224,331,692,927,634,390,185
126,292,165,-209,-19,229,317,673,897,619,380,195
126,292,165,-209,-19,229,302,653,878,614,380,195
126,292,165,-209,-19,229,287,634,858,610,380,195
126,292,165,-209,-19,229,273,614,839,605,380,195
126,292,165,-209,-19,229,258,590,810,590,366,195
126,292,165,-209,-19,229,244,566,780,575,361,195
126,292,165,-209,-19,229,229,541,751,561,356,195
126,292,165,-209,-19,229,214,517,722,546,351,195
117,283,165,-200,-24,224,195,488,688,527,341,185
117,283,165,-200,-24,224,185,458,653,507,331,185
117,283,165,-200,-24,224,175,429,619,488,322,185
117,283,165,-200,-24,224,165,400,585,468,312,185
117,268,151,-192,-17,209,146,366,546,444,292,175
117,263,146,-190,-14,204,136,341,507,419,283,175
117,258,141,-187,-12,200,126,317,468,395,273,175
117,253,136,-185,-9,195,117,292,429,370,263,175
102,244,141,-173,-19,192,102,268,395,336,239,161
97,234,136,-165,-19,185,97,244,361,312,224,156
92,224,131,-158,-19,178,92,219,326,287,209,151
87,214,126,-151,-19,170,87,195,292,263,195,146
82,195,112,-139,-14,153,82,170,263,234,180,131
78,185,107,-131,-14,146,78,156,234,214,165,126
73,175,102,-124,-14,139,73,141,204,195,151,122
68,165,97,-117,-14,131,68,126,175,175,136,117
53,156,102,-104,-24,129,58,107,156,151,117,107
48,146,97,-97,-24,122,58,97,136,136,107,97
43,136,92,-90,-24,114,58,87,117,122,97,87
39,126,87,-82,-24,107,58,78,97,107,87,78
34,112,78,-73,-21,95,48,68,82,92,78,63
29,107,78,-68,-24,92,48,58,68,78,68,58
24,102,78,-63,-26,90,48,48,53,63,58,53
19,97,78,-58,-29,87,48,39,39,48,48,48
19,92,73,-56,-26,82,39,34,29,39,34,43
19,87,68,-53,-24,78,39,29,19,29,29,39
19,82,63,-51,-21,73,39,24,9,19,24,34
19,78,58,-48,-19,68,39,19,0,9,19,29
9,73,63,-41,-26,68,48,9,-4,-4,14,24
9,68,58,-39,-24,63,48,9,-9,-9,9,19
9,63,53,-36,-21,58,48,9,-14,-14,4,14
9,58,48,-34,-19,53,48,9,-19,-19,0,9
9,48,39,-29,-14,43,48,9,-24,-19,-9,9
9,48,39,-29,-14,43,48,9,-29,-19,-9,9
9,48,39,-29,-14,43,48,9,-34,-19,-9,9
9,48,39,-29,-14,43,48,9,-39,-19,-9,9
0,39,39,-19,-19,39,48,0,-39,-29,-9,9
0,39,39,-19,-19,39,48,0,-39,-29,-9,9
0,39,39,-19,-19,39,48,0,-39,-29,-9,9
0,39,39,-19,-19,39,48,0,-39,-29,-9,9
9,39,29,-24,-9,34,48,0,-48,-29,0,9
9,39,29,-24,-9,34,48,0,-48,-29,0,9
9,39,29,-24,-9,34,48,0,-48,-29,0,9
9,39,29,-24,-9,34,48,0,-48,-29,0,9
9,48,39,-29,-14,43,48,0,-48,-39,-9,9
9,48,39,-29,-14,43,48,0,-48,-39,-9,9
9,48,39,-29,-14,43,48,0,-48,-39,-9,9
9,48,39,-29,-14,43,48,0,-48,-39,-9,9
9,43,34,-26,-12,39,48,-9,-58,-48,-19,9
9,39,29,-24,-9,34,48,-9,-58,-48,-19,9
9,34,24,-21,-7,29,48,-9,-58,-48,-19,9
9,29,19,-19,-4,24,48,-9,-58,-48,-19,9
9,29,19,-19,-4,24,48,0,-58,-48,-29,19
9,29,19,-19,-4,24,48,0,-58,-48,-29,19
9,29,19,-19,-4,24,48,0,-58,-48,-29,19
9,29,19,-19,-4,24,48,0,-58,-48,-29,19
9,39,29,-24,-9,34,39,0,-48,-48,-19,19
9,39,29,-24,-9,34,39,0,-48,-48,-19,19
9,39,29,-24,-9,34,39,0,-48,-48,-19,19
9,39,29,-24,-9,34,39,0,-48,-48,-19,19
0,34,34,-17,-17,34,48,0,-48,-48,-19,19
0,29,29,-14,-14,29,48,0,-48,-48,-19,19
0,24,24,-12,-12,24,48,0,-48,-48,-19,19
0,19,19,-9,-9,19,48,0,-48,-48,-19,19
0,19,19,-9,-9,19,39,0,-58,-48,-29,19
0,19,19,-9,-9,19,39,0,-58,-48,-29,19
0,19,19,-9,-9,19,39,0,-58,-48,-29,19
0,19,19,-9,-9,19,39,0,-58,-48,-29,19
-9,9,19,0,-14,14,39,0,-58,-58,-29,19
-9,9,19,0,-14,14,39,0,-58,-58,-29,19
-9,9,19,0,-14,14,39,0,-58,-58,-29,19
-9,9,19,0,-14,14,39,0,-58,-58,-29,19
-19,0,19,9,-19,9,39,0,-58,-58,-29,9
-19,0,19,9,-19,9,39,0,-58,-58,-29,9
-19,0,19,9,-19,9,39,0,-58,-58,-29,9
-19,0,19,9,-19,9,39,0,-58,-58,-29,9
-19,-9,9,14,-14,0,48,9,-48,-48,-39,9
-19,-9,9,14,-14,0,48,9,-48,-48,-39,9
-19,-9,9,14,-14,0,48,9,-48,-48,-39,9
-19,-9,9,14,-14,0,48,9,-48,-48,-39,9
-29,0,29,14,-29,14,39,9,-48,-48,-39,9
-29,0,29,14,-29,14,39,9,-48,-48,-39,9
-29,0,29,14,-29,14,39,9,-48,-48,-39,9
-29,0,29,14,-29,14,39,9,-48,-48,-39,9
-39,-9,29,24,-34,9,48,19,-48,-58,-48,0
-39,-9,29,24,-34,9,48,19,-48,-58,-48,0
