I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-48,-48,0,48,-24,-24,9,-87,-39,-39,-48,-9
-48,-48,0,48,-24,-24,9,-87,-39,-39,-48,-9
-48,-48,0,48,-24,-24,9,-87,-39,-39,-48,-9
-48,-48,0,48,-24,-24,9,-87,-39,-39,-48,-9
-58,-48,9,53,-34,-19,9,-97,-48,-48,-58,-19
-58,-48,9,53,-34,-19,9,-97,-48,-48,-58,-19
-58,-48,9,53,-34,-19,9,-97,-48,-48,-58,-19
-58,-48,9,53,-34,-19,9,-97,-48,-48,-58,-19
-53,-39,14,46,-34,-12,0,-107,-48,-48,-58,-19
-48,-39,9,43,-29,-14,0,-107,-48,-48,-58,-19
-43,-39,4,41,-24,-17,0,-107,-48,-48,-58,-19
-39,-39,0,39,-19,-19,0,-107,-48,-48,-58,-19
-48,-43,4,46,-26,-19,9,-107,-58,-58,-58,-19
-48,-48,0,48,-24,-24,9,-107,-58,-58,-58,-19
-48,-53,-4,51,-21,-29,9,-107,-58,-58,-58,-19
-48,-58,-9,53,-19,-34,9,-107,-58,-58,-58,-19
-53,-43,9,48,-31,-17,0,-112,-68,-68,-63,-24
-58,-39,19,48,-39,-9,0,-117,-68,-68,-68,-29
-63,-34,29,48,-46,-2,0,-122,-68,-68,-73,-34
-68,-29,39,48,-53,4,0,-126,-68,-68,-78,-39
-58,-53,4,56,-31,-24,4,-122,-63,-58,-73,-24
-58,-68,-9,63,-24,-39,9,-117,-58,-58,-68,-19
-58,-82,-24,70,-17,-53,14,-112,-53,-58,-63,-14
-58,-97,-39,78,-9,-68,19,-107,-48,-58,-58,-9
-58,-68,-9,63,-24,-39,9,-117,-58,-68,-68,-19
-58,-48,9,53,-34,-19,0,-126,-68,-78,-78,-29
-58,-29,29,43,-43,0,-9,-136,-78,-87,-87,-39
-58,-9,48,34,-53,19,-19,-146,-87,-97,-97,-48
-58,-34,24,46,-41,-4,-9,-131,-73,-82,-82,-34
-58,-58,0,58,-29,-29,0,-126,-68,-78,-78,-29
-58,-82,-24,70,-17,-53,9,-122,-63,-73,-73,-24
-58,-107,-48,82,-4,-78,19,-117,-58,-68,-68,-19
-58,-73,-14,65,-21,-43,9,-126,-68,-78,-78,-29
-58,-48,9,53,-34,-19,0,-136,-78,-87,-87,-39
-58,-24,34,41,-46,4,-9,-146,-87,-97,-97,-48
-58,0,58,29,-58,29,-19,-156,-97,-107,-107,-58
-58,-34,24,46,-41,-4,0,-146,-87,-87,-87,-48
-58,-68,-9,63,-24,-39,9,-136,-78,-78,-78,-39
-58,-102,-43,80,-7,-73,19,-126,-68,-68,-68,-29
-58,-136,-78,97,9,-107,29,-117,-58,-58,-58,-19
-53,-97,-43,75,-4,-70,14,-131,-73,-82,-73,-39
-48,-58,-9,53,-19,-34,0,-146,-87,-97,-87,-48
-43,-19,24,31,-34,2,-14,-161,-102,-112,-102,-58
-39,19,58,9,-48,39,-29,-175,-117,-126,-117,-68
-48,-29,19,39,-34,-4,-14,-161,-97,-112,-102,-53
-48,-68,-19,58,-14,-43,0,-146,-87,-97,-87,-39
-48,-107,-58,78,4,-82,14,-131,-78,-82,-73,-24
-48,-146,-97,97,24,-122,29,-117,-68,-68,-58,-9
-48,-107,-58,78,4,-82,4,-131,-82,-92,-82,-34
-48,-68,-19,58,-14,-43,-9,-146,-97,-107,-97,-48
-48,-29,19,39,-34,-4,-24,-161,-112,-122,-112,-63
-48,9,58,19,-53,34,-39,-175,-126,-136,-126,-78
-48,-29,19,39,-34,-4,-24,-156,-112,-122,-112,-63
-48,-68,-19,58,-14,-43,-9,-146,-97,-107,-97,-48
-48,-107,-58,78,4,-82,4,-136,-82,-92,-82,-34
-48,-146,-97,97,24,-122,19,-126,-68,-78,-68,-19
-39,-102,-63,70,12,-82,-4,-141,-82,-102,-82,-34
-39,-58,-19,48,-9,-39,-19,-156,-97,-117,-97,-48
-39,-14,24,26,-31,4,-34,-170,-112,-131,-112,-63
-39,29,68,4,-53,48,-48,-185,-126,-146,-126,-78
-48,-14,34,31,-41,9,-24,-165,-107,-131,-107,-63
-48,-58,-9,53,-19,-34,-9,-156,-97,-117,-97,-48
-48,-102,-53,75,2,-78,4,-146,-87,-102,-87,-34
-48,-146,-97,97,24,-122,19,-136,-78,-87,-78,-19
-48,-107,-58,78,4,-82,4,-151,-92,-102,-97,-34
-48,-68,-19,58,-14,-43,-9,-165,-107,-117,-107,-48
-48,-29,19,39,-34,-4,-24,-180,-122,-131,-117,-63
-48,9,58,19,-53,34,-39,-195,-136,-146,-126,-78
-58,-39,19,48,-39,-9,-14,-170,-112,-131,-107,-63
-58,-78,-19,68,-19,-48,0,-156,-97,-117,-97,-48
-58,-117,-58,87,0,-87,14,-141,-82,-102,-87,-34
-58,-156,-97,107,19,-126,29,-126,-68,-87,-78,-19
-48,-107,-58,78,4,-82,4,-151,-92,-102,-92,-34
-48,-68,-19,58,-14,-43,-9,-165,-107,-117,-107,-48
-48,-29,19,39,-34,-4,-24,-180,-122,-131,-122,-63
-48,9,58,19,-53,34,-39,-195,-136,-146,-136,-78
-58,-34,24,46,-41,-4,-24,-175,-122,-126,-117,-63
-58,-68,-9,63,-24,-39,-9,-165,-107,-117,-107,-48
-58,-102,-43,80,-7,-73,4,-156,-92,-107,-97,-34
-58,-136,-78,97,9,-107,19,-146,-78,-97,-87,-19
-48,-102,-53,75,2,-78,4,-156,-97,-117,-102,-39
-48,-68,-19,58,-14,-43,-9,-165,-107,-126,-107,-48
-48,-34,14,41,-31,-9,-24,-175,-117,-136,-112,-58
-48,0,48,24,-48,24,-39,-185,-126,-146,-117,-68
-48,-39,9,43,-29,-14,-19,-170,-117,-126,-102,-58
-48,-68,-19,58,-14,-43,-9,-165,-107,-117,-97,-48
-48,-97,-48,73,0,-73,0,-161,-97,-107,-92,-39
