I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-165,29,195,68,-180,112,-48,2762,9,-9,-9,87
-161,29,190,65,-175,109,-48,2762,4,-9,-9,87
-156,29,185,63,-170,107,-48,2762,0,-9,-9,87
-151,29,180,61,-165,104,-48,2752,0,-14,-9,87
-146,29,175,58,-161,102,-48,2742,0,-19,-9,87
-146,29,175,58,-161,102,-48,2737,-4,-19,-19,82
-146,29,175,58,-161,102,-48,2732,-9,-19,-29,78
-151,19,170,65,-161,95,-48,2693,-9,-19,-29,78
-156,9,165,73,-161,87,-48,2654,-9,-19,-29,78
-156,9,165,73,-161,87,-48,2635,-9,-14,-19,78
-156,9,165,73,-161,87,-48,2615,-9,-9,-9,78
-146,9,156,68,-151,82,-43,2601,-9,-9,-9,82
-136,9,146,63,-141,78,-39,2586,-9,-9,-9,87
-136,9,146,63,-141,78,-39,2586,-9,-9,-9,87
-136,9,146,63,-141,78,-39,2586,-9,-9,-9,87
-136,4,141,65,-139,73,-39,2596,-9,-14,-14,82
-136,0,136,68,-136,68,-39,2605,-9,-19,-19,78
-131,0,131,65,-131,65,-39,2605,-9,-19,-19,78
-126,0,126,63,-126,63,-39,2605,-9,-19,-19,78
-122,0,122,61,-122,61,-39,2591,-9,-19,-14,82
-117,0,117,58,-117,58,-39,2576,-9,-19,-9,87
-117,-4,112,61,-114,53,-39,2522,-9,-14,-9,87
-117,-9,107,63,-112,48,-39,2469,-9,-9,-9,87
-112,-9,102,61,-107,46,-39,2425,-9,-9,-9,87
-107,-9,97,58,-102,43,-39,2381,-9,-9,-9,87
-102,-4,97,53,-100,46,-39,2371,-4,-9,-9,87
-97,0,97,48,-97,48,-39,2361,0,-9,-9,87
-92,19,112,36,-102,65,-29,2342,4,-4,-4,87
-87,39,126,24,-107,82,-19,2322,9,0,0,87
-78,48,126,14,-102,87,-4,2313,14,4,0,87
-68,58,126,4,-97,92,9,2303,19,9,0,87
-68,63,131,2,-100,97,14,2283,24,14,9,92
-68,68,136,0,-102,102,19,2264,29,19,19,97
-63,68,131,-2,-97,100,24,2264,29,19,19,97
-53,68,122,-7,-87,95,24,2269,34,19,14,92
-48,73,122,-12,-85,97,29,2274,43,24,14,92
-39,78,117,-19,-78,97,19,2259,48,39,24,102
-19,102,122,-41,-70,112,9,2249,63,43,39,112
-4,117,122,-56,-63,119,-4,2249,68,53,43,122
0,151,151,-75,-75,151,-14,2244,63,58,48,126
9,175,165,-92,-78,170,-24,2249,63,68,63,146
43,209,165,-126,-61,187,-39,2249,68,73,68,161
63,224,161,-143,-48,192,-43,2259,73,82,78,170
78,244,165,-161,-43,204,-58,2259,73,82,87,175
78,253,175,-165,-48,214,-63,2254,73,82,92,180
78,239,161,-158,-41,200,-73,2230,78,82,92,170
48,200,151,-124,-51,175,-73,2210,68,68,78,161
34,175,141,-104,-53,158,-73,2220,53,58,68,146
19,141,122,-80,-51,131,-73,2220,48,43,53,136
