I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-151,-170,-19,161,-65,-95,43,-170,-219,-185,-126,-24
-156,-170,-14,163,-70,-92,43,-170,-214,-185,-126,-34
-161,-170,-9,165,-75,-90,43,-170,-214,-185,-126,-43
-161,-170,-9,165,-75,-90,48,-170,-214,-185,-126,-43
-165,-170,-4,168,-80,-87,48,-170,-214,-185,-126,-43
-165,-170,-4,168,-80,-87,48,-170,-214,-185,-126,-43
-170,-170,0,170,-85,-85,53,-165,-214,-190,-126,-43
-190,-190,0,190,-95,-95,82,-165,-229,-204,-151,-63
-248,-229,19,239,-134,-104,151,-165,-248,-244,-200,-107
-297,-239,58,268,-178,-90,214,-165,-253,-258,-229,-136
-307,-219,87,263,-197,-65,253,-151,-219,-229,-214,-117
-292,-165,126,229,-209,-19,292,-87,-117,-136,-146,-68
-229,-97,131,163,-180,17,268,-9,14,9,-24,24
-43,9,53,17,-48,31,151,58,161,229,200,209
180,180,0,-180,90,90,-43,102,297,458,453,429
424,385,-39,-405,231,173,-307,102,419,668,668,624
688,546,-141,-617,414,202,-624,82,468,810,829,761
971,692,-278,-832,624,207,-927,131,575,971,1005,927
1249,771,-478,-1010,863,146,-1263,165,658,1132,1171,1073
1263,644,-619,-954,941,12,-1395,19,448,985,1088,1015
985,541,-444,-763,714,48,-1312,-312,82,619,800,849
624,448,-175,-536,400,136,-1015,-483,-195,229,439,610
351,346,-4,-348,178,170,-717,-512,-356,-48,170,400
253,253,0,-253,126,126,-522,-458,-409,-117,102,331
224,161,-63,-192,143,48,-370,-312,-331,-102,92,273
195,122,-73,-158,134,24,-278,-190,-204,-58,78,244
126,78,-48,-102,87,14,-175,-107,-131,-43,58,190
58,39,-19,-48,39,9,-107,-78,-87,-34,34,141
14,19,4,-17,4,12,-53,-58,-53,-29,24,117
-9,-9,0,9,-4,-4,-14,-39,-48,-29,4,87
-34,-58,-24,46,-4,-41,19,-19,-48,-39,-19,63
-53,-82,-29,68,-12,-56,43,-14,-53,-48,-39,48
-58,-82,-24,70,-17,-53,58,-14,-63,-53,-43,39
-58,-82,-24,70,-17,-53,58,-14,-63,-53,-43,34
-53,-97,-43,75,-4,-70,68,-14,-63,-58,-58,24
-63,-102,-39,82,-12,-70,78,-4,-63,-63,-58,14
-63,-107,-43,85,-9,-75,82,-4,-58,-63,-63,4
-63,-107,-43,85,-9,-75,82,-4,-58,-68,-68,0
-63,-107,-43,85,-9,-75,87,0,-53,-73,-68,-9
-68,-112,-43,90,-12,-78,92,4,-43,-68,-68,-9
-68,-112,-43,90,-12,-78,97,14,-39,-63,-68,-9
-68,-107,-39,87,-14,-73,97,19,-34,-63,-68,0
-63,-107,-43,85,-9,-75,102,24,-29,-63,-68,0
-63,-102,-39,82,-12,-70,97,34,-19,-53,-73,-4
-58,-92,-34,75,-12,-63,92,39,-14,-48,-68,-9
-58,-97,-39,78,-9,-68,92,48,-4,-39,-63,-9
-53,-97,-43,75,-4,-70,92,53,9,-39,-58,-4
-48,-97,-48,73,0,-73,97,58,19,-24,-53,-4
-43,-97,-53,70,4,-75,97,68,29,-24,-53,0
-43,-87,-43,65,0,-65,97,78,39,-19,-48,4
-48,-87,-39,68,-4,-63,97,87,48,-9,-43,4
-39,-78,-39,58,0,-58,102,97,53,-4,-39,4
-34,-73,-39,53,2,-56,102,102,68,4,-29,9
-24,-68,-43,46,9,-56,102,112,78,14,-24,14
-14,-68,-53,41,19,-61,102,126,92,24,-19,14
-9,-53,-43,31,17,-48,102,136,107,29,-14,19
0,-43,-43,21,21,-43,102,156,117,48,-4,24
9,-39,-48,14,29,-43,102,165,136,63,4,39
19,-34,-53,7,36,-43,102,185,156,82,14,43
24,-24,-48,0,36,-36,102,204,175,92,24,43
