I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-58,-73,-14,65,-21,-43,63,-19,-19,-68,-97,-92
-58,-68,-9,63,-24,-39,58,-68,-48,-82,-97,-107
-68,-82,-14,75,-26,-48,39,-92,-68,-97,-102,-126
-63,-92,-29,78,-17,-61,43,-117,-68,-112,-131,-136
-43,-82,-39,63,-2,-61,58,9,4,-48,-92,-117
29,-112,-141,41,85,-126,53,488,180,122,9,-53
97,-43,-141,-26,119,-92,58,756,424,326,141,29
146,68,-78,-107,112,-4,122,1063,878,683,380,200
112,214,102,-163,4,158,131,961,1122,868,541,331
-68,395,463,-163,-265,429,156,209,1073,771,527,331
-117,649,766,-265,-441,707,63,-395,941,727,614,468
-175,985,1161,-405,-668,1073,-248,-1239,639,688,824,800
-161,1180,1342,-509,-751,1261,-605,-1927,-34,351,824,966
165,1137,971,-651,-402,1054,-1102,-2347,-1176,-405,497,936
614,829,214,-722,200,522,-1405,-2259,-1893,-907,219,868
1180,507,-673,-844,927,-82,-1649,-1810,-2152,-1078,136,912
1722,102,-1620,-912,1671,-758,-1776,-1220,-2308,-1185,14,854
2274,-175,-2449,-1049,2361,-1312,-1756,-507,-2191,-1073,19,858
2640,-307,-2947,-1166,2793,-1627,-1712,-39,-2108,-1083,-112,673
2361,-302,-2664,-1029,2513,-1483,-1346,175,-1712,-956,-322,239
1869,-268,-2137,-800,2003,-1202,-1015,287,-1273,-790,-439,-102
1176,-287,-1464,-444,1320,-875,-614,283,-839,-580,-453,-312
463,-209,-673,-126,568,-441,-229,170,-424,-317,-322,-326
219,-244,-463,12,341,-353,-112,-43,-317,-336,-361,-361
-4,-229,-224,117,109,-226,0,-82,-195,-268,-312,-331
-204,-234,-29,219,-87,-131,78,-58,-87,-151,-209,-278
-200,-229,-29,214,-85,-129,68,-58,-82,-136,-185,-244
-180,-156,24,168,-102,-65,82,-53,0,-68,-126,-165
-161,-161,0,161,-80,-80,73,-63,-19,-92,-151,-190
-161,-146,14,153,-87,-65,82,-29,-19,-78,-126,-190
-151,-117,34,134,-92,-41,102,-14,-4,-53,-107,-156
-175,-131,43,153,-109,-43,92,-14,4,-53,-107,-146
-180,-131,48,156,-114,-41,73,4,9,-53,-107,-146
-180,-112,68,146,-124,-21,107,39,9,-53,-107,-156
-161,-97,63,129,-112,-17,136,34,9,-43,-92,-146
-165,-102,63,134,-114,-19,122,9,4,-39,-92,-146
-141,-102,39,122,-90,-31,122,0,0,-48,-122,-151
