I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-4,-39,-34,21,14,-36,-63,-92,-73,-34,9,19
-4,-43,-39,24,17,-41,-53,-87,-73,-29,9,19
-9,-48,-39,29,14,-43,-48,-82,-73,-24,9,19
-9,-48,-39,29,14,-43,-48,-78,-73,-24,9,19
-9,-48,-39,29,14,-43,-48,-78,-73,-24,14,19
-9,-48,-39,29,14,-43,-48,-78,-73,-24,9,19
-9,-43,-34,26,12,-39,-43,-82,-78,-24,4,19
-9,-43,-34,26,12,-39,-43,-82,-78,-24,4,19
-9,-43,-34,26,12,-39,-43,-82,-73,-24,0,19
-9,-43,-34,26,12,-39,-48,-82,-73,-24,0,19
-9,-48,-39,29,14,-43,-53,-73,-73,-24,4,19
-9,-48,-39,29,14,-43,-53,-73,-73,-24,4,19
-9,-48,-39,29,14,-43,-53,-78,-68,-19,4,19
-9,-48,-39,29,14,-43,-43,-78,-68,-19,4,19
-9,-43,-34,26,12,-39,-34,-73,-68,-19,9,24
-9,-39,-29,24,9,-34,-29,-73,-68,-14,9,24
-19,-34,-14,26,-2,-24,-24,-82,-63,-14,9,24
-43,-39,4,41,-24,-17,-4,-131,-63,-29,0,19
-58,-48,9,53,-34,-19,9,-151,-63,-39,-4,14
-73,-73,0,73,-36,-36,34,-136,-48,-24,-14,9
-53,-63,-9,58,-21,-36,29,-92,48,107,112,102
48,97,48,-73,0,73,-34,43,326,453,473,405
214,248,34,-231,90,141,-141,209,536,756,805,673
463,370,-92,-417,278,139,-312,429,624,1015,1102,927
761,595,-165,-678,463,214,-546,649,702,1307,1473,1239
1039,844,-195,-941,617,324,-858,756,678,1527,1820,1551
1239,1000,-239,-1119,739,380,-1146,673,409,1454,1869,1664
1410,1039,-370,-1224,890,334,-1415,439,-117,1054,1615,1556
1371,722,-649,-1046,1010,36,-1527,0,-854,131,683,829
1024,268,-756,-646,890,-244,-1654,-1180,-1869,-1171,-658,-219
688,102,-585,-395,636,-241,-1610,-1927,-2332,-1786,-1273,-668
566,53,-512,-309,539,-229,-1395,-1678,-2137,-1693,-1283,-692
405,73,-331,-239,368,-129,-1107,-1464,-1810,-1468,-1141,-629
253,161,-92,-207,173,34,-849,-1200,-1429,-1180,-936,-507
126,209,82,-168,21,146,-624,-941,-1073,-902,-732,-385
29,258,229,-143,-100,244,-414,-653,-717,-600,-488,-229
-29,239,268,-104,-148,253,-253,-473,-497,-424,-341,-151
-43,165,209,-61,-126,187,-161,-341,-356,-326,-273,-136
