I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
9,39,29,-24,-9,34,-9,-9,9,-9,19,29
14,48,34,-31,-9,41,-9,0,29,4,29,39
19,58,39,-39,-9,48,-9,9,48,19,39,48
19,68,48,-43,-14,58,-14,9,53,19,39,48
19,78,58,-48,-19,68,-19,9,58,19,39,48
24,78,53,-51,-14,65,-29,-4,58,19,39,48
29,78,48,-53,-9,63,-39,-19,58,19,39,48
29,68,39,-48,-4,53,-53,-34,39,9,34,43
29,58,29,-43,0,43,-68,-48,19,0,29,39
34,53,19,-43,7,36,-68,-48,9,-4,29,39
39,48,9,-43,14,29,-68,-48,0,-9,29,39
39,48,9,-43,14,29,-68,-48,-4,-9,29,39
39,48,9,-43,14,29,-68,-48,-9,-9,29,39
34,48,14,-41,9,31,-63,-48,-24,-19,19,39
29,48,19,-39,4,34,-58,-48,-39,-29,9,39
24,39,14,-31,4,26,-53,-48,-48,-39,0,34
19,29,9,-24,4,19,-48,-48,-58,-48,-9,29
19,19,0,-19,9,9,-43,-48,-63,-53,-14,29
19,9,-9,-14,14,0,-39,-48,-68,-58,-19,29
14,4,-9,-9,12,-2,-34,-48,-73,-68,-24,19
9,0,-9,-4,9,-4,-29,-48,-78,-78,-29,9
9,-9,-19,0,14,-14,-29,-48,-82,-78,-34,4
9,-19,-29,4,19,-24,-29,-48,-87,-78,-39,0
0,-24,-24,12,12,-24,-19,-43,-87,-78,-39,-4
-9,-29,-19,19,4,-24,-9,-39,-87,-78,-39,-9
-24,-39,-14,31,-4,-26,0,-39,-87,-82,-43,-14
-39,-48,-9,43,-14,-29,9,-39,-87,-87,-48,-19
-39,-53,-14,46,-12,-34,9,-39,-92,-87,-53,-19
-39,-58,-19,48,-9,-39,9,-39,-97,-87,-58,-19
-39,-58,-19,48,-9,-39,9,-39,-97,-87,-58,-19
-39,-58,-19,48,-9,-39,9,-39,-97,-87,-58,-19
-39,-58,-19,48,-9,-39,9,-34,-92,-87,-58,-19
-39,-58,-19,48,-9,-39,9,-29,-87,-87,-58,-19
-34,-53,-19,43,-7,-36,9,-29,-87,-87,-53,-19
-29,-48,-19,39,-4,-34,9,-29,-87,-87,-48,-19
-29,-48,-19,39,-4,-34,14,-29,-87,-87,-48,-19
-29,-48,-19,39,-4,-34,19,-29,-87,-87,-48,-19
-29,-48,-19,39,-4,-34,19,-29,-87,-87,-48,-19
-29,-48,-19,39,-4,-34,19,-29,-87,-87,-48,-19
-29,-43,-14,36,-7,-29,19,-29,-87,-87,-48,-14
-29,-39,-9,34,-9,-24,19,-29,-87,-87,-48,-9
-34,-39,-4,36,-14,-21,19,-29,-87,-87,-48,-9
-39,-39,0,39,-19,-19,19,-29,-87,-87,-48,-9
-39,-39,0,39,-19,-19,19,-29,-82,-82,-48,-9
-39,-39,0,39,-19,-19,19,-29,-78,-78,-48,-9
-39,-39,0,39,-19,-19,19,-29,-78,-78,-48,-9
-39,-39,0,39,-19,-19,19,-29,-78,-78,-48,-9
-39,-39,0,39,-19,-19,14,-24,-78,-78,-48,-9
-39,-39,0,39,-19,-19,9,-19,-78,-78,-48,-9
-39,-39,0,39,-19,-19,9,-19,-78,-78,-48,-9
-39,-39,0,39,-19,-19,9,-19,-78,-78,-48,-9
-34,-39,-4,36,-14,-21,9,-19,-73,-78,-48,-9
-29,-39,-9,34,-9,-24,9,-19,-68,-78,-48,-9
-29,-39,-9,34,-9,-24,9,-19,-68,-73,-48,-9
-29,-39,-9,34,-9,-24,9,-19,-68,-68,-48,-9
-29,-34,-4,31,-12,-19,9,-19,-68,-68,-48,-9
-29,-29,0,29,-14,-14,9,-19,-68,-68,-48,-9
-24,-29,-4,26,-9,-17,9,-14,-68,-68,-43,-4
-19,-29,-9,24,-4,-19,9,-9,-68,-68,-39,0
-19,-24,-4,21,-7,-14,9,-9,-63,-68,-39,0
-19,-19,0,19,-9,-9,9,-9,-58,-68,-39,0
-14,-19,-4,17,-4,-12,4,-9,-58,-63,-34,0
-9,-19,-9,14,0,-14,0,-9,-58,-58,-29,0
-9,-14,-4,12,-2,-9,0,-9,-58,-58,-29,0
-9,-9,0,9,-4,-4,0,-9,-58,-58,-29,0
-9,-9,0,9,-4,-4,0,-9,-58,-53,-29,0
-9,-9,0,9,-4,-4,0,-9,-58,-48,-29,0
-9,-9,0,9,-4,-4,0,-9,-53,-48,-24,0
-9,-9,0,9,-4,-4,0,-9,-48,-48,-19,0
-4,-4,0,4,-2,-2,0,-9,-48,-48,-14,0
0,0,0,0,0,0,0,-9,-48,-48,-9,0
0,4,4,-2,-2,4,-4,-9,-48,-48,-9,0
0,9,9,-4,-4,9,-9,-9,-48,-48,-9,0
0,9,9,-4,-4,9,-9,-9,-43,-43,-9,0
0,9,9,-4,-4,9,-9,-9,-39,-39,-9,0
0,9,9,-4,-4,9,-9,-9,-39,-39,-9,4
0,9,9,-4,-4,9,-9,-9,-39,-39,-9,9
0,9,9,-4,-4,9,-9,-9,-39,-39,-9,9
0,9,9,-4,-4,9,-9,-9,-39,-39,-9,9
0,14,14,-7,-7,14,-9,-14,-34,-34,-9,9
0,19,19,-9,-9,19,-9,-19,-29,-29,-9,9
0,24,24,-12,-12,24,-9,-19,-29,-24,-9,9
0,29,29,-14,-14,29,-9,-19,-29,-19,-9,9
0,29,29,-14,-14,29,-9,-19,-24,-19,-9,9
0,29,29,-14,-14,29,-9,-19,-19,-19,-9,9
0,29,29,-14,-14,29,-9,-14,-19,-19,-9,9
0,29,29,-14,-14,29,-9,-9,-19,-19,-9,9
0,24,24,-12,-12,24,-9,-9,-19,-14,-9,9
0,19,19,-9,-9,19,-9,-9,-19,-9,-9,9
0,19,19,-9,-9,19,-9,-9,-19,-9,-9,9
0,19,19,-9,-9,19,-9,-9,-19,-9,-9,9
4,19,14,-12,-4,17,-9,-9,-14,-9,-9,9
9,19,9,-14,0,14,-9,-9,-9,-9,-9,9
9,19,9,-14,0,14,-9,-9,-9,-9,-9,9
9,19,9,-14,0,14,-9,-9,-9,-9,-9,9
4,19,14,-12,-4,17,-9,-9,-4,-9,-9,9
0,19,19,-9,-9,19,-9,-9,0,-9,-9,9
0,24,24,-12,-12,24,-9,-4,0,-9,-9,9
0,29,29,-14,-14,29,-9,0,0,-9,-9,9
4,29,24,-17,-9,26,-9,0,-4,-9,-9,9
9,29,19,-19,-4,24,-9,0,-9,-9,-9,9
9,24,14,-17,-2,19,-14,0,-9,-9,-9,9
9,19,9,-14,0,14,-19,0,-9,-9,-9,9
9,19,9,-14,0,14,-19,0,-9,-9,-9,9
9,19,9,-14,0,14,-19,0,-9,-9,-9,9
4,19,14,-12,-4,17,-19,-4,-9,-9,-9,9
0,19,19,-9,-9,19,-19,-9,-9,-9,-9,9
0,19,19,-9,-9,19,-19,-9,-9,-9,-4,9
0,19,19,-9,-9,19,-19,-9,-9,-9,0,9
0,19,19,-9,-9,19,-19,-9,-9,-9,0,4
0,19,19,-9,-9,19,-19,-9,-9,-9,0,0
0,19,19,-9,-9,19,-19,-9,-9,-9,0,0
0,19,19,-9,-9,19,-19,-9,-9,-9,0,0
0,19,19,-9,-9,19,-14,-9,-9,-9,0,0
0,19,19,-9,-9,19,-9,-9,-9,-9,0,0
0,14,14,-7,-7,14,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
4,9,4,-7,0,7,-9,-9,-9,-9,0,0
9,9,0,-9,4,4,-9,-9,-9,-9,0,0
9,9,0,-9,4,4,-9,-9,-9,-9,0,0
9,9,0,-9,4,4,-9,-9,-9,-9,0,0
9,9,0,-9,4,4,-9,-9,-9,-9,0,0
9,9,0,-9,4,4,-9,-9,-9,-9,0,0
4,9,4,-7,0,7,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
0,9,9,-4,-4,9,-9,-9,-9,-9,0,0
-4,9,14,-2,-9,12,-9,-9,-9,-9,0,0
-9,9,19,0,-14,14,-9,-9,-9,-9,0,0
-9,9,19,0,-14,14,-9,-9,-9,-9,0,0
-9,9,19,0,-14,14,-9,-9,-9,-9,0,0
-9,9,19,0,-14,14,-9,-9,-9,-9,0,0
-9,9,19,0,-14,14,-9,-9,-9,-9,0,0
-4,4,9,0,-7,7,-9,-9,-9,-9,0,0
0,0,0,0,0,0,-9,-9,-9,-9,0,0
0,0,0,0,0,0,-9,-9,-9,-9,0,0
0,0,0,0,0,0,-9,-9,-9,-9,0,0
0,0,0,0,0,0,-9,-14,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-14,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-19,0,0
0,0,0,0,0,0,-9,-19,-9,-14,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
4,4,0,-4,2,2,-9,-19,-9,-9,4,0
9,9,0,-9,4,4,-9,-19,-9,-9,9,0
9,9,0,-9,4,4,-9,-19,-9,-9,9,0
9,9,0,-9,4,4,-9,-19,-9,-9,9,0
4,4,0,-4,2,2,-9,-19,-9,-9,4,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-9,-9,0,0
0,0,0,0,0,0,-9,-19,-14,-4,0,0
0,0,0,0,0,0,-9,-19,-19,0,0,0
0,0,0,0,0,0,-9,-19,-19,0,4,0
0,0,0,0,0,0,-9,-19,-19,0,9,0
0,0,0,0,0,0,-9,-19,-14,0,9,0
0,0,0,0,0,0,-9,-19,-9,0,9,0
0,4,4,-2,-2,4,-9,-19,-9,0,4,0
0,9,9,-4,-4,9,-9,-19,-9,0,0,0
0,9,9,-4,-4,9,-9,-19,-9,-4,0,-4
0,9,9,-4,-4,9,-9,-19,-9,-9,0,-9
0,4,4,-2,-2,4,-9,-19,-9,-9,0,-9
0,0,0,0,0,0,-9,-19,-9,-9,0,-9
0,0,0,0,0,0,-9,-19,-9,-9,4,-4
0,0,0,0,0,0,-9,-19,-9,-9,9,0
0,0,0,0,0,0,-9,-14,-4,-9,9,0
0,0,0,0,0,0,-9,-9,0,-9,9,0
0,0,0,0,0,0,-9,-9,0,-9,9,0
0,0,0,0,0,0,-9,-9,0,-9,9,0
0,0,0,0,0,0,-9,-9,0,-9,4,0
0,0,0,0,0,0,-9,-9,0,-9,0,0
0,0,0,0,0,0,-9,-9,0,-9,0,0
0,0,0,0,0,0,-9,-9,0,-9,0,0
0,0,0,0,0,0,-9,-9,0,-9,0,0
0,0,0,0,0,0,-9,-9,0,-9,0,0
0,4,4,-2,-2,4,-14,-9,-4,-9,0,0
0,9,9,-4,-4,9,-19,-9,-9,-9,0,0
0,9,9,-4,-4,9,-19,-9,-9,-9,-4,0
0,9,9,-4,-4,9,-19,-9,-9,-9,-9,0
0,4,4,-2,-2,4,-19,-9,-9,-9,-9,0
0,0,0,0,0,0,-19,-9,-9,-9,-9,0
0,0,0,0,0,0,-14,-9,-9,-9,-9,-4
0,0,0,0,0,0,-9,-9,-9,-9,-9,-9
0,0,0,0,0,0,-9,-9,-9,-9,-9,-9
0,0,0,0,0,0,-9,-9,-9,-9,-9,-9
0,0,0,0,0,0,-9,-9,-9,-4,-9,-9
0,0,0,0,0,0,-9,-9,-9,0,-9,-9
0,0,0,0,0,0,-9,-9,-9,0,-4,-4
0,0,0,0,0,0,-9,-9,-9,0,0,0
0,0,0,0,0,0,-9,-9,-9,0,0,0
0,0,0,0,0,0,-9,-9,-9,0,0,0
0,4,4,-2,-2,4,-9,-14,-9,0,0,0
0,9,9,-4,-4,9,-9,-19,-9,0,0,0
0,9,9,-4,-4,9,-9,-19,-4,0,0,0
0,9,9,-4,-4,9,-9,-19,0,0,0,0
0,9,9,-4,-4,9,-9,-14,0,0,0,4
0,9,9,-4,-4,9,-9,-9,0,0,0,9
0,4,4,-2,-2,4,-9,-9,-4,0,-4,9
0,0,0,0,0,0,-9,-9,-9,0,-9,9
0,0,0,0,0,0,-9,-9,-9,0,-9,4
0,0,0,0,0,0,-9,-9,-9,0,-9,0
0,0,0,0,0,0,-9,-9,-9,0,-9,0
0,0,0,0,0,0,-9,-9,-9,0,-9,0
